Section,Name,Type,Default,Description,Model,Estimator
Parameters,dtype,numpy dtype,np.float64,"The type of feature values. Passed to scipy.sparse matrix constructors as the dtype argument. Do not set this to bool, np.boolean or any unsigned integer type.",FeatureHasher,<class 'sklearn.feature_extraction._hash.FeatureHasher'>
,alternate_sign,bool,True,"When True, an alternating sign is added to the features as to approximately conserve the inner product in the hashed space even for small n_features. This approach is similar to sparse random projection. ``alternate_sign`` replaces the now deprecated ``non_negative`` parameter.",FeatureHasher,<class 'sklearn.feature_extraction._hash.FeatureHasher'>
Parameters,transformer_list,list of (str,,"List of transformer objects to be applied to the data. The first half of each tuple is the name of the transformer. The transformer can be 'drop' for it to be ignored or can be 'passthrough' for features to be passed unchanged. Added the option `""passthrough""`. Deprecated `None` as a transformer in favor of 'drop'.",FeatureUnion,<class 'sklearn.pipeline.FeatureUnion'>
Parameters,n_jobs,int,None,Number of jobs to run in parallel. ``None`` means 1 unless in a :obj:`joblib.parallel_backend` context. ``-1`` means using all processors. See :term:`Glossary <n_jobs>` for more details. `n_jobs` default changed from 1 to None,FeatureUnion,<class 'sklearn.pipeline.FeatureUnion'>
Parameters,transformer_weights,dict,None,"Multiplicative weights for features per transformer. Keys are transformer names, values the weights. Raises ValueError if key not present in ``transformer_list``.",FeatureUnion,<class 'sklearn.pipeline.FeatureUnion'>
Parameters,verbose,bool,False,"If True, the time elapsed while fitting each transformer will be printed as it is completed.",FeatureUnion,<class 'sklearn.pipeline.FeatureUnion'>
Attributes,verbose_feature_names_out,bool,True,"If True, :meth:`get_feature_names_out` will prefix all feature names with the name of the transformer that generated that feature. If False, :meth:`get_feature_names_out` will not prefix any feature names and will error if feature names are not unique.",FeatureUnion,<class 'sklearn.pipeline.FeatureUnion'>
Attributes,named_transformers,:class:`~sklearn.utils.Bunch`,,"Dictionary-like object, with the following attributes. Read-only attribute to access any transformer parameter by user given name. Keys are transformer names and values are transformer parameters.",FeatureUnion,<class 'sklearn.pipeline.FeatureUnion'>
Attributes,n_features_in_,int,,Number of features seen during :term:`fit`. Only defined if the underlying first transformer in `transformer_list` exposes such an attribute when fit.,FeatureUnion,<class 'sklearn.pipeline.FeatureUnion'>
,feature_names_in_,ndarray of shape (`n_features_in_`,,Names of features seen during :term:`fit`. Defined only when `X` has feature names that are all strings.,FeatureUnion,<class 'sklearn.pipeline.FeatureUnion'>
Parameters,estimator,estimator instance,,"The binary classifier, fitted or not, for which we want to optimize the decision threshold used during `predict`.",FixedThresholdClassifier,<class 'sklearn.model_selection._classification_threshold.FixedThresholdClassifier'>
Parameters,threshold,"{""auto""} or float","""auto""","The decision threshold to use when converting posterior probability estimates (i.e. output of `predict_proba`) or decision scores (i.e. output of `decision_function`) into a class label. When `""auto""`, the threshold is set to 0.5 if `predict_proba` is used as `response_method`, otherwise it is set to 0 (i.e. the default threshold for `decision_function`).",FixedThresholdClassifier,<class 'sklearn.model_selection._classification_threshold.FixedThresholdClassifier'>
Parameters,pos_label,int,None,"The label of the positive class. Used to process the output of the `response_method` method. When `pos_label=None`, if `y_true` is in `{-1, 1}` or `{0, 1}`, `pos_label` is set to 1, otherwise an error will be raised.",FixedThresholdClassifier,<class 'sklearn.model_selection._classification_threshold.FixedThresholdClassifier'>
Attributes,response_method,"{""auto""","""auto""","Methods by the classifier `estimator` corresponding to the decision function for which we want to find a threshold. It can be: * if `""auto""`, it will try to invoke `""predict_proba""` or `""decision_function""` in that order. * otherwise, one of `""predict_proba""` or `""decision_function""`. If the method is not implemented by the classifier, it will raise an error.",FixedThresholdClassifier,<class 'sklearn.model_selection._classification_threshold.FixedThresholdClassifier'>
Attributes,estimator_,estimator instance,,The fitted classifier used when predicting.,FixedThresholdClassifier,<class 'sklearn.model_selection._classification_threshold.FixedThresholdClassifier'>
Attributes,classes_,ndarray of shape (n_classes,,The class labels.,FixedThresholdClassifier,<class 'sklearn.model_selection._classification_threshold.FixedThresholdClassifier'>
Attributes,n_features_in_,int,,Number of features seen during :term:`fit`. Only defined if the underlying estimator exposes such an attribute when fit.,FixedThresholdClassifier,<class 'sklearn.model_selection._classification_threshold.FixedThresholdClassifier'>
,feature_names_in_,ndarray of shape (`n_features_in_`,,Names of features seen during :term:`fit`. Only defined if the underlying estimator exposes such an attribute when fit.,FixedThresholdClassifier,<class 'sklearn.model_selection._classification_threshold.FixedThresholdClassifier'>
,estimator,estimator,,The estimator which is to be kept frozen.,FrozenEstimator,<class 'sklearn.frozen._frozen.FrozenEstimator'>
Parameters,func,callable,None,"The callable to use for the transformation. This will be passed the same arguments as transform, with args and kwargs forwarded. If func is None, then func will be the identity function.",FunctionTransformer,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>
Parameters,inverse_func,callable,None,"The callable to use for the inverse transformation. This will be passed the same arguments as inverse transform, with args and kwargs forwarded. If inverse_func is None, then inverse_func will be the identity function.",FunctionTransformer,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>
Parameters,validate,bool,False,"Indicate that the input X array should be checked before calling ``func``. The possibilities are: - If False, there is no input validation. - If True, then X will be converted to a 2-dimensional NumPy array or sparse matrix. If the conversion is not possible an exception is raised. The default of ``validate`` changed from True to False.",FunctionTransformer,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>
Parameters,accept_sparse,bool,False,"Indicate that func accepts a sparse matrix as input. If validate is False, this has no effect. Otherwise, if accept_sparse is false, sparse matrix inputs will cause an exception to be raised.",FunctionTransformer,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>
Parameters,check_inverse,bool,True,,FunctionTransformer,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>
Parameters,feature_names_out,callable,None,"Determines the list of feature names that will be returned by the `get_feature_names_out` method. If it is 'one-to-one', then the output feature names will be equal to the input feature names. If it is a callable, then it must take two positional arguments: this `FunctionTransformer` (`self`) and an array-like of input feature names (`input_features`). It must return an array-like of output feature names. The `get_feature_names_out` method is only defined if `feature_names_out` is not None. See ``get_feature_names_out`` for more details.",FunctionTransformer,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>
Parameters,kw_args,dict,None,Dictionary of additional keyword arguments to pass to func.,FunctionTransformer,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>
Attributes,inv_kw_args,dict,None,Dictionary of additional keyword arguments to pass to inverse_func.,FunctionTransformer,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>
Attributes,n_features_in_,int,,Number of features seen during :term:`fit`.,FunctionTransformer,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>
,feature_names_in_,ndarray of shape (`n_features_in_`,,Names of features seen during :term:`fit`. Defined only when `X` has feature names that are all strings.,FunctionTransformer,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>
Parameters,alpha,float,1,"Constant that multiplies the L2 penalty term and determines the regularization strength. ``alpha = 0`` is equivalent to unpenalized GLMs. In this case, the design matrix `X` must have full column rank (no collinearities). Values of `alpha` must be in the range `[0.0, inf)`.",GammaRegressor,<class 'sklearn.linear_model._glm.glm.GammaRegressor'>
Parameters,fit_intercept,bool,True,Specifies if a constant (a.k.a. bias or intercept) should be added to the linear predictor `X @ coef_ + intercept_`.,GammaRegressor,<class 'sklearn.linear_model._glm.glm.GammaRegressor'>
Parameters,solver,{'lbfgs','lbfgs',"Algorithm to use in the optimization problem: 'lbfgs' Calls scipy's L-BFGS-B optimizer. 'newton-cholesky' Uses Newton-Raphson steps (in arbitrary precision arithmetic equivalent to iterated reweighted least squares) with an inner Cholesky based solver. This solver is a good choice for `n_samples` >> `n_features`, especially with one-hot encoded categorical features with rare categories. Be aware that the memory usage of this solver has a quadratic dependency on `n_features` because it explicitly computes the Hessian matrix.",GammaRegressor,<class 'sklearn.linear_model._glm.glm.GammaRegressor'>
Parameters,max_iter,int,100,"The maximal number of iterations for the solver. Values must be in the range `[1, inf)`.",GammaRegressor,<class 'sklearn.linear_model._glm.glm.GammaRegressor'>
Parameters,tol,float,1e-4,"Stopping criterion. For the lbfgs solver, the iteration will stop when ``max{|g_j|, j = 1, ..., d} <= tol`` where ``g_j`` is the j-th component of the gradient (derivative) of the objective function. Values must be in the range `(0.0, inf)`.",GammaRegressor,<class 'sklearn.linear_model._glm.glm.GammaRegressor'>
Parameters,warm_start,bool,False,"If set to ``True``, reuse the solution of the previous call to ``fit`` as initialization for `coef_` and `intercept_`.",GammaRegressor,<class 'sklearn.linear_model._glm.glm.GammaRegressor'>
Attributes,verbose,int,0,"For the lbfgs solver set verbose to any positive number for verbosity. Values must be in the range `[0, inf)`.",GammaRegressor,<class 'sklearn.linear_model._glm.glm.GammaRegressor'>
Attributes,coef_,array of shape (n_features,,Estimated coefficients for the linear predictor (`X @ coef_ + intercept_`) in the GLM.,GammaRegressor,<class 'sklearn.linear_model._glm.glm.GammaRegressor'>
Attributes,intercept_,float,,Intercept (a.k.a. bias) added to linear predictor.,GammaRegressor,<class 'sklearn.linear_model._glm.glm.GammaRegressor'>
Attributes,n_features_in_,int,,Number of features seen during :term:`fit`.,GammaRegressor,<class 'sklearn.linear_model._glm.glm.GammaRegressor'>
Attributes,n_iter_,int,,Actual number of iterations used in the solver.,GammaRegressor,<class 'sklearn.linear_model._glm.glm.GammaRegressor'>
,feature_names_in_,ndarray of shape (`n_features_in_`,,Names of features seen during :term:`fit`. Defined only when `X` has feature names that are all strings.,GammaRegressor,<class 'sklearn.linear_model._glm.glm.GammaRegressor'>
Parameters,n_components,int,1,The number of mixture components.,GaussianMixture,<class 'sklearn.mixture._gaussian_mixture.GaussianMixture'>
Parameters,covariance_type,{'full','full',String describing the type of covariance parameters to use. Must be one of: - 'full': each component has its own general covariance matrix. - 'tied': all components share the same general covariance matrix. - 'diag': each component has its own diagonal covariance matrix. - 'spherical': each component has its own single variance.,GaussianMixture,<class 'sklearn.mixture._gaussian_mixture.GaussianMixture'>
Parameters,tol,float,1e-3,The convergence threshold. EM iterations will stop when the lower bound average gain is below this threshold.,GaussianMixture,<class 'sklearn.mixture._gaussian_mixture.GaussianMixture'>
Parameters,reg_covar,float,1e-6,Non-negative regularization added to the diagonal of covariance. Allows to assure that the covariance matrices are all positive.,GaussianMixture,<class 'sklearn.mixture._gaussian_mixture.GaussianMixture'>
Parameters,max_iter,int,100,The number of EM iterations to perform.,GaussianMixture,<class 'sklearn.mixture._gaussian_mixture.GaussianMixture'>
Parameters,n_init,int,1,The number of initializations to perform. The best results are kept.,GaussianMixture,<class 'sklearn.mixture._gaussian_mixture.GaussianMixture'>
Parameters,init_params,{'kmeans','kmeans',"The method used to initialize the weights, the means and the precisions. String must be one of: - 'kmeans' : responsibilities are initialized using kmeans. - 'k-means++' : use the k-means++ method to initialize. - 'random' : responsibilities are initialized randomly. - 'random_from_data' : initial means are randomly selected data points. `init_params` now accepts 'random_from_data' and 'k-means++' as initialization methods.",GaussianMixture,<class 'sklearn.mixture._gaussian_mixture.GaussianMixture'>
Parameters,weights_init,array-like of shape (n_components,None,"The user-provided initial weights. If it is None, weights are initialized using the `init_params` method.",GaussianMixture,<class 'sklearn.mixture._gaussian_mixture.GaussianMixture'>
Parameters,means_init,array-like of shape (n_components,None,"The user-provided initial means, If it is None, means are initialized using the `init_params` method.",GaussianMixture,<class 'sklearn.mixture._gaussian_mixture.GaussianMixture'>
Parameters,precisions_init,array-like,None,"The user-provided initial precisions (inverse of the covariance matrices). If it is None, precisions are initialized using the 'init_params' method. The shape depends on 'covariance_type':: (n_components,)                        if 'spherical', (n_features, n_features)               if 'tied', (n_components, n_features)             if 'diag', (n_components, n_features, n_features) if 'full'",GaussianMixture,<class 'sklearn.mixture._gaussian_mixture.GaussianMixture'>
Parameters,random_state,int,None,"Controls the random seed given to the method chosen to initialize the parameters (see `init_params`). In addition, it controls the generation of random samples from the fitted distribution (see the method `sample`). Pass an int for reproducible output across multiple function calls. See :term:`Glossary <random_state>`.",GaussianMixture,<class 'sklearn.mixture._gaussian_mixture.GaussianMixture'>
Parameters,warm_start,bool,False,"If 'warm_start' is True, the solution of the last fitting is used as initialization for the next call of fit(). This can speed up convergence when fit is called several times on similar problems. In that case, 'n_init' is ignored and only a single initialization occurs upon the first call. See :term:`the Glossary <warm_start>`.",GaussianMixture,<class 'sklearn.mixture._gaussian_mixture.GaussianMixture'>
Parameters,verbose,int,0,Enable verbose output. If 1 then it prints the current initialization and each iteration step. If greater than 1 then it prints also the log probability and the time needed for each step.,GaussianMixture,<class 'sklearn.mixture._gaussian_mixture.GaussianMixture'>
Attributes,verbose_interval,int,10,Number of iteration done before the next print.,GaussianMixture,<class 'sklearn.mixture._gaussian_mixture.GaussianMixture'>
Attributes,weights_,array-like of shape (n_components,,The weights of each mixture components.,GaussianMixture,<class 'sklearn.mixture._gaussian_mixture.GaussianMixture'>
Attributes,means_,array-like of shape (n_components,,The mean of each mixture component.,GaussianMixture,<class 'sklearn.mixture._gaussian_mixture.GaussianMixture'>
Attributes,covariances_,array-like,,"The covariance of each mixture component. The shape depends on `covariance_type`:: (n_components,)                        if 'spherical', (n_features, n_features)               if 'tied', (n_components, n_features)             if 'diag', (n_components, n_features, n_features) if 'full'",GaussianMixture,<class 'sklearn.mixture._gaussian_mixture.GaussianMixture'>
Attributes,precisions_,array-like,,"The precision matrices for each component in the mixture. A precision matrix is the inverse of a covariance matrix. A covariance matrix is symmetric positive definite so the mixture of Gaussian can be equivalently parameterized by the precision matrices. Storing the precision matrices instead of the covariance matrices makes it more efficient to compute the log-likelihood of new samples at test time. The shape depends on `covariance_type`:: (n_components,)                        if 'spherical', (n_features, n_features)               if 'tied', (n_components, n_features)             if 'diag', (n_components, n_features, n_features) if 'full'",GaussianMixture,<class 'sklearn.mixture._gaussian_mixture.GaussianMixture'>
Attributes,precisions_cholesky_,array-like,,"The cholesky decomposition of the precision matrices of each mixture component. A precision matrix is the inverse of a covariance matrix. A covariance matrix is symmetric positive definite so the mixture of Gaussian can be equivalently parameterized by the precision matrices. Storing the precision matrices instead of the covariance matrices makes it more efficient to compute the log-likelihood of new samples at test time. The shape depends on `covariance_type`:: (n_components,)                        if 'spherical', (n_features, n_features)               if 'tied', (n_components, n_features)             if 'diag', (n_components, n_features, n_features) if 'full'",GaussianMixture,<class 'sklearn.mixture._gaussian_mixture.GaussianMixture'>
Attributes,converged_,bool,,"True when convergence of the best fit of EM was reached, False otherwise.",GaussianMixture,<class 'sklearn.mixture._gaussian_mixture.GaussianMixture'>
Attributes,n_iter_,int,,Number of step used by the best fit of EM to reach the convergence.,GaussianMixture,<class 'sklearn.mixture._gaussian_mixture.GaussianMixture'>
Attributes,lower_bound_,float,,Lower bound value on the log-likelihood (of the training data with respect to the model) of the best fit of EM.,GaussianMixture,<class 'sklearn.mixture._gaussian_mixture.GaussianMixture'>
Attributes,n_features_in_,int,,Number of features seen during :term:`fit`.,GaussianMixture,<class 'sklearn.mixture._gaussian_mixture.GaussianMixture'>
,feature_names_in_,ndarray of shape (`n_features_in_`,,Names of features seen during :term:`fit`. Defined only when `X` has feature names that are all strings.,GaussianMixture,<class 'sklearn.mixture._gaussian_mixture.GaussianMixture'>
Parameters,priors,array-like of shape (n_classes,None,"Prior probabilities of the classes. If specified, the priors are not adjusted according to the data.",GaussianNB,<class 'sklearn.naive_bayes.GaussianNB'>
Attributes,var_smoothing,float,1e-9,Portion of the largest variance of all features that is added to variances for calculation stability.,GaussianNB,<class 'sklearn.naive_bayes.GaussianNB'>
Attributes,class_count_,ndarray of shape (n_classes,,number of training samples observed in each class.,GaussianNB,<class 'sklearn.naive_bayes.GaussianNB'>
Attributes,class_prior_,ndarray of shape (n_classes,,probability of each class.,GaussianNB,<class 'sklearn.naive_bayes.GaussianNB'>
Attributes,classes_,ndarray of shape (n_classes,,class labels known to the classifier.,GaussianNB,<class 'sklearn.naive_bayes.GaussianNB'>
Attributes,epsilon_,float,,absolute additive value to variances.,GaussianNB,<class 'sklearn.naive_bayes.GaussianNB'>
Attributes,n_features_in_,int,,Number of features seen during :term:`fit`.,GaussianNB,<class 'sklearn.naive_bayes.GaussianNB'>
Attributes,feature_names_in_,ndarray of shape (`n_features_in_`,,Names of features seen during :term:`fit`. Defined only when `X` has feature names that are all strings.,GaussianNB,<class 'sklearn.naive_bayes.GaussianNB'>
Attributes,var_,ndarray of shape (n_classes,,Variance of each feature per class.,GaussianNB,<class 'sklearn.naive_bayes.GaussianNB'>
,theta_,ndarray of shape (n_classes,,mean of each feature per class.,GaussianNB,<class 'sklearn.naive_bayes.GaussianNB'>
Parameters,priors,array-like of shape (n_classes,None,"Prior probabilities of the classes. If specified, the priors are not adjusted according to the data.",GaussianNB,<class 'sklearn.naive_bayes.GaussianNB'>
Attributes,var_smoothing,float,1e-9,Portion of the largest variance of all features that is added to variances for calculation stability.,GaussianNB,<class 'sklearn.naive_bayes.GaussianNB'>
Attributes,class_count_,ndarray of shape (n_classes,,number of training samples observed in each class.,GaussianNB,<class 'sklearn.naive_bayes.GaussianNB'>
Attributes,class_prior_,ndarray of shape (n_classes,,probability of each class.,GaussianNB,<class 'sklearn.naive_bayes.GaussianNB'>
Attributes,classes_,ndarray of shape (n_classes,,class labels known to the classifier.,GaussianNB,<class 'sklearn.naive_bayes.GaussianNB'>
Attributes,epsilon_,float,,absolute additive value to variances.,GaussianNB,<class 'sklearn.naive_bayes.GaussianNB'>
Attributes,n_features_in_,int,,Number of features seen during :term:`fit`.,GaussianNB,<class 'sklearn.naive_bayes.GaussianNB'>
Attributes,feature_names_in_,ndarray of shape (`n_features_in_`,,Names of features seen during :term:`fit`. Defined only when `X` has feature names that are all strings.,GaussianNB,<class 'sklearn.naive_bayes.GaussianNB'>
Attributes,var_,ndarray of shape (n_classes,,Variance of each feature per class.,GaussianNB,<class 'sklearn.naive_bayes.GaussianNB'>
,theta_,ndarray of shape (n_classes,,mean of each feature per class.,GaussianNB,<class 'sklearn.naive_bayes.GaussianNB'>
Parameters,kernel,kernel instance,None,"The kernel specifying the covariance function of the GP. If None is passed, the kernel ""1.0 * RBF(1.0)"" is used as default. Note that the kernel's hyperparameters are optimized during fitting. Also kernel cannot be a `CompoundKernel`.",GaussianProcessClassifier,<class 'sklearn.gaussian_process._gpc.GaussianProcessClassifier'>
Parameters,optimizer,'fmin_l_bfgs_b','fmin_l_bfgs_b',"Can either be one of the internally supported optimizers for optimizing the kernel's parameters, specified by a string, or an externally defined optimizer passed as a callable. If a callable is passed, it must have the  signature:: def optimizer(obj_func, initial_theta, bounds): # * 'obj_func' is the objective function to be maximized, which #   takes the hyperparameters theta as parameter and an #   optional flag eval_gradient, which determines if the #   gradient is returned additionally to the function value # * 'initial_theta': the initial value for theta, which can be #   used by local optimizers # * 'bounds': the bounds on the values of theta # Returned are the best found hyperparameters theta and # the corresponding value of the target function. return theta_opt, func_min Per default, the 'L-BFGS-B' algorithm from scipy.optimize.minimize is used. If None is passed, the kernel's parameters are kept fixed. Available internal optimizers are:: 'fmin_l_bfgs_b'",GaussianProcessClassifier,<class 'sklearn.gaussian_process._gpc.GaussianProcessClassifier'>
Parameters,n_restarts_optimizer,int,0,"The number of restarts of the optimizer for finding the kernel's parameters which maximize the log-marginal likelihood. The first run of the optimizer is performed from the kernel's initial parameters, the remaining ones (if any) from thetas sampled log-uniform randomly from the space of allowed theta-values. If greater than 0, all bounds must be finite. Note that n_restarts_optimizer=0 implies that one run is performed.",GaussianProcessClassifier,<class 'sklearn.gaussian_process._gpc.GaussianProcessClassifier'>
Parameters,max_iter_predict,int,100,The maximum number of iterations in Newton's method for approximating the posterior during predict. Smaller values will reduce computation time at the cost of worse results.,GaussianProcessClassifier,<class 'sklearn.gaussian_process._gpc.GaussianProcessClassifier'>
Parameters,warm_start,bool,False,"If warm-starts are enabled, the solution of the last Newton iteration on the Laplace approximation of the posterior mode is used as initialization for the next call of _posterior_mode(). This can speed up convergence when _posterior_mode is called several times on similar problems as in hyperparameter optimization. See :term:`the Glossary <warm_start>`.",GaussianProcessClassifier,<class 'sklearn.gaussian_process._gpc.GaussianProcessClassifier'>
Parameters,copy_X_train,bool,True,"If True, a persistent copy of the training data is stored in the object. Otherwise, just a reference to the training data is stored, which might cause predictions to change if the data is modified externally.",GaussianProcessClassifier,<class 'sklearn.gaussian_process._gpc.GaussianProcessClassifier'>
Parameters,random_state,int,None,Determines random number generation used to initialize the centers. Pass an int for reproducible results across multiple function calls. See :term:`Glossary <random_state>`.,GaussianProcessClassifier,<class 'sklearn.gaussian_process._gpc.GaussianProcessClassifier'>
Parameters,multi_class,{'one_vs_rest','one_vs_rest',"Specifies how multi-class classification problems are handled. Supported are 'one_vs_rest' and 'one_vs_one'. In 'one_vs_rest', one binary Gaussian process classifier is fitted for each class, which is trained to separate this class from the rest. In 'one_vs_one', one binary Gaussian process classifier is fitted for each pair of classes, which is trained to separate these two classes. The predictions of these binary predictors are combined into multi-class predictions. Note that 'one_vs_one' does not support predicting probability estimates.",GaussianProcessClassifier,<class 'sklearn.gaussian_process._gpc.GaussianProcessClassifier'>
Attributes,n_jobs,int,None,The number of jobs to use for the computation: the specified multiclass problems are computed in parallel. ``None`` means 1 unless in a :obj:`joblib.parallel_backend` context. ``-1`` means using all processors. See :term:`Glossary <n_jobs>` for more details.,GaussianProcessClassifier,<class 'sklearn.gaussian_process._gpc.GaussianProcessClassifier'>
Attributes,base_estimator_,``Estimator`` instance,,The estimator instance that defines the likelihood function using the observed data.,GaussianProcessClassifier,<class 'sklearn.gaussian_process._gpc.GaussianProcessClassifier'>
Attributes,kernel_,kernel instance,,"The kernel used for prediction. In case of binary classification, the structure of the kernel is the same as the one passed as parameter but with optimized hyperparameters. In case of multi-class classification, a CompoundKernel is returned which consists of the different kernels used in the one-versus-rest classifiers.",GaussianProcessClassifier,<class 'sklearn.gaussian_process._gpc.GaussianProcessClassifier'>
Attributes,log_marginal_likelihood_value_,float,,The log-marginal-likelihood of ``self.kernel_.theta``,GaussianProcessClassifier,<class 'sklearn.gaussian_process._gpc.GaussianProcessClassifier'>
Attributes,classes_,array-like of shape (n_classes,,Unique class labels.,GaussianProcessClassifier,<class 'sklearn.gaussian_process._gpc.GaussianProcessClassifier'>
Attributes,n_classes_,int,,The number of classes in the training data,GaussianProcessClassifier,<class 'sklearn.gaussian_process._gpc.GaussianProcessClassifier'>
Attributes,n_features_in_,int,,Number of features seen during :term:`fit`.,GaussianProcessClassifier,<class 'sklearn.gaussian_process._gpc.GaussianProcessClassifier'>
,feature_names_in_,ndarray of shape (`n_features_in_`,,Names of features seen during :term:`fit`. Defined only when `X` has feature names that are all strings.,GaussianProcessClassifier,<class 'sklearn.gaussian_process._gpc.GaussianProcessClassifier'>
Parameters,kernel,kernel instance,None,"The kernel specifying the covariance function of the GP. If None is passed, the kernel ``ConstantKernel(1.0, constant_value_bounds=""fixed"") * RBF(1.0, length_scale_bounds=""fixed"")`` is used as default. Note that the kernel hyperparameters are optimized during fitting unless the bounds are marked as ""fixed"".",GaussianProcessRegressor,<class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>
Parameters,alpha,float or ndarray of shape (n_samples,1e-10,"Value added to the diagonal of the kernel matrix during fitting. This can prevent a potential numerical issue during fitting, by ensuring that the calculated values form a positive definite matrix. It can also be interpreted as the variance of additional Gaussian measurement noise on the training observations. Note that this is different from using a `WhiteKernel`. If an array is passed, it must have the same number of entries as the data used for fitting and is used as datapoint-dependent noise level. Allowing to specify the noise level directly as a parameter is mainly for convenience and for consistency with :class:`~sklearn.linear_model.Ridge`.",GaussianProcessRegressor,<class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>
Parameters,optimizer,"""fmin_l_bfgs_b""","""fmin_l_bfgs_b""","Can either be one of the internally supported optimizers for optimizing the kernel's parameters, specified by a string, or an externally defined optimizer passed as a callable. If a callable is passed, it must have the signature:: def optimizer(obj_func, initial_theta, bounds): # * 'obj_func': the objective function to be minimized, which #   takes the hyperparameters theta as a parameter and an #   optional flag eval_gradient, which determines if the #   gradient is returned additionally to the function value # * 'initial_theta': the initial value for theta, which can be #   used by local optimizers # * 'bounds': the bounds on the values of theta # Returned are the best found hyperparameters theta and # the corresponding value of the target function. return theta_opt, func_min Per default, the L-BFGS-B algorithm from `scipy.optimize.minimize` is used. If None is passed, the kernel's parameters are kept fixed. Available internal optimizers are: `{'fmin_l_bfgs_b'}`.",GaussianProcessRegressor,<class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>
Parameters,n_restarts_optimizer,int,0,"The number of restarts of the optimizer for finding the kernel's parameters which maximize the log-marginal likelihood. The first run of the optimizer is performed from the kernel's initial parameters, the remaining ones (if any) from thetas sampled log-uniform randomly from the space of allowed theta-values. If greater than 0, all bounds must be finite. Note that `n_restarts_optimizer == 0` implies that one run is performed.",GaussianProcessRegressor,<class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>
Parameters,normalize_y,bool,False,"Whether or not to normalize the target values `y` by removing the mean and scaling to unit-variance. This is recommended for cases where zero-mean, unit-variance priors are used. Note that, in this implementation, the normalisation is reversed before the GP predictions are reported.",GaussianProcessRegressor,<class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>
Parameters,copy_X_train,bool,True,"If True, a persistent copy of the training data is stored in the object. Otherwise, just a reference to the training data is stored, which might cause predictions to change if the data is modified externally.",GaussianProcessRegressor,<class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>
Parameters,n_targets,int,None,The number of dimensions of the target values. Used to decide the number of outputs when sampling from the prior distributions (i.e. calling :meth:`sample_y` before :meth:`fit`). This parameter is ignored once :meth:`fit` has been called.,GaussianProcessRegressor,<class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>
Attributes,random_state,int,None,Determines random number generation used to initialize the centers. Pass an int for reproducible results across multiple function calls. See :term:`Glossary <random_state>`.,GaussianProcessRegressor,<class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>
Attributes,X_train_,array-like of shape (n_samples,,Feature vectors or other representations of training data (also required for prediction).,GaussianProcessRegressor,<class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>
Attributes,y_train_,array-like of shape (n_samples,,Target values in training data (also required for prediction).,GaussianProcessRegressor,<class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>
Attributes,kernel_,kernel instance,,The kernel used for prediction. The structure of the kernel is the same as the one passed as parameter but with optimized hyperparameters.,GaussianProcessRegressor,<class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>
Attributes,L_,array-like of shape (n_samples,,Lower-triangular Cholesky decomposition of the kernel in ``X_train_``.,GaussianProcessRegressor,<class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>
Attributes,alpha_,array-like of shape (n_samples,,Dual coefficients of training data points in kernel space.,GaussianProcessRegressor,<class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>
Attributes,log_marginal_likelihood_value_,float,,The log-marginal-likelihood of ``self.kernel_.theta``.,GaussianProcessRegressor,<class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>
Attributes,n_features_in_,int,,Number of features seen during :term:`fit`.,GaussianProcessRegressor,<class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>
,feature_names_in_,ndarray of shape (`n_features_in_`,,Names of features seen during :term:`fit`. Defined only when `X` has feature names that are all strings.,GaussianProcessRegressor,<class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>
Parameters,n_components,int or 'auto','auto',Dimensionality of the target projection space. n_components can be automatically adjusted according to the number of samples in the dataset and the bound given by the Johnson-Lindenstrauss lemma. In that case the quality of the embedding is controlled by the ``eps`` parameter. It should be noted that Johnson-Lindenstrauss lemma can yield very conservative estimated of the required number of components as it makes no assumption on the structure of the dataset.,GaussianRandomProjection,<class 'sklearn.random_projection.GaussianRandomProjection'>
