Process,Categorization,Word,Definition
Model Evaluation,Feature Selection,Receiver Operating Characteristic (ROC),"Graphical tool used to evaluate the performance of a binary classifier by plotting the true positive rate against the false positive rate across varying decision thresholds. It originated during World War II in signal detection theory to assess radar system performance. ROC analysis is important because it separates a model’s discriminative ability from any single threshold choice. The curve and its summary statistic, the Area Under the Curve (AUC), provide a threshold-independent measure of performance. ROC is widely used in machine learning, medicine, finance, and risk modeling where trade-offs between sensitivity and specificity matter."
Model Evaluation,Feature Selection,F1 Score,"F1 is harmonic mean is a type of average that is calculated by dividing the number of values by the sum of the reciprocals of the values, making it useful for situations where rates or ratios are involved, such as calculating average speeds or in situations where equal weighting is given to each data point’s contribution to the average. The F-score (or F1-score) is a measure of a model’s accuracy that considers both precision and recall. The F1-score is particularly useful when your dataset is imbalanced, and you want to ensure both precision and recall are considered. For example, if you only focus on precision, you might ignore false negatives (missed positive cases), and if you focus only on recall, you could have many false positives. The F1-score provides a balanced assessment by combining both metrics. The F Score is a Harmonic Mean, which means that it gives additional consideration to the effect of Lower Values (1/ sum (1/x)). Using travel time as an example, if you travelled 20 Miles (10 Miles at 30 MPH and 10 Miles at 60 MPH) your harmonic mean would be 36, not 45."
Model Evaluation,Feature Selection,Precision,"Precision is the ratio of correct positive predictions to the overall number of Positive Predictions.  It is useful when false positives are costly (e.g., spam detection, where predicting a normal email as spam is bad)."
Model Evaluation,Feature Selection,Recall,"Recall is the correct positive predicitions to the overall number of positive examples. It is useful when false negatives are costly (e.g., medical diagnosis, where missing a disease case can be dangerous)."
Validation/ Model Selection,Process Step,Requirement,"Ensure that final selection is documented and agreed by apporpiate stakeholders, who have been part of entire development journey, understand and are aware."
Validation/ Model Selection,Process Step,Requirement,Use cross-validation or a structured validation approach. Provides a more reliable estimate of model performance.
Validation/ Model Selection,Process Step,Requirement,Ensure no data leakage between training and validation sets. Prevents overly optimistic performance estimates.
Validation/ Model Selection,Process Step,Requirement,Confirm performance stability across folds or time splits. Indicates the model is robust and generalizable.
Model Interpretability,Process Step,Requirement,Utilize feature importance metrics to visualize and explain.
Model Interpretability,Process Step,Requirement,"This should be a formal step as engagement along the way has predicted on this as a core tenant and principle. If people seem shocked, embed stronger components earlier in process. "
Model Interpretability,Process Step,Requirement,Document model behavior and major drivers. Supports stakeholder understanding and auditability.
Deployment,Process Step,Requirement,Package the model with all required preprocessing steps. Ensures predictions in production match training conditions.
Deployment,Process Step,Requirement,Test the model in a staging or test environment. Utilize Dedicated Environment. Reduces risk of failures in production.
Deployment,Process Step,Requirement,"Create a versioned and reproducible deployment artifact. Supports rollback, auditing, and maintenance."
Monitoring,Process Step,Requirement,Track model performance metrics over time. Detects degradation or drift after deployment.
Monitoring,Process Step,Requirement,Monitor input data distributions for drift. Identifies changes in data that could affect predictions.
Monitoring,Process Step,Requirement,Define triggers for retraining or model review. Ensures timely corrective action when performance declines.
"Bias, Fairness, and Ethics",Process Step,Requirement,Evaluate model performance across key demographic or operational groups. Identifies potential unfair or unequal outcomes.
"Bias, Fairness, and Ethics",Process Step,Requirement,Review sensitive features and proxy variables. Prevents unintended discrimination.
"Bias, Fairness, and Ethics",Process Step,Requirement,"Document fairness checks and mitigation steps. Supports transparency, accountability, and compliance."
Process Development,Process Step,Documented,"Written down in a clear, accessible format that describes the steps, roles, and expectations. Documentation creates a single source of truth and reduces reliance on memory or informal knowledge. This is important because it ensures consistency, supports training, and allows the process to be sustained even when staff or circumstances change. 

Documented is not sufficient, it must be accessible, available and known. Even when these conditions are met, one must acknowledge that the vast majoirty of people are likely not interested, or willing to read."
Process Development,Process Step,Communicated,"Actively shared with all relevant stakeholders so they understand what the process is, why it matters, and how to follow it. Communication includes orientation, reminders, and opportunities for clarification. This is important because even the best-designed process will fail if people are unaware of it or misunderstand their roles, or forget."
Process Development,Process Step,Supported,"Ancillary resources must be available to support implementation and perfection, which is critically important at the outset. This includes  training, coaching, tools, and ongoing guidance, and learning. Another critical compoent of this is monitoring and feedback which is necssary to ensure the process is being applied as intended and working as expected, as it is critical to acknowledge imperfections (or complete failure as appropriate)."
Process Development,Process Step,Measured,"Includes defined metrics that track whether the process is being followed and whether it is producing the intended results. Measurement provides objective evidence of performance, progress, and areas needing improvement. This is important because without measurement, it is difficult to know if the process is effective or where adjustments are required.

Also, it is critical to remember that individuals without feedback, may honestly not understand whether they are following a process as designed and intended, depsite their best efforts."
Process Development,Process Step,Simple,"Easy to understand, follow, and execute without unnecessary steps or complexity. Simplicity reduces errors, shortens training time, and makes the process more adaptable to change. The more complex a process is, the less likely it will truly generalize or obtain the support and adoption necessary to perfect and embed."
Process Development,Process Step,Clear,"Communicates expectations, roles, and steps in a way that leaves little room for confusion or interpretation. It ensures that everyone involved understands what to do, when to do it, and how success is defined. Clarity is important because it promotes consistency, accountability, and smooth coordination across teams."
Process Development,Process Step,Evident,"Makes the right actions and outcomes visible through straightforward steps, cues, or built-in checks. It allows people to quickly see whether the process is being followed correctly and whether it is producing the intended results. This is important because visibility helps teams detect issues early and maintain quality."
Process Development,Process Step,Obvious,"Mmakes the correct next step intuitive, even for someone new or unfamiliar with the work. It reduces reliance on memory, interpretation, or specialized knowledge to complete tasks correctly. This is important because when the right action is obvious, compliance increases and variation decreases, leading to more reliable outcomes."
Process Development,Process Step,Accountability,"Are Roles and Responsbilities explicity stated? and Is it clear who is responsible for what. Are goals SMART (or atleast defined) or at a minimum, is our partcipation understood and documented.  "
Clustering,Consideration,Goal Setting,"With clustering, the following strategic outcomes can be achieved: 
Strategic Conversations become diagnostic not reactive
Precision without Personalization
Differenitation without Discrimination
Optimization without cumbersome rules"
Clustering,Process Step,Implementation,"Goals of a clustering project can greatly differ, as such there is no universal approach, and in fact the type of clustering which one undertakes differs greatly depending upon goals, objectives, expected outcomes and availabiltiy of data.

At the simplest, the type of Clustering (Supervised vs Unsupervised) is likely the first and easiest distinction, types after that depend on size of data, goals, implementation (real time vs batch), time frame (spot vs time series, member vs member, member vs self, etc).

Example of Behavior Goal: Small Number of Stable, Interpretable, Member Archetypes that summaize the global behavior and can be reused for ML and Analysis."
Clustering,Process Step,Goal Setting,"A classification, via calculation utilizing mathematical precision to identify based on numeric similarity, attributes, characteristics, properties and behaviours across multidimensional space. Clustering has material advantages relative to more simplistic human derived techniques as it is not limited to ambigious thresholds or static rules (which can be time consuming, incorrect and subject to constant change).

Identify explicit groups of members which posses explicit tendancies, characteistics and patterns which the organiation understand and support through tailored strategies, plans and products."
Clustering,Process Step,Problem Definition,"When choosing, need to have a explicit understanding of how and why your choice is being made. Trade Offs include; 
Speed vs Accuracy
Accuracy vs Repeatability
Correlation vs Causation
Stability over Uniqueness
Interpretability over novelty
Repeatability over perfection."
Clustering,Process Step,Problem Definition,"Define the intended use, boundaries, and decision domains for archetype-based strategies"
Clustering,Process Step,Data Collection,"Identify and validate the behavioural attributes, transactions, and usage patterns that define similarity among members"
Clustering,Process Step,Data Preparation,Ensure Data is Labelled and Categorized.
Clustering,Process Step,Data Preparation,"Review Semantic Classifications, insure sufficient and appropriate model coverage."
Clustering,Process Step,Feature Selection,"Correlation & Redundancy Analysis. If Greater than .9 then variables are redudanant, specifically within class. 
As a rule of thumb, newest is better, but is based on decision."
Clustering,Process Step,Feature Selection,Variance & Stability Contribution: Variance Inflation Factor.
Clustering,Process Step,Feature Selection,"Clustering Sensitivity / Stability Tests
1. Testing Results of Model
    2. Adjusted Rand Index (ARI)
    3. Silhouette/ DB Index
    4. Run Now and Overtime"
Clustering,Process Step,Feature Selection,"4. Incremental Value via Feature Importance in Unsupervised Models
    1. Reconstruction Error in Autoencoders
    2. Mutual Information with Latent Cluster Assignment
    3. Permutation for Clustering."
Clustering,Process Step,Feature Selection,Understand the relative contribution and sensitivity of features in forming and separating clusters
Clustering,Process Step,Validation/ Model Selection,"Identify and define distinct, stable member archetypes based on observed behavioural patterns"
Clustering,Process Step,Model Summarization / Model Interpretability,"Characterize each archetype using clear, interpretable behavioural and financial characteristics"
Clustering,Process Step,Model Summarization / Model Interpretability,Design and apply differentiated engagement strategies aligned to each archetype’s characteristics and needs
Clustering,Process Step,Monitoring,"Monitor archetype-level outcomes, migration, and engagement effectiveness over time"
Clustering,Model Evaluation,Variance Inflation Factor,"
Variance Inflation Factor  a numerical measure of how much multicollinearity (linear redundancy) exists between one feature and all the other features in your dataset. How many duplicates of this feature exist in the dataset, expressed as variance inflation. VIF matters because multicollinearity causes problems in models that rely on distances or linear structure. It creates several issues:"
Clustering,Model Evaluation,Inertia,"Quantitative measure used in clustering, particularly in K-means, to describe how tightly data points are grouped around their assigned cluster centroids. The term originates from classical physics, where inertia refers to resistance to change, and was later adopted in statistics and machine learning as an analogy for within-group compactness. In machine learning, inertia is defined as the sum of squared distances between each data point and the centroid of its assigned cluster. It is important because it provides a direct, intuitive measure of cluster compactness and is the objective function minimized during K-means optimization. In practice, inertia is commonly used to evaluate clustering quality and to help select the number of clusters using techniques such as the elbow method."
Clustering,Model Evaluation,Davies–Bouldin Index,"Internal clustering evaluation metric that measures the average similarity between each cluster and its most similar neighboring cluster. It was introduced in 1979 by David L. Davies and Donald W. Bouldin as a way to quantify clustering quality without requiring ground-truth labels. The index combines both intra-cluster dispersion and inter-cluster separation, penalizing solutions where clusters are poorly separated or internally diffuse. It is important because it provides a single scalar value that reflects the trade-off between compactness and separation, two core objectives in clustering. In practice, the Davies–Bouldin Index is widely used to compare clustering solutions and to tune hyperparameters such as the number of clusters.
“How bad is my worst neighboring cluster?” → Lower is better"
Clustering,Model Evaluation,Calinski–Harabasz Index,"Also known as the Variance Ratio Criterion, is an internal clustering evaluation metric that assesses cluster quality by comparing between-cluster dispersion to within-cluster dispersion. It was proposed in 1974 by Tadeusz Calinski and Jerzy Harabasz in the context of multivariate statistical analysis. The index is important because it directly reflects how well clusters are separated relative to how compact they are, normalized by the number of clusters and data points. Higher values indicate better-defined clustering structures with dense, well-separated groups. In practice, the Calinski–Harabasz Index is commonly used to select the optimal number of clusters, particularly in K-means and other centroid-based algorithms.
Calinski–Harabasz: “How strong is separation vs compactness overall?” → Higher is better"
Poetry,,,"poetry config virtualenvs.in-project true or poetry config virtualenvs.in-project true --local.
Determines where Poetry will save the environment, --local means for 1 project, not local it holds for all projects."
Poetry,,,Create a .toml File.
Poetry,,Install into Folder,poetry init
Poetry,,Run to Activate,poetry install
Poetry,,Check Environment,poetry env info
,,Add Package,poetry add
,,Show Packages,poetry show
,,Use Specific Version,poetry env use python3.11
,,Update TOML,poetry lock
,,,poetry add --group dev jupyterlab ipykernel
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,"O layer: input objects, output objects (schemas)"
,,,"Core steps: prompt(s), model call(s), parsing, validation"
,,,Memory/RAG (optional): retrieval + citations
,,,Tools (optional): functions the model can call
,,,"Orchestration: how steps chain, branch, retry"
,,,"Logging/trace: what happened, why, latency, failures"
,,,
,,,
,,,
,,,Data Layer
,,,Signal Extraction Layer
,,,Recommednation Layer
,,,Feedback + evaluation loop
Project Folder Structure,,,Use Python src/ NAME_OF_FOLDER
ML Model,Definition,Activation Function,"A mathematical function applied to a neuron’s weighted input that introduces non-linearity into a neural network. This non-linearity enables the model to learn complex, non-linear relationships in the data. Activation functions are applied within layers during the forward pass of a neural network, transforming intermediate representations before passing them to the next layer. Activation choice affects gradient flow, training stability, and convergence speed. Poor choices can cause vanishing or exploding gradients, limiting the depth or effectiveness of the network"
ML Model,Definition,Loss Function,"A loss function is a mathematical function that measures how far a model’s predictions are from the true target values, producing a single scalar value that represents prediction error and defines the objective to be minimized during training. The loss function is evaluated during training after the forward pass and is the starting point for backpropagation. Its gradients drive parameter updates via the optimizer. Different loss functions encode different assumptions about error, robustness, and business objectives. Choosing an inappropriate loss can lead to models that optimize the wrong behavior, even if training converges successfully."
ML Model,Definition,Model,"The model is the mathematical or algorithmic structure used to map input features to predictions. This includes selecting the model family (e.g., linear models, tree-based models, neural networks) and defining its architecture. Model choice balances predictive power, interpretability, computational cost, and deployment constraints. The model defines howlearning occurs but does not yet involve learning itself."
ML Model,Definition,Optimizer,"Optimization algorithm that updates a model’s parameters using gradients of the loss function in order to minimize training error. It defines how gradient information is transformed into parameter updates. The optimizer operates during training, after gradients are computed via backpropagation, and is not used during inference. Different optimizers trade off convergence speed, stability, and generalization. Hyperparameters such as learning rate and momentum are"
ML Model,Definition,Regularization,"Technique used to prevent overfitting by adding a penalty term to the loss function. It discourages the model from fitting too closely to the training data, ensuring better generalization to unseen data. Traditionnaly results in bias, at benefit of materially lowering Variance. Regularization is a Constraint."
ML Model,Guiding Principle,Machine Learning,"Using a process to enable computers to iteratively learn from the data and improve analysis, outcomes or understanding. Intersection of statistics, artificial intelligence and computer science. Machine's don't learn, they find optimal mathematical formulas based on the data it is presented. There is an assumption that this data set is both representative of other data sets,  and possess similiar statistical distributions', You can argue this is not learning, because slight variances can result in materially different responses and output, Term synonymous with machines doing tasks without explicitly being programmed. Building a statistical model, based on a dataset"
ML Model,Guiding Principle,Optimization,"Optimization is the process of finding the best possible solution to a problem by systematically adjusting inputs or decisions to maximize or minimize a defined objective, subject to given constraints. In machine learning and analytics, optimization involves selecting model parameters that minimize error or maximize performance according to a chosen loss function. Importantly, what is considered “best” depends entirely on how the objective and constraints are defined."
ML Model,Guiding Principle,Deep Learning,"Deep learning is a subset of machine learning that uses multi-layer neural networks to automatically learn hierarchical representations from data, reducing the need for manual feature engineering. By stacking simple processing units called layers—each acting as a filter that transforms inputs into higher-level representations—deep learning models can capture complex patterns through composition. Early challenges such as vanishing gradients, where learning signals faded through many layers, were largely addressed through improved activation functions, optimization methods, and weight initialization strategies. In practice, building a deep learning model involves defining the network architecture (number of layers, connections, and activations) and then specifying how it learns by choosing an optimizer, loss function, and evaluation metrics during compilation."
ML Model,Procedure,ColumnTransformer,
ML Model,Procedure,FunctionTransformer,
ML Model,Procedure,KNeighborsTransformer,
ML Model,Procedure,LabelEncoder,
ML Model,Procedure,MaxAbsScaler,
ML Model,Procedure,MinMaxScaler,
ML Model,Procedure,OneHotEncoder,
ML Model,Procedure,OrdinalEncoder,
ML Model,Procedure,PowerTransformer,
ML Model,Procedure,QuantileTransformer,
ML Model,Procedure,RadiusNeighborsTransformer,
ML Model,Procedure,RBFSampler,
ML Model,Procedure,RobustScaler,
ML Model,Procedure,SkewedChi2Sampler,
ML Model,Procedure,SplineTransformer,
ML Model,Procedure,StandardScaler,
ML Model,Procedure,TargetEncoder,
ML Model,Procedure,TfidfTransformer,
ML Model,Procedure,TransformedTargetRegressor,
ML Model,Algorithm,Ada,"Boosting technique that combines multiple weak learners (usually decision stumps) into a strong learner. ModelStrengths: Handles weak learners well, reduces overfitting. Model Weaknesses: Sensitive to noisy data, requires careful tuning of learning rate."
ML Model,Algorithm,AdaBoostClassifier,"AdaBoostClassifier is an ensemble boosting algorithm that builds a strong classifier by sequentially combining many weak learners, typically decision stumps. It is important because it focuses learning on previously misclassified examples, often achieving high accuracy with simple base models. AdaBoost is commonly used when data is moderately sized and relatively clean. It can be sensitive to noise and outliers due to its reweighting mechanism."
ML Model,Algorithm,AdaBoostRegressor,
ML Model,Algorithm,AffinityPropagation,
ML Model,Algorithm,Agentic AI,"Perform a Specific Task, Autonomously while learning its environment."
ML Model,Algorithm,AgglomerativeClustering,"Agglomerative Clustering is a type of hierarchical clustering that uses a bottom-up approach. Each data point starts in its own cluster, and pairs of clusters are merged step by step based on similarity until all points are in one cluster (or a stopping criterion is met). Strengths: Doesn’t require you to specify the number of clusters up front (if using a dendrogram). Can capture nested cluster structure. Weaknesses; Computationally expensive for large datasets (O(n²)).Once merged, clusters can't be split."
ML Model,Algorithm,ARDRegression,
ML Model,Algorithm,BaggingClassifier,
ML Model,Algorithm,BaggingRegressor,"Ensemble learning method that improves predictive performance by combining the outputs of multiple regression models trained on different subsets of the data. The technique originates from the concept of bootstrap aggregating, introduced by Leo Breiman in 1996, which involves sampling the dataset with replacement to create multiple training sets. Each base model is trained independently, and their predictions are averaged to produce a final output. This process reduces variance and overfitting, especially for models that are sensitive to data fluctuations, such as decision trees. BaggingRegressor is widely used when more stable and robust regression predictions are needed."
ML Model,Algorithm,BayesianGaussianMixture,
ML Model,Algorithm,BayesianRidge,
ML Model,Algorithm,BernoulliNB,
ML Model,Algorithm,BernoulliRBM,
ML Model,Algorithm,Bidirectional Encoder Representations from Transformers (BERT)," It’s a deep learning model for NLP developed by Google in 2018 that understands the context of words in a sentence by looking in both directions — left and right. This is a major upgrade over older models that only read text left-to-right or right-to-left. BERT is like someone reading a sentence and filling in blanks based on the full context.GPT is like someone writing a sentence one word at a time, based only on what they’ve written so far."
ML Model,Algorithm,Binarizer,
ML Model,Algorithm,Birch,
ML Model,Algorithm,Bisecting K-Means,"Hierarchical clustering algorithm that iteratively splits clusters using standard K-Means (with k = 2) until the desired number of clusters is reached. It originated as a hybrid of partitional (K-Means) and hierarchical clustering approaches to improve scalability and cluster quality. Its importance lies in producing more stable and interpretable clusters than standard K-Means, particularly for large datasets. The method is commonly used in document clustering, text mining, and large-scale segmentation tasks. It balances computational efficiency with improved structure discovery."
ML Model,Algorithm,CalibratedClassifierCV,
ML Model,Algorithm,CategoricalNB,
ML Model,Algorithm,CCA,
ML Model,Algorithm,ClassifierChain,
ML Model,Algorithm,ComplementNB,"Variant of the Naive Bayes classifier designed specifically to perform better on imbalanced datasets, particularly in text classification problems. It was introduced by Rennie et al. in 2003 as an improvement over Multinomial Naive Bayes by estimating parameters from the complement of each class rather than the class itself. This adjustment helps reduce the bias that standard Naive Bayes models often show toward majority classes. ComplementNB is especially effective in document classification tasks such as spam detection or topic categorization where word frequencies are used as features. It is valued for its speed, simplicity, and strong performance on high-dimensional sparse data."
ML Model,Algorithm,Convolutional Neural Network,
ML Model,Algorithm,CountVectorizer,
ML Model,Algorithm,DBSCAN,DBSCAN is a density-based clustering algorithm that groups points based on local neighborhood density without requiring a predefined number of clusters. It is especially useful for identifying anomalies and non-spherical clusters. DBSCAN’s strength is its ability to label noise explicitly and handle irregular cluster shapes. Its main weakness is poor scalability and difficulty tuning parameters when data density varies widely.
ML Model,Algorithm,Decision Trees,"An ensemble of decision trees using bagging to reduce overfitting and improve accuracy. ModelStrengths: Reduces overfitting, robust to noise, handles high-dimensional data well. Model Weaknesses': ""Computationally expensive, less interpretable than a single tree.

Algorithm which splits data into branches based on feature values to make decisions or predicitions. Each internal node represents a feature, each branch represens a a decision rule and each leaf node represents an outcome. Decision Trees are popular because they are simple to interpret, require litte data preprocessing and can handle both classificaiton and regression. Their strengths include handling both numerical and catoegorical data, providiing clear visual representations of decisions. They are prone to overfitting and sensitive to noisy data. They work well in scenarios where interpretabiltiy is important, but struggle with high dimensional data when complex relationships exist. "
ML Model,Algorithm,DecisionTreeClassifier,
ML Model,Algorithm,DecisionTreeRegressor,
ML Model,Algorithm,DictionaryLearning,
ML Model,Algorithm,DictVectorizer,
ML Model,Algorithm,DummyClassifier,
ML Model,Algorithm,DummyRegressor,
ML Model,Algorithm,ElasticNetCV,
ML Model,Algorithm,EllipticEnvelope,
ML Model,Algorithm,EmpiricalCovariance,
ML Model,Algorithm,ExtraTreeClassifier,
ML Model,Algorithm,ExtraTreeRegressor,
ML Model,Algorithm,ExtraTreesClassifier,
ML Model,Algorithm,ExtraTreesRegressor,
ML Model,Algorithm,FactorAnalysis,
ML Model,Algorithm,FastICA,
ML Model,Algorithm,FeatureAgglomeration,
ML Model,Algorithm,FeatureHasher,
ML Model,Algorithm,FeatureUnion,
ML Model,Algorithm,FixedThresholdClassifier,
ML Model,Algorithm,FrozenEstimator,
ML Model,Algorithm,GammaRegressor,
ML Model,Algorithm,GaussianMixture,
ML Model,Algorithm,GaussianNB,
ML Model,Algorithm,GaussianProcessClassifier,
ML Model,Algorithm,GaussianProcessRegressor,
ML Model,Algorithm,GaussianRandomProjection,
ML Model,Algorithm,Generalaized Liner Model,
ML Model,Algorithm,GenericUnivariateSelect,
ML Model,Algorithm,Gradient Descent,"Widely used optimization algorithm in machine learning, particularly for training models like neural networks. Its primary goal is to minimize a loss function, which measures the error between the model's predictions and the actual outcomes, by iteratively adjusting the model’s parameters.

Traditional Gradient Descent vs. Stochastic Gradient Descent
In Batch Gradient Descent, the algorithm computes the gradient of the loss function with respect to the model’s parameters using the entire dataset before updating the parameters. While this approach provides a precise update direction, it is computationally expensive and slow for large datasets since it requires processing all data points in each iteration.

Stochastic Gradient Descent (SGD) addresses this issue by approximating the gradient. Instead of computing gradients over the full dataset, SGD updates the model’s parameters using just a single data point at each step. This significantly reduces computational cost per iteration, making the algorithm much faster. However, since updates are based on a single random sample, they introduce high variance (noise), causing fluctuations that may prevent smooth convergence.
Mini-Batch Gradient Descent: To balance efficiency and stability, a common alternative is Mini-Batch Gradient Descent. Instead of using the full dataset (Batch Gradient Descent) or a single data point (SGD), Mini-Batch Gradient Descent computes updates using a small batch of randomly selected data points (e.g., 32, 64, or 128 samples per batch). This approach: Reduces noise compared to SGD while still being computationally efficient. 
Leverages vectorized operations for faster computation using modern hardware (e.g., GPUs).
Smooths out updates while still allowing some stochasticity to escape local minima.
Benefits & Trade-offs of SGD
Faster updates: Each iteration is computationally cheaper than full-batch gradient descent.
Better exploration: The randomness in updates helps escape local minima.
Higher variance: The noisier updates may lead to less stable convergence, requiring techniques like learning rate decay or momentum to improve performance.
Slower convergence: Since updates are less precise, SGD may take longer to reach the optimal solution.
Conclusion
SGD, Mini-Batch Gradient Descent, and Batch Gradient Descent each offer different trade-offs in terms of speed, stability, and computational efficiency. In practice, Mini-Batch Gradient Descent is the most commonly used approach for deep learning, as it provides a balance between computational efficiency and convergence stability."
ML Model,Algorithm,GradientBoostingClassifier,
ML Model,Algorithm,GradientBoostingRegressor,
ML Model,Algorithm,GraphicalLasso,
ML Model,Algorithm,GraphicalLassoCV,
ML Model,Algorithm,GridSearchCV,
ML Model,Algorithm,HashingVectorizer,
ML Model,Algorithm,HistGradientBoostingClassifier,
ML Model,Algorithm,HistGradientBoostingRegressor,
ML Model,Algorithm,HuberRegressor,"HuberRegressor is a robust linear regression model that uses the Huber loss function, which behaves like squared error for small rsiduals and absolute error for large residuals, reducing sensitivity to outliers. It originates from Peter J. Huber’s work in the 1960s on robust statistics, where he introduced the Huber loss as a compromise between least squares and least absolute deviations. Its importance lies in providing stable, reliable parameter estimates when datasets contain noise or outliers that would disproportionately influence ordinary linear regression. HuberRegressor is commonly used in supervised learning for regression problems where data quality is uneven or heavy-tailed. Typical applications include finance, economics, sensor data analysis, and any real-world modeling scenario where robustness matters more than strict optimality under ideal assumptions"
ML Model,Algorithm,IncrementalPCA,
ML Model,Algorithm,IsolationForest,
ML Model,Algorithm,Isomap,
ML Model,Algorithm,IsotonicRegression,
ML Model,Algorithm,KBinsDiscretizer,
ML Model,Algorithm,KernelCenterer,
ML Model,Algorithm,KernelDensity,
ML Model,Algorithm,KernelPCA,
ML Model,Algorithm,KernelRidge,
ML Model,Algorithm,KNeighborsClassifier,"KNeighborsClassifier is a non-parametric classification algorithm that assigns a class based on the majority label among the k nearest data points in feature space. It originates from early pattern recognition and instance-based learning research. Its importance lies in its simplicity and interpretability, requiring no explicit training phase. The model is commonly applied in recommendation systems, pattern recognition, and baseline classification tasks. Its performance depends heavily on distance metrics and feature scaling."
ML Model,Algorithm,KNeighborsRegressor,
ML Model,Algorithm,KNN,"k-Nearest Neighbors is a non-parametric, instance-based method that measures similarity between observations using a distance metric in feature space. It answers the question: “Which existing observations are most similar to this one?”rather than learning global patterns or groups. Its strengths are simplicity, transparency, and usefulness for validation, comparison, and recommendation-style problems. Its weaknesses are lack of global structure, sensitivity to feature scaling and noise, and limited interpretability for broad segmentation or storytelling"
ML Model,Algorithm,KNNImputer,
ML Model,Algorithm,LabelBinarizer,
ML Model,Algorithm,LabelPropagation,
ML Model,Algorithm,LabelSpreading,
ML Model,Algorithm,Large Language Model (LLM),Understanding and Generating Human Like Text
ML Model,Algorithm,Lars,
ML Model,Algorithm,LarsCV,
ML Model,Algorithm,LassoCV,
ML Model,Algorithm,LassoLars,
ML Model,Algorithm,LassoLarsCV,
ML Model,Algorithm,LassoLarsIC,
ML Model,Algorithm,LatentDirichletAllocation,
ML Model,Algorithm,LedoitWolf,
ML Model,Algorithm,Linear Regression,"Models the relationship between an independent variable ( X ) and a dependent variable ( Y ) using a linear function. Model strengths include : Simple, interpretable, computationally efficient, works well for linearly separable data. Weaknesses, Assumes linear relationships, sensitive to outliers. Can calculate using two different approaches, Closed Form or Gradient Decent. Closed Form Solution was the original approach, can be calculated using advanced Calculus, which is easy for simple instances with a low number of independent variables, however Gradient Decent increasingly utilized as easy to implement via numeric calculation,  Python Linear Regression utilizies Pseudoinverse, which is computationally less expensive. However, it is Big O 2² to 2³, which means doubling features increases computations complexity 4 times.

Cost function for Linear Regression is usually Mean Squared Error. While it does not have to be, it is convenient for a number of reasons. 
1) Rarely Overfits, which Polynomial equations frequently do. 
2) It always has a derivative, which makes it convenient for using closed forms solutions (saving computation complexity). Historically was applied via Closed Form Solution, which can be difficult to calculate, computationally expensive. "
ML Model,Algorithm,LinearDiscriminantAnalysis,"Supervised statistical learning method used for classification and dimensionality reduction. It originated from the work of Ronald A. Fisher in the 1930s, initially developed to separate classes by maximizing the ratio of between-class variance to within-class variance. LDA is important because it explicitly incorporates class labels to find feature projections that best separate groups, unlike unsupervised methods such as PCA. In practice, LDA is commonly applied in pattern recognition, bioinformatics, finance, and any domain where interpretability and class separation are critical. Its linear decision boundaries make it computationally efficient and easy to reason about."
ML Model,Algorithm,LinearSVC,
ML Model,Algorithm,LinearSVR,
ML Model,Algorithm,LocallyLinearEmbedding,"Locally Linear Embedding is a nonlinear dimensionality reduction technique that preserves local neighborhood relationships when projecting high-dimensional data into a lower-dimensional space. It originated in the early 2000s from manifold learning research aimed at uncovering intrinsic geometric structure in data. Its importance lies in capturing nonlinear patterns that linear techniques like PCA cannot represent. LLE is widely used for visualization, exploratory analysis, and preprocessing in complex datasets such as images or sensor data. It assumes the data lies on a smooth, lower-dimensional manifold."
ML Model,Algorithm,LocalOutlierFactor,
ML Model,Algorithm,Logistic Regression,"Predicts probabilities using the sigmoid function for binary classification problems.
Model Strengths include; Simple, interpretable, performs well for linearly separable data. Model Weaknesses: Struggles with non-linear relationships, assumes linear relationship between features and log-odds."
ML Model,Algorithm,LogisticRegression,
ML Model,Algorithm,LogisticRegressionCV,
ML Model,Algorithm,MDS,
ML Model,Algorithm,MeanShift,
ML Model,Algorithm,MinCovDet,
ML Model,Algorithm,MiniBatchDictionaryLearning,
ML Model,Algorithm,MiniBatchNMF,
ML Model,Algorithm,MiniBatchSparsePCA,
ML Model,Algorithm,MissingIndicator,
ML Model,Algorithm,MLPClassifier,
ML Model,Algorithm,MLPRegressor,
ML Model,Algorithm,MultiLabelBinarizer,
ML Model,Algorithm,MultinomialNB,
ML Model,Algorithm,MultiOutputClassifier,
ML Model,Algorithm,MultiOutputRegressor,
ML Model,Algorithm,MultiTaskElasticNet,
ML Model,Algorithm,MultiTaskElasticNetCV,
ML Model,Algorithm,MultiTaskLasso,
ML Model,Algorithm,MultiTaskLassoCV,
ML Model,Algorithm,NearestCentroid,
ML Model,Algorithm,NearestNeighbors,
ML Model,Algorithm,NeighborhoodComponentsAnalysis,Neighborhood Components Analysis is a supervised dimensionality reduction and metric learning method that learns a transformation optimizing nearest-neighbor classification performance. It originated in the context of distance metric learning to improve k-NN accuracy. Its importance comes from directly aligning feature space geometry with predictive performance rather than variance preservation. NCA is commonly applied in classification tasks where distance-based reasoning is critical. It learns task-specific representations rather than general-purpose embeddings.
ML Model,Algorithm,Neural Network,
