Process,Categorization,Word,Definition,Source
ML Model,Algorithm,BaggingClassifier,,Examine Further
ML Model,Algorithm,BaggingRegressor,,Examine Further
ML Model,Algorithm,BayesianGaussianMixture,,Examine Further
ML Model,Algorithm,BayesianRidge,,Examine Further
ML Model,Algorithm,BernoulliNB,,Examine Further
ML Model,Algorithm,BernoulliRBM,,Examine Further
ML Model,Algorithm,Bidirectional Encoder Representations from Transformers (BERT)," It’s a deep learning model for NLP developed by Google in 2018 that understands the context of words in a sentence by looking in both directions — left and right. This is a major upgrade over older models that only read text left-to-right or right-to-left. BERT is like someone reading a sentence and filling in blanks based on the full context.GPT is like someone writing a sentence one word at a time, based only on what they’ve written so far.",Examine Further
ML Model,Algorithm,Binarizer,,Examine Further
ML Model,Algorithm,Birch,,Examine Further
ML Model,Algorithm,Bisecting K-Means,"Hierarchical clustering algorithm that iteratively splits clusters using standard K-Means (with k = 2) until the desired number of clusters is reached. It originated as a hybrid of partitional (K-Means) and hierarchical clustering approaches to improve scalability and cluster quality. Its importance lies in producing more stable and interpretable clusters than standard K-Means, particularly for large datasets. The method is commonly used in document clustering, text mining, and large-scale segmentation tasks. It balances computational efficiency with improved structure discovery.",Examine Further
ML Model,Algorithm,CCA,,Examine Further
ML Model,Algorithm,CalibratedClassifierCV,,Examine Further
ML Model,Algorithm,CategoricalNB,,Examine Further
ML Model,Algorithm,ClassifierChain,,Examine Further
ML Model,Algorithm,ComplementNB,,Examine Further
ML Model,Algorithm,Convolutional Neural Network,,Examine Further
ML Model,Algorithm,CountVectorizer,,Examine Further
ML Model,Algorithm,DBSCAN,DBSCAN is a density-based clustering algorithm that groups points based on local neighborhood density without requiring a predefined number of clusters. It is especially useful for identifying anomalies and non-spherical clusters. DBSCAN’s strength is its ability to label noise explicitly and handle irregular cluster shapes. Its main weakness is poor scalability and difficulty tuning parameters when data density varies widely.,Examine Further
ML Model,Algorithm,Decision Trees,"An ensemble of decision trees using bagging to reduce overfitting and improve accuracy. ModelStrengths: Reduces overfitting, robust to noise, handles high-dimensional data well. Model Weaknesses': ""Computationally expensive, less interpretable than a single tree.

Algorithm which splits data into branches based on feature values to make decisions or predicitions. Each internal node represents a feature, each branch represens a a decision rule and each leaf node represents an outcome. Decision Trees are popular because they are simple to interpret, require litte data preprocessing and can handle both classificaiton and regression. Their strengths include handling both numerical and catoegorical data, providiing clear visual representations of decisions. They are prone to overfitting and sensitive to noisy data. They work well in scenarios where interpretabiltiy is important, but struggle with high dimensional data when complex relationships exist. ",Examine Further
ML Model,Algorithm,DecisionTreeClassifier,,Examine Further
ML Model,Algorithm,DecisionTreeRegressor,,Examine Further
ML Model,Algorithm,DictVectorizer,,Examine Further
ML Model,Algorithm,DictionaryLearning,,Examine Further
ML Model,Algorithm,DummyClassifier,,Examine Further
ML Model,Algorithm,DummyRegressor,,Examine Further
ML Model,Algorithm,ElasticNetCV,,Examine Further
ML Model,Algorithm,EllipticEnvelope,,Examine Further
ML Model,Algorithm,EmpiricalCovariance,,Examine Further
ML Model,Algorithm,ExtraTreeClassifier,,Examine Further
ML Model,Algorithm,ExtraTreeRegressor,,Examine Further
ML Model,Algorithm,ExtraTreesClassifier,,Examine Further
ML Model,Algorithm,ExtraTreesRegressor,,Examine Further
ML Model,Algorithm,FactorAnalysis,,Examine Further
ML Model,Algorithm,FastICA,,Examine Further
ML Model,Algorithm,FeatureAgglomeration,,Examine Further
ML Model,Algorithm,FeatureHasher,,Examine Further
ML Model,Algorithm,FeatureUnion,,Examine Further
ML Model,Algorithm,FixedThresholdClassifier,,Examine Further
ML Model,Algorithm,FrozenEstimator,,Examine Further
ML Model,Algorithm,GammaRegressor,,Examine Further
ML Model,Algorithm,Gaussian Mixture Model (GMM),A Gaussian Mixture Model assumes data is generated from a mixture of Gaussian distributions and assigns each observation a probability of belonging to each cluster. It is useful for soft segmentation and identifying transitional or ambiguous cases. GMMs are more flexible than KMeans but require careful feature scaling and can be unstable on high-dimensional or noisy data. They are best used when overlap between segments is expected and meaningful.,Examine Further
ML Model,Algorithm,GaussianMixture,,Examine Further
ML Model,Algorithm,GaussianNB,,Examine Further
ML Model,Algorithm,GaussianProcessClassifier,,Examine Further
ML Model,Algorithm,GaussianProcessRegressor,,Examine Further
ML Model,Algorithm,GaussianRandomProjection,,Examine Further
ML Model,Algorithm,Generalaized Liner Model,,Examine Further
ML Model,Algorithm,GenericUnivariateSelect,,Examine Further
ML Model,Algorithm,Gradient Descent,"Widely used optimization algorithm in machine learning, particularly for training models like neural networks. Its primary goal is to minimize a loss function, which measures the error between the model's predictions and the actual outcomes, by iteratively adjusting the model’s parameters.

Traditional Gradient Descent vs. Stochastic Gradient Descent
In Batch Gradient Descent, the algorithm computes the gradient of the loss function with respect to the model’s parameters using the entire dataset before updating the parameters. While this approach provides a precise update direction, it is computationally expensive and slow for large datasets since it requires processing all data points in each iteration.

Stochastic Gradient Descent (SGD) addresses this issue by approximating the gradient. Instead of computing gradients over the full dataset, SGD updates the model’s parameters using just a single data point at each step. This significantly reduces computational cost per iteration, making the algorithm much faster. However, since updates are based on a single random sample, they introduce high variance (noise), causing fluctuations that may prevent smooth convergence.
Mini-Batch Gradient Descent: To balance efficiency and stability, a common alternative is Mini-Batch Gradient Descent. Instead of using the full dataset (Batch Gradient Descent) or a single data point (SGD), Mini-Batch Gradient Descent computes updates using a small batch of randomly selected data points (e.g., 32, 64, or 128 samples per batch). This approach: Reduces noise compared to SGD while still being computationally efficient. 
Leverages vectorized operations for faster computation using modern hardware (e.g., GPUs).
Smooths out updates while still allowing some stochasticity to escape local minima.
Benefits & Trade-offs of SGD
Faster updates: Each iteration is computationally cheaper than full-batch gradient descent.
Better exploration: The randomness in updates helps escape local minima.
Higher variance: The noisier updates may lead to less stable convergence, requiring techniques like learning rate decay or momentum to improve performance.
Slower convergence: Since updates are less precise, SGD may take longer to reach the optimal solution.
Conclusion
SGD, Mini-Batch Gradient Descent, and Batch Gradient Descent each offer different trade-offs in terms of speed, stability, and computational efficiency. In practice, Mini-Batch Gradient Descent is the most commonly used approach for deep learning, as it provides a balance between computational efficiency and convergence stability.",Examine Further
ML Model,Algorithm,GradientBoostingClassifier,,Examine Further
ML Model,Algorithm,GradientBoostingRegressor,,Examine Further
ML Model,Algorithm,Graph-based clustering,"Graph-based clustering represents data as a network where nodes are observations and edges represent similarity, then identifies communities within the graph. It answers the question: “What natural communities emerge from pairwise relationships?” Its strength is capturing complex, non-linear structure that other methods miss. Its weaknesses are scalability challenges and difficulty explaining results to non-technical stakeholders.",Examine Further
ML Model,Algorithm,GraphicalLasso,,Examine Further
ML Model,Algorithm,GraphicalLassoCV,,Examine Further
ML Model,Algorithm,GridSearchCV,,Examine Further
ML Model,Algorithm,HDBSCAN,HDBSCAN is an extension of DBSCAN that builds a hierarchy of density-based clusters and selects stable ones automatically. It answers similar questions to DBSCAN but with improved robustness and less manual parameter tuning. Its strengths are better performance on real-world data and more reliable cluster discovery. Its weaknesses include higher computational cost and more complex interpretation.,Examine Further
ML Model,Algorithm,HDBSCAN,HDBSCAN is an extension of DBSCAN that builds a hierarchy of density-based clusters and selects stable ones automatically. It answers similar questions to DBSCAN but with improved robustness and less manual parameter tuning. Its strengths are better performance on real-world data and more reliable cluster discovery. Its weaknesses include higher computational cost and more complex interpretation.,Examine Further
ML Model,Algorithm,Hard Voting,"Hard voting is an ensemble decision strategy where multiple classifiers each cast a single class prediction, and the final output is determined by majority vote. It emerged from early ensemble and committee-based learning approaches. Its importance lies in its simplicity and robustness, particularly when individual models make uncorrelated errors. Hard voting is most effective when all models have comparable performance and confidence calibration is not required. It is commonly used in baseline ensemble classifiers and interpretable decision systems.",Examine Further
ML Model,Algorithm,HashingVectorizer,,Examine Further
ML Model,Algorithm,HistGradientBoostingClassifier,,Examine Further
ML Model,Algorithm,HistGradientBoostingRegressor,,Examine Further
ML Model,Algorithm,HuberRegressor,"HuberRegressor is a robust linear regression model that uses the Huber loss function, which behaves like squared error for small rsiduals and absolute error for large residuals, reducing sensitivity to outliers. It originates from Peter J. Huber’s work in the 1960s on robust statistics, where he introduced the Huber loss as a compromise between least squares and least absolute deviations. Its importance lies in providing stable, reliable parameter estimates when datasets contain noise or outliers that would disproportionately influence ordinary linear regression. HuberRegressor is commonly used in supervised learning for regression problems where data quality is uneven or heavy-tailed. Typical applications include finance, economics, sensor data analysis, and any real-world modeling scenario where robustness matters more than strict optimality under ideal assumptions",Examine Further
ML Model,Algorithm,IncrementalPCA,,Examine Further
ML Model,Algorithm,IsolationForest,,Examine Further
ML Model,Algorithm,Isomap,,Examine Further
ML Model,Algorithm,IsotonicRegression,,Examine Further
ML Model,Algorithm,KBinsDiscretizer,,Examine Further
ML Model,Algorithm,KMeans,,Examine Further
ML Model,Algorithm,KNN,"k-Nearest Neighbors is a non-parametric, instance-based method that measures similarity between observations using a distance metric in feature space. It answers the question: “Which existing observations are most similar to this one?”rather than learning global patterns or groups. Its strengths are simplicity, transparency, and usefulness for validation, comparison, and recommendation-style problems. Its weaknesses are lack of global structure, sensitivity to feature scaling and noise, and limited interpretability for broad segmentation or storytelling",Examine Further
ML Model,Algorithm,KNNImputer,,Examine Further
ML Model,Algorithm,KNeighborsClassifier,"KNeighborsClassifier is a non-parametric classification algorithm that assigns a class based on the majority label among the k nearest data points in feature space. It originates from early pattern recognition and instance-based learning research. Its importance lies in its simplicity and interpretability, requiring no explicit training phase. The model is commonly applied in recommendation systems, pattern recognition, and baseline classification tasks. Its performance depends heavily on distance metrics and feature scaling.",Examine Further
ML Model,Algorithm,KNeighborsRegressor,,Examine Further
ML Model,Algorithm,KernelCenterer,,Examine Further
ML Model,Algorithm,KernelDensity,,Examine Further
ML Model,Algorithm,KernelPCA,,Examine Further
ML Model,Algorithm,KernelRidge,,Examine Further
ML Model,Algorithm,LabelBinarizer,,Examine Further
ML Model,Algorithm,LabelPropagation,,Examine Further
ML Model,Algorithm,LabelSpreading,,Examine Further
ML Model,Algorithm,Large Language Model (LLM),Understanding and Generating Human Like Text,Examine Further
ML Model,Algorithm,Lars,,Examine Further
ML Model,Algorithm,LarsCV,,Examine Further
ML Model,Algorithm,LassoCV,,Examine Further
ML Model,Algorithm,LassoLars,,Examine Further
ML Model,Algorithm,LassoLarsCV,,Examine Further
ML Model,Algorithm,LassoLarsIC,,Examine Further
ML Model,Algorithm,LatentDirichletAllocation,,Examine Further
ML Model,Algorithm,LedoitWolf,,Examine Further
ML Model,Algorithm,Linear Regression,"Models the relationship between an independent variable ( X ) and a dependent variable ( Y ) using a linear function. Model strengths include : Simple, interpretable, computationally efficient, works well for linearly separable data. Weaknesses, Assumes linear relationships, sensitive to outliers. Can calculate using two different approaches, Closed Form or Gradient Decent. Closed Form Solution was the original approach, can be calculated using advanced Calculus, which is easy for simple instances with a low number of independent variables, however Gradient Decent increasingly utilized as easy to implement via numeric calculation,  Python Linear Regression utilizies Pseudoinverse, which is computationally less expensive. However, it is Big O 2² to 2³, which means doubling features increases computations complexity 4 times.

Cost function for Linear Regression is usually Mean Squared Error. While it does not have to be, it is convenient for a number of reasons. 
1) Rarely Overfits, which Polynomial equations frequently do. 
2) It always has a derivative, which makes it convenient for using closed forms solutions (saving computation complexity). Historically was applied via Closed Form Solution, which can be difficult to calculate, computationally expensive. ",Examine Further
ML Model,Algorithm,LinearDiscriminantAnalysis,,Examine Further
ML Model,Algorithm,LinearSVC,,Examine Further
ML Model,Algorithm,LinearSVR,,Examine Further
ML Model,Algorithm,LocalOutlierFactor,,Examine Further
ML Model,Algorithm,LocallyLinearEmbedding,"Locally Linear Embedding is a nonlinear dimensionality reduction technique that preserves local neighborhood relationships when projecting high-dimensional data into a lower-dimensional space. It originated in the early 2000s from manifold learning research aimed at uncovering intrinsic geometric structure in data. Its importance lies in capturing nonlinear patterns that linear techniques like PCA cannot represent. LLE is widely used for visualization, exploratory analysis, and preprocessing in complex datasets such as images or sensor data. It assumes the data lies on a smooth, lower-dimensional manifold.",Examine Further
ML Model,Algorithm,Logistic Regression,"Predicts probabilities using the sigmoid function for binary classification problems.
Model Strengths include; Simple, interpretable, performs well for linearly separable data. Model Weaknesses: Struggles with non-linear relationships, assumes linear relationship between features and log-odds.",Examine Further
ML Model,Algorithm,LogisticRegression,,Examine Further
ML Model,Algorithm,LogisticRegressionCV,,Examine Further
ML Model,Algorithm,MDS,,Examine Further
ML Model,Algorithm,MLPClassifier,,Examine Further
ML Model,Algorithm,MLPRegressor,,Examine Further
ML Model,Algorithm,MeanShift,,Examine Further
ML Model,Algorithm,MinCovDet,,Examine Further
ML Model,Algorithm,MiniBatchDictionaryLearning,,Examine Further
ML Model,Algorithm,MiniBatchKMeans,,Examine Further
ML Model,Algorithm,MiniBatchNMF,,Examine Further
ML Model,Algorithm,MiniBatchSparsePCA,,Examine Further
ML Model,Algorithm,MissingIndicator,,Examine Further
ML Model,Algorithm,MultiLabelBinarizer,,Examine Further
ML Model,Algorithm,MultiOutputClassifier,,Examine Further
ML Model,Algorithm,MultiOutputRegressor,,Examine Further
ML Model,Algorithm,MultiTaskElasticNet,,Examine Further
ML Model,Algorithm,MultiTaskElasticNetCV,,Examine Further
ML Model,Algorithm,MultiTaskLasso,,Examine Further
ML Model,Algorithm,MultiTaskLassoCV,,Examine Further
ML Model,Algorithm,MultinomialNB,,Examine Further
ML Model,Algorithm,NMF,"Non-negative Matrix Factorization is a matrix decomposition technique that factorizes a non-negative data matrix into two lower-rank non-negative matrices, typically interpreted as parts-based representations of the original data. It was popularized in the late 1990s by Daniel D. Lee and H. Sebastian Seung, who showed that the non-negativity constraint leads to more interpretable components than methods like PCA or SVD. NMF is important because it aligns well with many real-world datasets where values are naturally non-negative (e.g., counts, intensities, frequencies) and because its components often correspond to meaningful latent factors. It is widely used in unsupervised learning for dimensionality reduction and feature extraction. Common applications include topic modeling in text analysis, image and signal processing, bioinformatics (e.g., gene expression analysis), and customer behavior segmentation.",Examine Further
ML Model,Algorithm,NearestCentroid,,Examine Further
ML Model,Algorithm,NearestNeighbors,,Examine Further
ML Model,Algorithm,NeighborhoodComponentsAnalysis,Neighborhood Components Analysis is a supervised dimensionality reduction and metric learning method that learns a transformation optimizing nearest-neighbor classification performance. It originated in the context of distance metric learning to improve k-NN accuracy. Its importance comes from directly aligning feature space geometry with predictive performance rather than variance preservation. NCA is commonly applied in classification tasks where distance-based reasoning is critical. It learns task-specific representations rather than general-purpose embeddings.,Examine Further
ML Model,Algorithm,Neural Network,,Examine Further
ML Model,Algorithm,Normalizer,,Examine Further
ML Model,Algorithm,NuSVC,,Examine Further
ML Model,Algorithm,NuSVR,,Examine Further
ML Model,Algorithm,Nystroem,,Examine Further
ML Model,Algorithm,OAS,,Examine Further
ML Model,Algorithm,OPTICS,,Examine Further
ML Model,Algorithm,OneClassSVM,,Examine Further
ML Model,Algorithm,OneVsOneClassifier,,Examine Further
ML Model,Algorithm,OneVsRestClassifier,,Examine Further
ML Model,Algorithm,OrthogonalMatchingPursuit,,Examine Further
ML Model,Algorithm,OrthogonalMatchingPursuitCV,,Examine Further
ML Model,Algorithm,OutputCodeClassifier,,Examine Further
ML Model,Algorithm,PCA,,Examine Further
ML Model,Algorithm,PLSCanonical,"PLSCanonical is a multivariate statistical method that finds latent variables maximizing the correlation between two datasets. It originates from Partial Least Squares methods developed in chemometrics in the 1960s–70s. Its importance lies in modeling relationships between two high-dimensional, collinear datasets where traditional regression fails. PLSCanonical is often used when predictors and responses are both multivariate. Applications include bioinformatics, econometrics, and multi-view data analysis.",Examine Further
ML Model,Algorithm,PLSRegression,,Examine Further
ML Model,Algorithm,PLSSVD,,Examine Further
ML Model,Algorithm,PassiveAggressiveClassifier,,Examine Further
ML Model,Algorithm,PassiveAggressiveRegressor,,Examine Further
ML Model,Algorithm,PatchExtractor,,Examine Further
ML Model,Algorithm,Perceptron,"The Perceptron is one of the earliest linear classification algorithms, learning a decision boundary by iteratively adjusting weights based on misclassified examples. It is important historically as the foundation of modern neural networks and gradient-based learning. In practice, it is used mainly for educational purposes or as a fast baseline on linearly separable data. Its simplicity limits its performance on noisy or non-linear problems.",Examine Further
ML Model,Algorithm,Pipeline,,Examine Further
ML Model,Algorithm,PoissonRegressor,,Examine Further
ML Model,Algorithm,PolynomialCountSketch,,Examine Further
ML Model,Algorithm,PolynomialFeatures,,Examine Further
ML Model,Algorithm,QuadraticDiscriminantAnalysis,,Examine Further
ML Model,Algorithm,Quantile Random Forest,"Quantile Random Forest is an extension of random forests that estimates conditional quantiles of the target variable instead of only the mean. It is important because it provides uncertainty information and prediction intervals, not just point estimates. This method is commonly used in risk modeling, forecasting, and decision-making scenarios where understanding the distribution of outcomes matters. It is particularly useful when residuals are heteroskedastic or non-Gaussian.",Examine Further
ML Model,Algorithm,QuantileRegressor,,Examine Further
ML Model,Algorithm,RANSACRegressor,,Examine Further
ML Model,Algorithm,RFECV,,Examine Further
ML Model,Algorithm,RadiusNeighborsClassifier,,Examine Further
ML Model,Algorithm,RadiusNeighborsRegressor,,Examine Further
ML Model,Algorithm,RandomForestClassifier,"RandomForestClassifier is an ensemble learning algorithm that builds many decision trees using bootstrapped samples of the data and aggregates their predictions via majority voting. It was formalized by Leo Breiman (2001), building on earlier work in decision trees and bagging to reduce variance and overfitting. Its importance lies in its strong out-of-the-box performance, robustness to noise, and ability to model complex non-linear relationships without heavy feature engineering. The model is widely used because it balances predictive power with interpretability through feature importance measures. In practice, it is a common baseline and production model across many applied machine-learning domains.",Examine Further
ML Model,Algorithm,RandomForestRegressor,,Examine Further
ML Model,Algorithm,RandomTreesEmbedding,"RandomTreesEmbedding is an unsupervised transformation technique that maps data into a high-dimensional sparse feature space using randomly generated decision trees. It originates from ensemble tree methods and was introduced to create nonlinear feature representations. Its importance lies in enabling downstream linear models to capture complex, nonlinear structures. Unlike Random Forests, it does not use target labels during training. It is commonly used for feature engineering, clustering, and anomaly detection.",Examine Further
ML Model,Algorithm,RandomizedSearchCV,,Examine Further
ML Model,Algorithm,Recurrent Neural Network,,Examine Further
ML Model,Algorithm,Recursive Feature Elimination," (RFE) is a feature selection technique that iteratively trains a model, ranks features by importance, and removes the least important features at each step. It originated in the early 2000s from work in statistical learning and bioinformatics, most notably Guyon et al. (2002) for gene selection using support vector machines. Its importance lies in reducing model complexity, improving generalization, and increasing interpretability by systematically identifying the most predictive subset of features. RFE is model-agnostic in concept but depends on an underlying estimator that can provide feature rankings. In practice, it is widely applied when feature dimensionality is high and understanding feature contribution is as important as predictive accuracy.",Examine Further
ML Model,Algorithm,RegressorChain,,Examine Further
ML Model,Algorithm,RidgeCV,"RidgeCV is a regression model that combines ridge regression (L2 regularization) with cross-validation to automatically select the optimal regularization strength. It is important because it reduces overfitting while maintaining stability in the presence of multicollinearity. RidgeCV is commonly used when predictors are highly correlated and predictive performance is prioritized over feature sparsity. It provides a principled, automated way to tune regularization.",Examine Further
ML Model,Algorithm,RidgeClassifier,,Examine Further
ML Model,Algorithm,RidgeClassifierCV,,Examine Further
ML Model,Algorithm,SGDClassifier,"SGDClassifier is a linear classification algorithm that trains models using stochastic gradient descent, updating parameters incrementally with each batch or observation. It is important because it scales efficiently to very large datasets and supports multiple loss functions (e.g., logistic regression, hinge loss). SGDClassifier is commonly used when data is high-dimensional, streaming, or too large for batch optimization methods. It trades some stability for speed and scalability.",Examine Further
ML Model,Algorithm,SGDOneClassSVM,,Examine Further
ML Model,Algorithm,SGDRegressor,,Examine Further
ML Model,Algorithm,SVC,,Examine Further
ML Model,Algorithm,SVR,,Examine Further
ML Model,Algorithm,SelectFdr,,Examine Further
ML Model,Algorithm,SelectFpr,SelectFpr is a feature selection method that selects features based on statistical tests while controlling the false positive rate. It is important because it helps remove irrelevant features while limiting the probability of including noise variables. SelectFpr is typically used in high-dimensional settings such as genomics or text data. It is appropriate when interpretability and statistical control are priorities.,Examine Further
ML Model,Algorithm,SelectFromModel,,Examine Further
ML Model,Algorithm,SelectFwe,,Examine Further
ML Model,Algorithm,SelectKBest,,Examine Further
ML Model,Algorithm,SelectPercentile,,Examine Further
ML Model,Algorithm,SelfTrainingClassifier,,Examine Further
ML Model,Algorithm,SequentialFeatureSelector,,Examine Further
ML Model,Algorithm,ShrunkCovariance,,Examine Further
ML Model,Algorithm,SimpleImputer,,Examine Further
ML Model,Algorithm,Soft Voting,"Soft voting is an ensemble technique where classifiers output class probabilities, which are averaged (or weighted) to determine the final prediction. It evolved as probabilistic classifiers became more common and better calibrated. Soft voting is important because it incorporates confidence information, often leading to better performance than hard voting. It is especially effective when combining diverse models with well-calibrated probability outputs. Soft voting is widely used in production ML systems and competitive modeling.",Examine Further
ML Model,Algorithm,SparseCoder,,Examine Further
ML Model,Algorithm,SparsePCA,,Examine Further
ML Model,Algorithm,SparseRandomProjection,,Examine Further
ML Model,Algorithm,SpectralBiclustering,,Examine Further
ML Model,Algorithm,SpectralClustering,,Examine Further
ML Model,Algorithm,SpectralCoclustering,,Examine Further
ML Model,Algorithm,SpectralEmbedding,,Examine Further
ML Model,Algorithm,StackingClassifier,"StackingClassifier is an ensemble learning method that combines multiple base classifiers by training a higher-level “meta-model” to learn how best to aggregate their predictions. It emerged from ensemble learning research in the 1990s, building on the idea that diverse models capture different patterns in data. Its importance lies in its ability to improve predictive performance beyond any single model by leveraging complementary strengths. Stacking is especially effective when base models are heterogeneous (e.g., trees, linear models, SVMs). It is commonly applied in high-stakes predictive tasks such as fraud detection, credit scoring, and machine-learning competitions.",Examine Further
ML Model,Algorithm,StackingRegressor,,Examine Further
ML Model,Algorithm,Support Vector Machines,"Finds the optimal hyperplane that best separates data points of different classes in a feature space. The hyperplane is chosen to maximize the margin, which is the distance between the hyperplane and the nearest data points from each class, known as support vectors. By default, generally a Linear Line, however can utilize Kernels to change, such that datasets where decision boundary is not linearly seperable can become so in higher dimensions.

ModelStrengths: Effective in high-dimensional spaces, works well with clear margins of separation. Model Weaknesses:Computationally expensive, struggles with large datasets.",Examine Further
ML Model,Algorithm,Support Vector Regression,"SVR tries to fit a function within a margin of tolerance (epsilon) around the true data points — instead of minimizing the error between predicted and actual values like in ordinary least squares regression. Margin of Tolerance (ε): Instead of minimizing all errors, SVR ignores errors as long as they're within this ""epsilon-tube"" around the true values.Support Vectors: Only data points outside the epsilon margin contribute to the model (i.e., they influence the regression line).Kernel Trick: Like SVM, SVR can use kernels (e.g., linear, RBF) to model nonlinear relationships.",Examine Further
ML Model,Algorithm,TSNE,,Examine Further
ML Model,Algorithm,TfidfVectorizer,,Examine Further
ML Model,Algorithm,TheilSenRegressor,,Examine Further
ML Model,Algorithm,TruncatedSVD,,Examine Further
ML Model,Algorithm,TunedThresholdClassifierCV,,Examine Further
ML Model,Algorithm,TweedieRegressor,,Examine Further
ML Model,Algorithm,VarianceThreshold,,Examine Further
ML Model,Algorithm,VotingClassifier,"VotingClassifier is an ensemble method that combines predictions from multiple different models into a single prediction, using either majority voting (hard voting) or averaged probabilities (soft voting). It is important because combining diverse models often improves robustness and generalization compared to any single model. Voting classifiers are typically used when several reasonably strong models exist and their errors are not perfectly correlated. They are especially useful in production systems where stability is valued over interpretability.",Examine Further
ML Model,Algorithm,VotingRegressor,,Examine Further
ML Model,Algorithm,Word2Vec,"Word2Vec is a neural-network–based method that learns dense vector embeddings for words, capturing semantic and syntactic relationships. Unlike Bag of Words, which only counts word occurrences and ignores meaning, Word2Vec represents words in a continuous vector space where similarity between vectors reflects semantic closeness",Examine Further
ML Model,Algorithm,XGBoost,,Examine Further
ML Model,Algorithm,kNN graph clustering,kNN graph clustering builds a graph by connecting each observation to its nearest neighbors and then finds communities within that graph. It is useful for discovering local structure and non-obvious groupings in complex data. Its strength is flexibility and sensitivity to fine-grained patterns. Its weakness is computational cost and dependence on similarity definitions and neighborhood size.,Examine Further
ML Model,Centroid-based clustering,Centroid-based clustering,"Centroid-based clustering groups data points by assigning each point to the nearest representative center (centroid). It answers the question: “What are the main archetypal behavior patterns in the data?” Its strengths are scalability, stability, and interpretability, making it well suited for large datasets and business-facing segmentation. Its main weakness is that it assumes roughly spherical clusters and requires the number of clusters (K) to be chosen in advance.",Examine Further
ML Model,Centroid-based clustering,KMeans,"KMeans is a centroid-based clustering algorithm that iteratively updates cluster centers to minimize within-cluster variance. It produces a single cluster label per observation, making it easy to summarize and communicate results. KMeans is fast, widely understood, and works well when clusters are well-separated and similarly sized. However, it is sensitive to feature scaling, outliers, and the choice of K.",Examine Further
ML Model,Centroid-based clustering,MiniBatchKMeans,MiniBatchKMeans is a scalable variant of KMeans that updates centroids using small random subsets of data. It answers the same questions as KMeans but is designed for large datasets where full batch updates are expensive. Its strengths are speed and memory efficiency with minimal loss in cluster quality. The trade-off is slightly higher variability and less precise centroids compared to full KMeans.,Examine Further
ML Model,Evaluation,Silhouette Score,"Measures how well each data point fits within its assigned cluster compared to the nearest alternative cluster. It compares the average distance to points in the same cluster (cohesion) against the average distance to points in the closest neighboring cluster (separation). Scores range from −1 to 1, where higher values indicate tighter and more clearly separated clusters. The overall Silhouette Score is the average of these values across all data points and is best used to compare clustering configurations rather than as an absolute measure of quality.

> 0.5: Strong clustering
0.3–0.5: Reasonable structure
< 0.3: Weak separation / noisy clusters",Examine Further
ML Model,Function,AdditiveChi2Sampler,,Examine Further
ML Model,General Principles,Deep Learning,"Deep learning is a subset of machine learning that uses multi-layer neural networks to automatically learn hierarchical representations from data, reducing the need for manual feature engineering. By stacking simple processing units called layers—each acting as a filter that transforms inputs into higher-level representations—deep learning models can capture complex patterns through composition. Early challenges such as vanishing gradients, where learning signals faded through many layers, were largely addressed through improved activation functions, optimization methods, and weight initialization strategies. In practice, building a deep learning model involves defining the network architecture (number of layers, connections, and activations) and then specifying how it learns by choosing an optimizer, loss function, and evaluation metrics during compilation.",Examine Further
ML Model,General Principles,Machine Learning,"Using a process to enable computers to iteratively learn from the data and improve analysis, outcomes or understanding. Intersection of statistics, artificial intelligence and computer science. Machine's don't learn, they find optimal mathematical formulas based on the data it is presented. There is an assumption that this data set is both representative of other data sets,  and possess similiar statistical distributions', You can argue this is not learning, because slight variances can result in materially different responses and output, Term synonymous with machines doing tasks without explicitly being programmed. Building a statistical model, based on a dataset",Examine Further
ML Model,General Principles,Optimization,"Optimization is the process of finding the best possible solution to a problem by systematically adjusting inputs or decisions to maximize or minimize a defined objective, subject to given constraints. In machine learning and analytics, optimization involves selecting model parameters that minimize error or maximize performance according to a chosen loss function. Importantly, what is considered “best” depends entirely on how the objective and constraints are defined.",Examine Further
ML Model,Model Architecture,Autoregressive,"Autoregressive models generate outputs one step at a time, where each prediction depends on the previously generated outputs. This sequential dependency allows the model to capture context and coherence, making it powerful for tasks like language modeling and time-series forecasting. However, because predictions are made step by step, autoregressive methods can be slower at inference compared to parallel approaches.",Examine Further
ML Model,Model Type,Reinforcement Learning,"Reinforcement learning trains an agent to make decisions by interacting with an environment and receiving rewards or penalties. The agent learns a policy that maximizes cumulative reward over time through trial and error. It is commonly used in robotics, game playing, and control systems.",Examine Further
ML Model,Model Type,Semisupervised Learning,Semi-supervised learning combines a small amount of labeled data with a large amount of unlabeled data to improve learning performance. The model leverages the structure in the unlabeled data to generalize better than supervised learning alone. This approach is useful when labeling data is expensive or time-consuming.,Examine Further
ML Model,Model Type,Supervised Learning,"Supervised learning trains a model using labeled data, where the correct answer is known in advance. The model learns a mapping from inputs to outputs by minimizing the difference between its predictions and the true labels. Common examples include classification and regression problems.",Examine Further
ML Model,Model Type,Unsupervised Learning,"Unsupervised learning works with unlabeled data and aims to discover hidden patterns or structure. The model groups, compresses, or summarizes the data without being told what the correct outcome is. Typical use cases include clustering, dimensionality reduction, and anomaly detection.",Examine Further
