Model Name,Estimator Class,Dataset Size,Full Class Path,Estimator Type,Part_1,Part_2,Part_3,Part_4,Part_5,Sklearn Desc
GraphicalLasso,<class 'sklearn.covariance._graph_lasso.GraphicalLasso'>,Small,sklearn.covariance._graph_lasso.GraphicalLasso,unknown,sklearn,covariance,_graph_lasso,GraphicalLasso,,Sparse inverse covariance estimation with an l1-penalized estimator.  For a usage example see :ref:`sphx_glr_auto_examples_applications_plot_stock_market.py`.  Read more in the :ref:`User Guide <sparse_inverse_covariance>`.
GraphicalLassoCV,<class 'sklearn.covariance._graph_lasso.GraphicalLassoCV'>,Small,sklearn.covariance._graph_lasso.GraphicalLassoCV,unknown,sklearn,covariance,_graph_lasso,GraphicalLassoCV,,Sparse inverse covariance w/ cross-validated choice of the l1 penalty.  See glossary entry for :term:`cross-validation estimator`.  Read more in the :ref:`User Guide <sparse_inverse_covariance>`.
GridSearchCV,<class 'sklearn.model_selection._search.GridSearchCV'>,"Small, Medium",sklearn.model_selection._search.GridSearchCV,unknown,sklearn,model_selection,_search,GridSearchCV,,"Exhaustive search over specified parameter values for an estimator.  Important members are fit, predict.  GridSearchCV implements a ""fit"" and a ""score"" method. It also implements ""score_samples"", ""predict"", ""predict_proba"", ""decision_function"", ""transform"" and ""inverse_transform"" if they are implemented in the estimator used.  The parameters of the estimator used to apply these methods are optimized by cross-validated grid-search over a parameter grid.  Read more in the :ref:`User Guide <grid_search>`.  Parameters ---------- estimator : estimator object This is assumed to implement the scikit-learn estimator interface. Either estimator needs to provide a ``score`` function, or ``scoring`` must be passed.  param_grid : dict or list of dictionaries Dictionary with parameters names (`str`) as keys and lists of parameter settings to try as values, or a list of such dictionaries, in which case the grids spanned by each dictionary in the list are explored. This enables searching over any sequence of parameter settings.  scoring : str, callable, list, tuple or dict, default=None Strategy to evaluate the performance of the cross-validated model on the test set.  If `scoring` represents a single score, one can use:  - a single string (see :ref:`scoring_parameter`); - a callable (see :ref:`scoring_callable`) that returns a single value.  If `scoring` represents multiple scores, one can use:  - a list or tuple of unique strings; - a callable returning a dictionary where the keys are the metric names and the values are the metric scores; - a dictionary with metric names as keys and callables as values.  See :ref:`multimetric_grid_search` for an example.  n_jobs : int, default=None Number of jobs to run in parallel. ``None`` means 1 unless in a :obj:`joblib.parallel_backend` context. ``-1`` means using all processors. See :term:`Glossary <n_jobs>` for more details."
HDBSCAN,<class 'sklearn.cluster._hdbscan.hdbscan.HDBSCAN'>,"Small, Medium",sklearn.cluster._hdbscan.hdbscan.HDBSCAN,cluster,sklearn,cluster,_hdbscan,hdbscan,HDBSCAN,"Cluster data using hierarchical density-based clustering.  HDBSCAN - Hierarchical Density-Based Spatial Clustering of Applications with Noise. Performs :class:`~sklearn.cluster.DBSCAN` over varying epsilon values and integrates the result to find a clustering that gives the best stability over epsilon. This allows HDBSCAN to find clusters of varying densities (unlike :class:`~sklearn.cluster.DBSCAN`), and be more robust to parameter selection. Read more in the :ref:`User Guide <hdbscan>`.  For an example of how to use HDBSCAN, as well as a comparison to :class:`~sklearn.cluster.DBSCAN`, please see the :ref:`plotting demo <sphx_glr_auto_examples_cluster_plot_hdbscan.py>`."
HashingVectorizer,<class 'sklearn.feature_extraction.text.HashingVectorizer'>,Large,sklearn.feature_extraction.text.HashingVectorizer,transformer,sklearn,feature_extraction,text,HashingVectorizer,,"Convert a collection of text documents to a matrix of token occurrences.  It turns a collection of text documents into a scipy.sparse matrix holding token occurrence counts (or binary occurrence information), possibly normalized as token frequencies if norm='l1' or projected on the euclidean unit sphere if norm='l2'.  This text vectorizer implementation uses the hashing trick to find the token string name to feature integer index mapping.  This strategy has several advantages:  - it is very low memory scalable to large datasets as there is no need to store a vocabulary dictionary in memory.  - it is fast to pickle and un-pickle as it holds no state besides the constructor parameters.  - it can be used in a streaming (partial fit) or parallel pipeline as there is no state computed during fit.  There are also a couple of cons (vs using a CountVectorizer with an in-memory vocabulary):  - there is no way to compute the inverse transform (from feature indices to string feature names) which can be a problem when trying to introspect which features are most important to a model.  - there can be collisions: distinct tokens can be mapped to the same feature index. However in practice this is rarely an issue if n_features is large enough (e.g. 2 ** 18 for text classification problems).  - no IDF weighting as this would render the transformer stateful.  The hash function employed is the signed 32-bit version of Murmurhash3.  For an efficiency comparison of the different feature extractors, see :ref:`sphx_glr_auto_examples_text_plot_hashing_vs_dict_vectorizer.py`.  For an example of document clustering and comparison with :class:`~sklearn.feature_extraction.text.TfidfVectorizer`, see :ref:`sphx_glr_auto_examples_text_plot_document_clustering.py`.  Read more in the :ref:`User Guide <text_feature_extraction>`.  Parameters ---------- input : {'filename', 'file', 'content'}, default='content' - If `'filename'`, the sequence passed as an argument to fit is expected to be a list of filenames that need reading to fetch the raw content to analyze.  - If `'file'`, the sequence items must have a 'read' method (file-like object) that is called to fetch the bytes in memory.  - If `'content'`, the input is expected to be a sequence of items that can be of type string or byte.  encoding : str, default='utf-8' If bytes or files are given to analyze, this encoding is used to decode.  decode_error : {'strict', 'ignore', 'replace'}, default='strict' Instruction on what to do if a byte sequence is given to analyze that contains characters not of the given `encoding`. By default, it is 'strict', meaning that a UnicodeDecodeError will be raised. Other values are 'ignore' and 'replace'.  strip_accents : {'ascii', 'unicode'} or callable, default=None Remove accents and perform other character normalization during the preprocessing step. 'ascii' is a fast method that only works on characters that have a direct ASCII mapping. 'unicode' is a slightly slower method that works on any character. None (default) means no character normalization is performed.  Both 'ascii' and 'unicode' use NFKD normalization from :func:`unicodedata.normalize`.  lowercase : bool, default=True Convert all characters to lowercase before tokenizing.  preprocessor : callable, default=None Override the preprocessing (string transformation) stage while preserving the tokenizing and n-grams generation steps. Only applies if ``analyzer`` is not callable.  tokenizer : callable, default=None Override the string tokenization step while preserving the preprocessing and n-grams generation steps. Only applies if ``analyzer == 'word'``.  stop_words : {'english'}, list, default=None If 'english', a built-in stop word list for English is used. There are several known issues with 'english' and you should consider an alternative (see :ref:`stop_words`).  If a list, that list is assumed to contain stop words, all of which will be removed from the resulting tokens. Only applies if ``analyzer == 'word'``.  token_pattern : str or None, default=r""(?u)\\b\\w\\w+\\b"" Regular expression denoting what constitutes a ""token"", only used if ``analyzer == 'word'``. The default regexp selects tokens of 2 or more alphanumeric characters (punctuation is completely ignored and always treated as a token separator).  If there is a capturing group in token_pattern then the captured group content, not the entire match, becomes the token. At most one capturing group is permitted.  ngram_range : tuple (min_n, max_n), default=(1, 1) The lower and upper boundary of the range of n-values for different n-grams to be extracted. All values of n such that min_n <= n <= max_n will be used. For example an ``ngram_range`` of ``(1, 1)`` means only unigrams, ``(1, 2)`` means unigrams and bigrams, and ``(2, 2)`` means only bigrams. Only applies if ``analyzer`` is not callable.  analyzer : {'word', 'char', 'char_wb'} or callable, default='word' Whether the feature should be made of word or character n-grams. Option 'char_wb' creates character n-grams only from text inside word boundaries; n-grams at the edges of words are padded with space.  If a callable is passed it is used to extract the sequence of features out of the raw, unprocessed input."
HistGradientBoostingClassifier,<class 'sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingClassifier'>,Large,sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingClassifier,classifier,sklearn,ensemble,_hist_gradient_boosting,gradient_boosting,HistGradientBoostingClassifier,"Histogram-based Gradient Boosting Classification Tree.  This estimator is much faster than :class:`GradientBoostingClassifier<sklearn.ensemble.GradientBoostingClassifier>` for big datasets (n_samples >= 10 000).  This estimator has native support for missing values (NaNs). During training, the tree grower learns at each split point whether samples with missing values should go to the left or right child, based on the potential gain. When predicting, samples with missing values are assigned to the left or right child consequently. If no missing values were encountered for a given feature during training, then samples with missing values are mapped to whichever child has the most samples.  This implementation is inspired by `LightGBM <https://github.com/Microsoft/LightGBM>`_.  Read more in the :ref:`User Guide <histogram_based_gradient_boosting>`."
HistGradientBoostingRegressor,<class 'sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingRegressor'>,Large,sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingRegressor,regressor,sklearn,ensemble,_hist_gradient_boosting,gradient_boosting,HistGradientBoostingRegressor,"Histogram-based Gradient Boosting Regression Tree.  This estimator is much faster than :class:`GradientBoostingRegressor<sklearn.ensemble.GradientBoostingRegressor>` for big datasets (n_samples >= 10 000).  This estimator has native support for missing values (NaNs). During training, the tree grower learns at each split point whether samples with missing values should go to the left or right child, based on the potential gain. When predicting, samples with missing values are assigned to the left or right child consequently. If no missing values were encountered for a given feature during training, then samples with missing values are mapped to whichever child has the most samples. See :ref:`sphx_glr_auto_examples_ensemble_plot_hgbt_regression.py` for a usecase example of this feature.  This implementation is inspired by `LightGBM <https://github.com/Microsoft/LightGBM>`_.  Read more in the :ref:`User Guide <histogram_based_gradient_boosting>`."
HuberRegressor,<class 'sklearn.linear_model._huber.HuberRegressor'>,Small,sklearn.linear_model._huber.HuberRegressor,regressor,sklearn,linear_model,_huber,HuberRegressor,,"L2-regularized linear regression model that is robust to outliers.  The Huber Regressor optimizes the squared loss for the samples where ``|(y - Xw - c) / sigma| < epsilon`` and the absolute loss for the samples where ``|(y - Xw - c) / sigma| > epsilon``, where the model coefficients ``w``, the intercept ``c`` and the scale ``sigma`` are parameters to be optimized. The parameter `sigma` makes sure that if `y` is scaled up or down by a certain factor, one does not need to rescale `epsilon` to achieve the same robustness. Note that this does not take into account the fact that the different features of `X` may be of different scales.  The Huber loss function has the advantage of not being heavily influenced by the outliers while not completely ignoring their effect.  Read more in the :ref:`User Guide <huber_regression>`"
IncrementalPCA,<class 'sklearn.decomposition._incremental_pca.IncrementalPCA'>,Large,sklearn.decomposition._incremental_pca.IncrementalPCA,transformer,sklearn,decomposition,_incremental_pca,IncrementalPCA,,"Incremental principal components analysis (IPCA).  Linear dimensionality reduction using Singular Value Decomposition of the data, keeping only the most significant singular vectors to project the data to a lower dimensional space. The input data is centered but not scaled for each feature before applying the SVD.  Depending on the size of the input data, this algorithm can be much more memory efficient than a PCA, and allows sparse input.  This algorithm has constant memory complexity, on the order of ``batch_size * n_features``, enabling use of np.memmap files without loading the entire file into memory. For sparse matrices, the input is converted to dense in batches (in order to be able to subtract the mean) which avoids storing the entire dense matrix at any one time.  The computational overhead of each SVD is ``O(batch_size * n_features ** 2)``, but only 2 * batch_size samples remain in memory at a time. There will be ``n_samples / batch_size`` SVD computations to get the principal components, versus 1 large SVD of complexity ``O(n_samples * n_features ** 2)`` for PCA.  For a usage example, see :ref:`sphx_glr_auto_examples_decomposition_plot_incremental_pca.py`.  Read more in the :ref:`User Guide <IncrementalPCA>`."
IsolationForest,<class 'sklearn.ensemble._iforest.IsolationForest'>,"Medium, Large",sklearn.ensemble._iforest.IsolationForest,unknown,sklearn,ensemble,_iforest,IsolationForest,,"Isolation Forest Algorithm.  Return the anomaly score of each sample using the IsolationForest algorithm  The IsolationForest 'isolates' observations by randomly selecting a feature and then randomly selecting a split value between the maximum and minimum values of the selected feature.  Since recursive partitioning can be represented by a tree structure, the number of splittings required to isolate a sample is equivalent to the path length from the root node to the terminating node.  This path length, averaged over a forest of such random trees, is a measure of normality and our decision function.  Random partitioning produces noticeably shorter paths for anomalies. Hence, when a forest of random trees collectively produce shorter path lengths for particular samples, they are highly likely to be anomalies.  Read more in the :ref:`User Guide <isolation_forest>`."
Isomap,<class 'sklearn.manifold._isomap.Isomap'>,Small,sklearn.manifold._isomap.Isomap,transformer,sklearn,manifold,_isomap,Isomap,,"Isomap Embedding.  Non-linear dimensionality reduction through Isometric Mapping  Read more in the :ref:`User Guide <isomap>`.  Parameters ---------- n_neighbors : int or None, default=5 Number of neighbors to consider for each point. If `n_neighbors` is an int, then `radius` must be `None`.  radius : float or None, default=None Limiting distance of neighbors to return. If `radius` is a float, then `n_neighbors` must be set to `None`."
IsotonicRegression,<class 'sklearn.isotonic.IsotonicRegression'>,Small,sklearn.isotonic.IsotonicRegression,"regressor, transformer",sklearn,isotonic,IsotonicRegression,,,Isotonic regression model.  Read more in the :ref:`User Guide <isotonic>`.
KBinsDiscretizer,<class 'sklearn.preprocessing._discretization.KBinsDiscretizer'>,Large,sklearn.preprocessing._discretization.KBinsDiscretizer,transformer,sklearn,preprocessing,_discretization,KBinsDiscretizer,,Bin continuous data into intervals.  Read more in the :ref:`User Guide <preprocessing_discretization>`.
KMeans,<class 'sklearn.cluster._kmeans.KMeans'>,Medium,sklearn.cluster._kmeans.KMeans,"cluster, transformer",sklearn,cluster,_kmeans,KMeans,,"K-Means clustering.  Read more in the :ref:`User Guide <k_means>`.  Parameters ----------  n_clusters : int, default=8 The number of clusters to form as well as the number of centroids to generate.  For an example of how to choose an optimal value for `n_clusters` refer to :ref:`sphx_glr_auto_examples_cluster_plot_kmeans_silhouette_analysis.py`.  init : {'k-means++', 'random'}, callable or array-like of shape             (n_clusters, n_features), default='k-means++' Method for initialization:  * 'k-means++' : selects initial cluster centroids using sampling             based on an empirical probability distribution of the points'             contribution to the overall inertia. This technique speeds up             convergence. The algorithm implemented is ""greedy k-means++"". It             differs from the vanilla k-means++ by making several trials at             each sampling step and choosing the best centroid among them.  * 'random': choose `n_clusters` observations (rows) at random from         data for the initial centroids.  * If an array is passed, it should be of shape (n_clusters, n_features)        and gives the initial centers.  * If a callable is passed, it should take arguments X, n_clusters and a        random state and return an initialization.  For an example of how to use the different `init` strategies, see :ref:`sphx_glr_auto_examples_cluster_plot_kmeans_digits.py`.  For an evaluation of the impact of initialization, see the example :ref:`sphx_glr_auto_examples_cluster_plot_kmeans_stability_low_dim_dense.py`.  n_init : 'auto' or int, default='auto' Number of times the k-means algorithm is run with different centroid seeds. The final results is the best output of `n_init` consecutive runs in terms of inertia. Several runs are recommended for sparse high-dimensional problems (see :ref:`kmeans_sparse_high_dim`).  When `n_init='auto'`, the number of runs depends on the value of init: 10 if using `init='random'` or `init` is a callable; 1 if using `init='k-means++'` or `init` is an array-like."
KNNImputer,<class 'sklearn.impute._knn.KNNImputer'>,Medium,sklearn.impute._knn.KNNImputer,transformer,sklearn,impute,_knn,KNNImputer,,Imputation for completing missing values using k-Nearest Neighbors.  Each sample's missing values are imputed using the mean value from `n_neighbors` nearest neighbors found in the training set. Two samples are close if the features that neither is missing are close.  Read more in the :ref:`User Guide <knnimpute>`.
KNeighborsClassifier,<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,Small,sklearn.neighbors._classification.KNeighborsClassifier,classifier,sklearn,neighbors,_classification,KNeighborsClassifier,,"Classifier implementing the k-nearest neighbors vote.  Read more in the :ref:`User Guide <classification>`.  Parameters ---------- n_neighbors : int, default=5 Number of neighbors to use by default for :meth:`kneighbors` queries.  weights : {'uniform', 'distance'}, callable or None, default='uniform' Weight function used in prediction.  Possible values:  - 'uniform' : uniform weights.  All points in each neighborhood are weighted equally. - 'distance' : weight points by the inverse of their distance. in this case, closer neighbors of a query point will have a greater influence than neighbors which are further away. - [callable] : a user-defined function which accepts an array of distances, and returns an array of the same shape containing the weights.  Refer to the example entitled :ref:`sphx_glr_auto_examples_neighbors_plot_classification.py` showing the impact of the `weights` parameter on the decision boundary.  algorithm : {'auto', 'ball_tree', 'kd_tree', 'brute'}, default='auto' Algorithm used to compute the nearest neighbors:  - 'ball_tree' will use :class:`BallTree` - 'kd_tree' will use :class:`KDTree` - 'brute' will use a brute-force search. - 'auto' will attempt to decide the most appropriate algorithm based on the values passed to :meth:`fit` method.  Note: fitting on sparse input will override the setting of this parameter, using brute force.  leaf_size : int, default=30 Leaf size passed to BallTree or KDTree.  This can affect the speed of the construction and query, as well as the memory required to store the tree.  The optimal value depends on the nature of the problem.  p : float, default=2 Power parameter for the Minkowski metric. When p = 1, this is equivalent to using manhattan_distance (l1), and euclidean_distance (l2) for p = 2. For arbitrary p, minkowski_distance (l_p) is used. This parameter is expected to be positive.  metric : str or callable, default='minkowski' Metric to use for distance computation. Default is ""minkowski"", which results in the standard Euclidean distance when p = 2. See the documentation of `scipy.spatial.distance <https://docs.scipy.org/doc/scipy/reference/spatial.distance.html>`_ and the metrics listed in :class:`~sklearn.metrics.pairwise.distance_metrics` for valid metric values.  If metric is ""precomputed"", X is assumed to be a distance matrix and must be square during fit. X may be a :term:`sparse graph`, in which case only ""nonzero"" elements may be considered neighbors.  If metric is a callable function, it takes two arrays representing 1D vectors as inputs and must return one value indicating the distance between those vectors. This works for Scipy's metrics, but is less efficient than passing the metric name as a string.  metric_params : dict, default=None Additional keyword arguments for the metric function.  n_jobs : int, default=None The number of parallel jobs to run for neighbors search. ``None`` means 1 unless in a :obj:`joblib.parallel_backend` context. ``-1`` means using all processors. See :term:`Glossary <n_jobs>` for more details. Doesn't affect :meth:`fit` method.  Attributes ---------- classes_ : array of shape (n_classes,) Class labels known to the classifier  effective_metric_ : str or callble The distance metric used. It will be same as the `metric` parameter or a synonym of it, e.g. 'euclidean' if the `metric` parameter set to 'minkowski' and `p` parameter set to 2.  effective_metric_params_ : dict Additional keyword arguments for the metric function. For most metrics will be same with `metric_params` parameter, but may also contain the `p` parameter value if the `effective_metric_` attribute is set to 'minkowski'.  n_features_in_ : int Number of features seen during :term:`fit`."
KNeighborsRegressor,<class 'sklearn.neighbors._regression.KNeighborsRegressor'>,Small,sklearn.neighbors._regression.KNeighborsRegressor,regressor,sklearn,neighbors,_regression,KNeighborsRegressor,,Regression based on k-nearest neighbors.  The target is predicted by local interpolation of the targets associated of the nearest neighbors in the training set.  Read more in the :ref:`User Guide <regression>`.
KNeighborsTransformer,<class 'sklearn.neighbors._graph.KNeighborsTransformer'>,Small,sklearn.neighbors._graph.KNeighborsTransformer,transformer,sklearn,neighbors,_graph,KNeighborsTransformer,,Transform X into a (weighted) graph of k nearest neighbors.  The transformed data is a sparse graph as returned by kneighbors_graph.  Read more in the :ref:`User Guide <neighbors_transformer>`.
KernelCenterer,<class 'sklearn.preprocessing._data.KernelCenterer'>,"Small, Medium, Large",sklearn.preprocessing._data.KernelCenterer,transformer,sklearn,preprocessing,_data,KernelCenterer,,Center an arbitrary kernel matrix :math:`K`.  Let define a kernel :math:`K` such that:
KernelDensity,<class 'sklearn.neighbors._kde.KernelDensity'>,Small,sklearn.neighbors._kde.KernelDensity,unknown,sklearn,neighbors,_kde,KernelDensity,,"Kernel Density Estimation.  Read more in the :ref:`User Guide <kernel_density>`.  Parameters ---------- bandwidth : float or {""scott"", ""silverman""}, default=1.0 The bandwidth of the kernel. If bandwidth is a float, it defines the bandwidth of the kernel. If bandwidth is a string, one of the estimation methods is implemented.  algorithm : {'kd_tree', 'ball_tree', 'auto'}, default='auto' The tree algorithm to use.  kernel : {'gaussian', 'tophat', 'epanechnikov', 'exponential', 'linear',                  'cosine'}, default='gaussian' The kernel to use.  metric : str, default='euclidean' Metric to use for distance computation. See the documentation of `scipy.spatial.distance <https://docs.scipy.org/doc/scipy/reference/spatial.distance.html>`_ and the metrics listed in :class:`~sklearn.metrics.pairwise.distance_metrics` for valid metric values.  Not all metrics are valid with all algorithms: refer to the documentation of :class:`BallTree` and :class:`KDTree`. Note that the normalization of the density output is correct only for the Euclidean distance metric.  atol : float, default=0 The desired absolute tolerance of the result.  A larger tolerance will generally lead to faster execution.  rtol : float, default=0 The desired relative tolerance of the result.  A larger tolerance will generally lead to faster execution.  breadth_first : bool, default=True If true (default), use a breadth-first approach to the problem. Otherwise use a depth-first approach.  leaf_size : int, default=40 Specify the leaf size of the underlying tree.  See :class:`BallTree` or :class:`KDTree` for details.  metric_params : dict, default=None Additional parameters to be passed to the tree for use with the metric.  For more information, see the documentation of :class:`BallTree` or :class:`KDTree`.  Attributes ---------- n_features_in_ : int Number of features seen during :term:`fit`."
KernelPCA,<class 'sklearn.decomposition._kernel_pca.KernelPCA'>,Small,sklearn.decomposition._kernel_pca.KernelPCA,transformer,sklearn,decomposition,_kernel_pca,KernelPCA,,"Kernel Principal component analysis (KPCA).  Non-linear dimensionality reduction through the use of kernels [1]_, see also :ref:`metrics`.  It uses the :func:`scipy.linalg.eigh` LAPACK implementation of the full SVD or the :func:`scipy.sparse.linalg.eigsh` ARPACK implementation of the truncated SVD, depending on the shape of the input data and the number of components to extract. It can also use a randomized truncated SVD by the method proposed in [3]_, see `eigen_solver`.  For a usage example and comparison between Principal Components Analysis (PCA) and its kernelized version (KPCA), see :ref:`sphx_glr_auto_examples_decomposition_plot_kernel_pca.py`.  For a usage example in denoising images using KPCA, see :ref:`sphx_glr_auto_examples_applications_plot_digits_denoising.py`.  Read more in the :ref:`User Guide <kernel_PCA>`.  Parameters ---------- n_components : int, default=None Number of components. If None, all non-zero components are kept.  kernel : {'linear', 'poly', 'rbf', 'sigmoid', 'cosine', 'precomputed'}             or callable, default='linear' Kernel used for PCA.  gamma : float, default=None Kernel coefficient for rbf, poly and sigmoid kernels. Ignored by other kernels. If ``gamma`` is ``None``, then it is set to ``1/n_features``.  degree : float, default=3 Degree for poly kernels. Ignored by other kernels.  coef0 : float, default=1 Independent term in poly and sigmoid kernels. Ignored by other kernels.  kernel_params : dict, default=None Parameters (keyword arguments) and values for kernel passed as callable object. Ignored by other kernels.  alpha : float, default=1.0 Hyperparameter of the ridge regression that learns the inverse transform (when fit_inverse_transform=True).  fit_inverse_transform : bool, default=False Learn the inverse transform for non-precomputed kernels (i.e. learn to find the pre-image of a point). This method is based on [2]_.  eigen_solver : {'auto', 'dense', 'arpack', 'randomized'},             default='auto' Select eigensolver to use. If `n_components` is much less than the number of training samples, randomized (or arpack to a smaller extent) may be more efficient than the dense eigensolver. Randomized SVD is performed according to the method of Halko et al [3]_.  auto : the solver is selected by a default policy based on n_samples (the number of training samples) and `n_components`: if the number of components to extract is less than 10 (strict) and the number of samples is more than 200 (strict), the 'arpack' method is enabled. Otherwise the exact full eigenvalue decomposition is computed and optionally truncated afterwards ('dense' method). dense : run exact full eigenvalue decomposition calling the standard LAPACK solver via `scipy.linalg.eigh`, and select the components by postprocessing arpack : run SVD truncated to n_components calling ARPACK solver using `scipy.sparse.linalg.eigsh`. It requires strictly 0 < n_components < n_samples randomized : run randomized SVD by the method of Halko et al. [3]_. The current implementation selects eigenvalues based on their module; therefore using this method can lead to unexpected results if the kernel is not positive semi-definite. See also [4]_."
KernelRidge,<class 'sklearn.kernel_ridge.KernelRidge'>,Small,sklearn.kernel_ridge.KernelRidge,regressor,sklearn,kernel_ridge,KernelRidge,,,"Kernel ridge regression.  Kernel ridge regression (KRR) combines ridge regression (linear least squares with l2-norm regularization) with the kernel trick. It thus learns a linear function in the space induced by the respective kernel and the data. For non-linear kernels, this corresponds to a non-linear function in the original space.  The form of the model learned by KRR is identical to support vector regression (SVR). However, different loss functions are used: KRR uses squared error loss while support vector regression uses epsilon-insensitive loss, both combined with l2 regularization. In contrast to SVR, fitting a KRR model can be done in closed-form and is typically faster for medium-sized datasets. On the other hand, the learned model is non-sparse and thus slower than SVR, which learns a sparse model for epsilon > 0, at prediction-time.  This estimator has built-in support for multi-variate regression (i.e., when y is a 2d-array of shape [n_samples, n_targets]).  Read more in the :ref:`User Guide <kernel_ridge>`.  Parameters ---------- alpha : float or array-like of shape (n_targets,), default=1.0 Regularization strength; must be a positive float. Regularization improves the conditioning of the problem and reduces the variance of the estimates. Larger values specify stronger regularization. Alpha corresponds to ``1 / (2C)`` in other linear models such as :class:`~sklearn.linear_model.LogisticRegression` or :class:`~sklearn.svm.LinearSVC`. If an array is passed, penalties are assumed to be specific to the targets. Hence they must correspond in number. See :ref:`ridge_regression` for formula.  kernel : str or callable, default=""linear"" Kernel mapping used internally. This parameter is directly passed to :class:`~sklearn.metrics.pairwise.pairwise_kernels`. If `kernel` is a string, it must be one of the metrics in `pairwise.PAIRWISE_KERNEL_FUNCTIONS` or ""precomputed"". If `kernel` is ""precomputed"", X is assumed to be a kernel matrix. Alternatively, if `kernel` is a callable function, it is called on each pair of instances (rows) and the resulting value recorded. The callable should take two rows from X as input and return the corresponding kernel value as a single number. This means that callables from :mod:`sklearn.metrics.pairwise` are not allowed, as they operate on matrices, not single samples. Use the string identifying the kernel instead.  gamma : float, default=None Gamma parameter for the RBF, laplacian, polynomial, exponential chi2 and sigmoid kernels. Interpretation of the default value is left to the kernel; see the documentation for sklearn.metrics.pairwise. Ignored by other kernels.  degree : float, default=3 Degree of the polynomial kernel. Ignored by other kernels.  coef0 : float, default=1 Zero coefficient for polynomial and sigmoid kernels. Ignored by other kernels.  kernel_params : dict, default=None Additional parameters (keyword arguments) for kernel function passed as callable object.  Attributes ---------- dual_coef_ : ndarray of shape (n_samples,) or (n_samples, n_targets) Representation of weight vector(s) in kernel space  X_fit_ : {ndarray, sparse matrix} of shape (n_samples, n_features) Training data, which is also required for prediction. If kernel == ""precomputed"" this is instead the precomputed training matrix, of shape (n_samples, n_samples).  n_features_in_ : int Number of features seen during :term:`fit`."
LabelBinarizer,<class 'sklearn.preprocessing._label.LabelBinarizer'>,Large,sklearn.preprocessing._label.LabelBinarizer,transformer,sklearn,preprocessing,_label,LabelBinarizer,,"Binarize labels in a one-vs-all fashion.  Several regression and binary classification algorithms are available in scikit-learn. A simple way to extend these algorithms to the multi-class classification case is to use the so-called one-vs-all scheme.  At learning time, this simply consists in learning one regressor or binary classifier per class. In doing so, one needs to convert multi-class labels to binary labels (belong or does not belong to the class). `LabelBinarizer` makes this process easy with the transform method.  At prediction time, one assigns the class for which the corresponding model gave the greatest confidence. `LabelBinarizer` makes this easy with the :meth:`inverse_transform` method.  Read more in the :ref:`User Guide <preprocessing_targets>`.  Parameters ---------- neg_label : int, default=0 Value with which negative labels must be encoded.  pos_label : int, default=1 Value with which positive labels must be encoded.  sparse_output : bool, default=False True if the returned array from transform is desired to be in sparse CSR format.  Attributes ---------- classes_ : ndarray of shape (n_classes,) Holds the label for each class.  y_type_ : str Represents the type of the target data as evaluated by :func:`~sklearn.utils.multiclass.type_of_target`. Possible type are 'continuous', 'continuous-multioutput', 'binary', 'multiclass', 'multiclass-multioutput', 'multilabel-indicator', and 'unknown'.  sparse_input_ : bool `True` if the input data to transform is given as a sparse matrix, `False` otherwise.  See Also -------- label_binarize : Function to perform the transform operation of LabelBinarizer with fixed classes. OneHotEncoder : Encode categorical features using a one-hot aka one-of-K scheme.  Examples -------- >>> from sklearn.preprocessing import LabelBinarizer >>> lb = LabelBinarizer() >>> lb.fit([1, 2, 6, 4, 2]) LabelBinarizer() >>> lb.classes_ array([1, 2, 4, 6]) >>> lb.transform([1, 6]) array([[1, 0, 0, 0], [0, 0, 0, 1]])  Binary targets transform to a column vector  >>> lb = LabelBinarizer() >>> lb.fit_transform(['yes', 'no', 'no', 'yes']) array([[1], [0], [0], [1]])  Passing a 2D matrix for multilabel classification  >>> import numpy as np >>> lb.fit(np.array([[0, 1, 1], [1, 0, 0]])) LabelBinarizer() >>> lb.classes_ array([0, 1, 2]) >>> lb.transform([0, 1, 2, 1]) array([[1, 0, 0], [0, 1, 0], [0, 0, 1], [0, 1, 0]])"
LabelEncoder,<class 'sklearn.preprocessing._label.LabelEncoder'>,Large,sklearn.preprocessing._label.LabelEncoder,transformer,sklearn,preprocessing,_label,LabelEncoder,,"Encode target labels with value between 0 and n_classes-1.  This transformer should be used to encode target values, *i.e.* `y`, and not the input `X`.  Read more in the :ref:`User Guide <preprocessing_targets>`."
