Process,Categorization,Word,Definition,Notes,Link,Image,Markdown Equation,Dataset Size,Learning Type,Algorithm Class,Model,Ensemble
ML Model,Algorithm,PLSCanonical,,,,,,Small,,,,
ML Model,Algorithm,PLSRegression,,,,,,Small,,,,
ML Model,Algorithm,PLSSVD,,,,,,Small,,,,
ML Model,Algorithm,PoissonRegressor,,,,,,Medium,,,,
ML Model,Algorithm,PolynomialCountSketch,,,,,,Large,,,,
ML Model,Algorithm,PolynomialFeatures,,,,,,Medium,,,,
ML Model,Algorithm,QuadraticDiscriminantAnalysis,,,,,,"Small, Medium",,,,
ML Model,Algorithm,Quantile Random Forest,"Quantile Random Forest is an extension of random forests that estimates conditional quantiles of the target variable instead of only the mean. It is important because it provides uncertainty information and prediction intervals, not just point estimates. This method is commonly used in risk modeling, forecasting, and decision-making scenarios where understanding the distribution of outcomes matters. It is particularly useful when residuals are heteroskedastic or non-Gaussian.",,,,,,Supervised,Regression,Tree,
ML Model,Algorithm,QuantileRegressor,,,,,,"Small, Medium",,,,
ML Model,Algorithm,RadiusNeighborsClassifier,,,,,,Small,,,,
ML Model,Algorithm,RadiusNeighborsRegressor,,,,,,Small,,,,
ML Model,Algorithm,RandomForestClassifier,,,,,,"Medium, Large",,,,
ML Model,Algorithm,RandomForestRegressor,,,,,,"Medium, Large",,,,
ML Model,Algorithm,RandomizedSearchCV,,,,,,"Small, Medium",,,,
ML Model,Algorithm,RandomTreesEmbedding,,,,,,Large,,,,
ML Model,Algorithm,RANSACRegressor,,,,,,Small,,,,
ML Model,Algorithm,Recurrent Neural Network,,,,,,,,,,
ML Model,Algorithm,RegressorChain,,,,,,Medium,,,,
ML Model,Algorithm,RFE,,,,,,"Small, Medium",,,,
ML Model,Algorithm,RFECV,,,,,,"Small, Medium",,,,
ML Model,Algorithm,RidgeClassifier,,,,,,"Medium, Large",,,,
ML Model,Algorithm,RidgeClassifierCV,,,,,,"Medium, Large",,,,
ML Model,Algorithm,RidgeCV,"RidgeCV is a regression model that combines ridge regression (L2 regularization) with cross-validation to automatically select the optimal regularization strength. It is important because it reduces overfitting while maintaining stability in the presence of multicollinearity. RidgeCV is commonly used when predictors are highly correlated and predictive performance is prioritized over feature sparsity. It provides a principled, automated way to tune regularization.",,,,,"Medium, Large",Supervised,Regression,Linear,
ML Model,Algorithm,SelectFdr,,,,,,Large,,,,
ML Model,Algorithm,SelectFpr,SelectFpr is a feature selection method that selects features based on statistical tests while controlling the false positive rate. It is important because it helps remove irrelevant features while limiting the probability of including noise variables. SelectFpr is typically used in high-dimensional settings such as genomics or text data. It is appropriate when interpretability and statistical control are priorities.,,,,,Large,,,,
ML Model,Algorithm,SelectFromModel,,,,,,Large,,,,
ML Model,Algorithm,SelectFwe,,,,,,Large,,,,
ML Model,Algorithm,SelectKBest,,,,,,Large,,,,
ML Model,Algorithm,SelectPercentile,,,,,,Large,,,,
ML Model,Algorithm,SelfTrainingClassifier,,,,,,Medium,,,,
ML Model,Algorithm,SequentialFeatureSelector,,,,,,"Small, Medium",,,,
ML Model,Algorithm,SGDClassifier,"SGDClassifier is a linear classification algorithm that trains models using stochastic gradient descent, updating parameters incrementally with each batch or observation. It is important because it scales efficiently to very large datasets and supports multiple loss functions (e.g., logistic regression, hinge loss). SGDClassifier is commonly used when data is high-dimensional, streaming, or too large for batch optimization methods. It trades some stability for speed and scalability.",,,,,Large,Supervised,Classification,Linear,
ML Model,Algorithm,SGDOneClassSVM,,,,,,"Medium, Large",,,,
ML Model,Algorithm,SGDRegressor,,,,,,Large,,,,
ML Model,Algorithm,ShrunkCovariance,,,,,,Small,,,,
ML Model,Algorithm,SimpleImputer,,,,,,Large,,,,
ML Model,Algorithm,SparseCoder,,,,,,"Small, Medium",,,,
ML Model,Algorithm,SparsePCA,,,,,,"Medium, Large",,,,
ML Model,Algorithm,SparseRandomProjection,,,,,,Large,,,,
ML Model,Algorithm,SpectralBiclustering,,,,,,"Small, Medium",,,,
ML Model,Algorithm,SpectralClustering,,,,,,"Small, Medium",,,,
ML Model,Algorithm,SpectralCoclustering,,,,,,"Small, Medium",,,,
ML Model,Algorithm,SpectralEmbedding,,,,,,Small,,,,
ML Model,Algorithm,StackingClassifier,,,,,,Medium,,,,
ML Model,Algorithm,StackingRegressor,,,,,,Medium,,,,
ML Model,Algorithm,Support Vector Machines,"Finds the optimal hyperplane that best separates data points of different classes in a feature space. The hyperplane is chosen to maximize the margin, which is the distance between the hyperplane and the nearest data points from each class, known as support vectors. By default, generally a Linear Line, however can utilize Kernels to change, such that datasets where decision boundary is not linearly seperable can become so in higher dimensions.

ModelStrengths: Effective in high-dimensional spaces, works well with clear margins of separation. Model Weaknesses:Computationally expensive, struggles with large datasets.",,,https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/SVM.png,"### Support Vector Machine (SVM) Formula

For a binary classification problem with data points $(x_i, y_i)$, where $x_i \in \mathbb{R}^n$ and $y_i \in \{-1, 1\}$, the equation of the hyperplane is: $\mathbf{w} \cdot \mathbf{x} + b = 0$.

Where:
- $\mathbf{w}$ is the weight vector (normal to the hyperplane),
- $b$ is the bias term,
- $\mathbf{x}$ is the feature vector.

---

### Optimization Objective

The goal is to maximize the margin $\frac{2}{\|\mathbf{w}\|}$ while ensuring correct classification of all points. This is formulated as:

$$
\min_{\mathbf{w}, b} \ \frac{1}{2} \|\mathbf{w}\|^2
$$

**Subject to the constraints:**

$$
y_i(\mathbf{w} \cdot \mathbf{x}_i + b) \geq 1, \quad \forall i
$$","Small, Medium",,,,
ML Model,Algorithm,Support Vector Regression,"SVR tries to fit a function within a margin of tolerance (epsilon) around the true data points — instead of minimizing the error between predicted and actual values like in ordinary least squares regression. Margin of Tolerance (ε): Instead of minimizing all errors, SVR ignores errors as long as they're within this ""epsilon-tube"" around the true values.Support Vectors: Only data points outside the epsilon margin contribute to the model (i.e., they influence the regression line).Kernel Trick: Like SVM, SVR can use kernels (e.g., linear, RBF) to model nonlinear relationships.",,,,"**SVR Optimization Problem**

$$
\min_{w, b, \xi, \xi^*} \frac{1}{2} \|w\|^2 + C \sum_{i=1}^{n} (\xi_i + \xi_i^*)
$$

Subject to:

$$
\begin{cases}
y_i - (w \cdot x_i + b) \leq \varepsilon + \xi_i \\
(w \cdot x_i + b) - y_i \leq \varepsilon + \xi_i^* \\
\xi_i, \xi_i^* \geq 0
\end{cases}
$$",Small,,,,
ML Model,Algorithm,SVC,,,,,,"Small, Medium",,,,
ML Model,Algorithm,SVR,,,,,,"Small, Medium",,,,
ML Model,Algorithm,TfidfVectorizer,,,,,,Large,,,,
ML Model,Algorithm,TheilSenRegressor,,,,,,"Small, Medium",,,,
ML Model,Algorithm,TruncatedSVD,,,,,,Large,,,,
ML Model,Algorithm,TSNE,,,,,,Small,,,,
ML Model,Algorithm,TunedThresholdClassifierCV,,,,,,Unknown,,,,
ML Model,Algorithm,TweedieRegressor,,,,,,Medium,,,,
ML Model,Algorithm,VarianceThreshold,,,,,,Large,,,,
ML Model,Algorithm,VotingClassifier,"VotingClassifier is an ensemble method that combines predictions from multiple different models into a single prediction, using either majority voting (hard voting) or averaged probabilities (soft voting). It is important because combining diverse models often improves robustness and generalization compared to any single model. Voting classifiers are typically used when several reasonably strong models exist and their errors are not perfectly correlated. They are especially useful in production systems where stability is valued over interpretability.",,,,,"Medium, Large",Supervised,Classification,Meta-Model,1.0
ML Model,Algorithm,VotingRegressor,,,,,,"Medium, Large",,,,
ML Model,Algorithm,Word2Vec,"Word2Vec is a neural-network–based method that learns dense vector embeddings for words, capturing semantic and syntactic relationships. Unlike Bag of Words, which only counts word occurrences and ignores meaning, Word2Vec represents words in a continuous vector space where similarity between vectors reflects semantic closeness",,,,,,,,,
ML Model,Algorithm,XGBoost,,,,,,,,,,
ML Model,Centroid-based clustering,Centroid-based clustering,"Centroid-based clustering groups data points by assigning each point to the nearest representative center (centroid). It answers the question: “What are the main archetypal behavior patterns in the data?” Its strengths are scalability, stability, and interpretability, making it well suited for large datasets and business-facing segmentation. Its main weakness is that it assumes roughly spherical clusters and requires the number of clusters (K) to be chosen in advance.",,,,,,,,,
ML Model,Centroid-based clustering,KMeans,"KMeans is a centroid-based clustering algorithm that iteratively updates cluster centers to minimize within-cluster variance. It produces a single cluster label per observation, making it easy to summarize and communicate results. KMeans is fast, widely understood, and works well when clusters are well-separated and similarly sized. However, it is sensitive to feature scaling, outliers, and the choice of K.",,,,,,,,,
ML Model,Centroid-based clustering,MiniBatchKMeans,MiniBatchKMeans is a scalable variant of KMeans that updates centroids using small random subsets of data. It answers the same questions as KMeans but is designed for large datasets where full batch updates are expensive. Its strengths are speed and memory efficiency with minimal loss in cluster quality. The trade-off is slightly higher variability and less precise centroids compared to full KMeans.,,,,,,,,,
ML Model,Function,AdditiveChi2Sampler,,,,,,Large,,,,
ML Model,General Principles,Deep Learning,"Deep learning is a subset of machine learning that uses multi-layer neural networks to automatically learn hierarchical representations from data, reducing the need for manual feature engineering. By stacking simple processing units called layers—each acting as a filter that transforms inputs into higher-level representations—deep learning models can capture complex patterns through composition. Early challenges such as vanishing gradients, where learning signals faded through many layers, were largely addressed through improved activation functions, optimization methods, and weight initialization strategies. In practice, building a deep learning model involves defining the network architecture (number of layers, connections, and activations) and then specifying how it learns by choosing an optimizer, loss function, and evaluation metrics during compilation.",,,,,,,,,
ML Model,Model Type,Reinforcement Learning,"Reinforcement learning trains an agent to make decisions by interacting with an environment and receiving rewards or penalties. The agent learns a policy that maximizes cumulative reward over time through trial and error. It is commonly used in robotics, game playing, and control systems.",,,,,,,,,
ML Model,Model Type,Semisupervised Learning,Semi-supervised learning combines a small amount of labeled data with a large amount of unlabeled data to improve learning performance. The model leverages the structure in the unlabeled data to generalize better than supervised learning alone. This approach is useful when labeling data is expensive or time-consuming.,,,,,,,,,
ML Model,Model Type,Supervised Learning,"Supervised learning trains a model using labeled data, where the correct answer is known in advance. The model learns a mapping from inputs to outputs by minimizing the difference between its predictions and the true labels. Common examples include classification and regression problems.",,,,,,,,,
ML Model,Model Type,Unsupervised Learning,"Unsupervised learning works with unlabeled data and aims to discover hidden patterns or structure. The model groups, compresses, or summarizes the data without being told what the correct outcome is. Typical use cases include clustering, dimensionality reduction, and anomaly detection.",,,,,,,,,
ML Model,Definition,Activation Function,"A mathematical function applied to a neuron’s weighted input that introduces non-linearity into a neural network. This non-linearity enables the model to learn complex, non-linear relationships in the data. Activation functions are applied within layers during the forward pass of a neural network, transforming intermediate representations before passing them to the next layer. Activation choice affects gradient flow, training stability, and convergence speed. Poor choices can cause vanishing or exploding gradients, limiting the depth or effectiveness of the network",,,https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/ActivationFunctions.png,,,,,,
ML Model,Definition,Loss Function,"A loss function is a mathematical function that measures how far a model’s predictions are from the true target values, producing a single scalar value that represents prediction error and defines the objective to be minimized during training. The loss function is evaluated during training after the forward pass and is the starting point for backpropagation. Its gradients drive parameter updates via the optimizer. Different loss functions encode different assumptions about error, robustness, and business objectives. Choosing an inappropriate loss can lead to models that optimize the wrong behavior, even if training converges successfully.",,,,,,,,,
ML Model,Definition,Model,"The model is the mathematical or algorithmic structure used to map input features to predictions. This includes selecting the model family (e.g., linear models, tree-based models, neural networks) and defining its architecture. Model choice balances predictive power, interpretability, computational cost, and deployment constraints. The model defines howlearning occurs but does not yet involve learning itself.",,,,,,,,,
ML Model,Definition,Optimizer,"Optimization algorithm that updates a model’s parameters using gradients of the loss function in order to minimize training error. It defines how gradient information is transformed into parameter updates. The optimizer operates during training, after gradients are computed via backpropagation, and is not used during inference. Different optimizers trade off convergence speed, stability, and generalization. Hyperparameters such as learning rate and momentum are",,,,,,,,,
ML Model,Definition,Regularization,"Technique used to prevent overfitting by adding a penalty term to the loss function. It discourages the model from fitting too closely to the training data, ensuring better generalization to unseen data. Traditionnaly results in bias, at benefit of materially lowering Variance. Regularization is a Constraint.",,,,,,,,,
ML Model,Pipeline Stage,Problem Definition,"Problem definition clearly states the business or research question the model is intended to solve and translates it into a machine-learning task (e.g., classification, regression, ranking). It includes defining the target variable, success metrics, constraints (latency, interpretability, cost), and assumptions. This step aligns stakeholders on what success looks likebefore any data or modeling begins. A poorly defined problem almost always leads to building the “right model for the wrong problem.”",,,,,,,,,
ML Model,Pipeline Stage,Training,"Training is the process of fitting the model to data by optimizing its parameters to minimize a loss function. During training, the model learns patterns by iteratively adjusting weights based on observed errors. This step may involve batching, optimization algorithms, and regularization techniques. Proper training ensures the model captures meaningful signal without overfitting.",,,,,,,,,
ML Model,Pipeline Stage,Validation,"Process which evaluates a trained machine-learning model on data that was not used during training to assess how well it generalizes to unseen data. It is used to tune model choices and hyperparameters, detect overfitting or underfitting, and guide model selection before final testing or deployment. Validation acts as a feedback loop before final evaluation or deployment decisions are made.",,,,,,,,,
ML Model,Procedure,ColumnTransformer,,,,,,Large,,,,
ML Model,Procedure,FunctionTransformer,,,,,,"Small, Medium, Large",,,,
ML Model,Procedure,KNeighborsTransformer,,,,,,Small,,,,
ML Model,Procedure,LabelEncoder,,,,,,Large,,,,
ML Model,Procedure,MaxAbsScaler,,,,,,Large,,,,
ML Model,Procedure,MinMaxScaler,,,,,,Large,,,,
ML Model,Procedure,OneHotEncoder,,,,,,Large,,,,
ML Model,Procedure,OrdinalEncoder,,,,,,Large,,,,
ML Model,Procedure,PowerTransformer,,,,,,Large,,,,
ML Model,Procedure,QuantileTransformer,,,,,,Large,,,,
ML Model,Procedure,RadiusNeighborsTransformer,,,,,,Small,,,,
ML Model,Procedure,RBFSampler,,,,,,Large,,,,
ML Model,Procedure,RobustScaler,,,,,,Large,,,,
ML Model,Procedure,SkewedChi2Sampler,,,,,,Large,,,,
ML Model,Procedure,SplineTransformer,,,,,,Large,,,,
ML Model,Procedure,StandardScaler,,,,,,Large,,,,
ML Model,Procedure,TargetEncoder,,,,,,Large,,,,
ML Model,Procedure,TfidfTransformer,,,,,,Large,,,,
ML Model,Procedure,TransformedTargetRegressor,,,,,,"Small, Medium, Large",,,,
ML Project,Pipeline Stage,"Bias, Fairness and Ethics","This step examines whether the model produces systematically unfair or harmful outcomes across different groups. It includes analyzing data representation, outcome disparities, and unintended correlations. Ethical considerations may involve transparency, consent, explainability, and regulatory compliance. Addressing bias and fairness is essential for responsible, trustworthy, and legally compliant ML systems.",,,,,,,,,
ML Project,Pipeline Stage,Data Collection,"Data collection involves identifying, sourcing, and acquiring the datasets required to solve the defined problem. This may include internal databases, APIs, logs, third-party data, or manually collected data. Key considerations include data availability, coverage, granularity, freshness, and legal or privacy constraints. The quality and relevance of collected data fundamentally limit the ceiling of model performance.",,,,,,,,,
ML Project,Pipeline Stage,Data Preparation,"Data preparation focuses on cleaning and structuring raw data into a usable format for modeling. This includes handling missing values, correcting errors, standardizing formats, encoding categorical variables, and aligning labels with features. It also often involves train/validation/test splitting to prevent data leakage. This step is critical because most models assume clean, well-structured inputs and are highly sensitive to data issues.",,,,,,,,,
ML Project,Pipeline Stage,Deployment,"Deployment is the process of integrating the trained model into a production environment where it can generate real-world predictions. This may involve APIs, batch pipelines, streaming systems, or embedded applications. Considerations include scalability, latency, reliability, and versioning. Deployment turns a model from an experiment into a usable product.",,,,,,,,,
ML Project,Pipeline Stage,Evaluation,"Evaluation measures how well the final model performs against defined success metrics on a truly unseen test dataset. Metrics depend on the problem type (e.g., accuracy, AUC, RMSE, precision-recall). This step provides an objective assessment of whether the model meets business or research requirements. Evaluation results often determine whether a model is production-ready.",,,,,,,,,
ML Project,Pipeline Stage,Feature Engineering,"Feature engineering is the process of creating new input variables that better represent the underlying patterns in the data. It may include transformations (log, scaling), aggregations, interactions, temporal features, or domain-specific encodings. Effective feature engineering can significantly improve model performance even with simple algorithms. It embeds domain knowledge into the model and often provides more value than algorithmic complexity.",,,,,,,,,
ML Project,Pipeline Stage,Feature Selection,"Feature selection involves choosing a subset of relevant features to include in the model. This can be done using statistical tests, model-based importance scores, correlation analysis, or regularization techniques. The goal is to reduce noise, improve generalization, and simplify the model. Fewer, more informative features often lead to better performance and easier interpretability.",,,,,,,,,
ML Project,Pipeline Stage,Hyperparameter Tuning,"Hyperparameter tuning involves selecting optimal configuration values that control model behavior but are not learned directly from data. Examples include learning rate, tree depth, number of layers, or regularization strength. Techniques such as grid search, random search, or Bayesian optimization are commonly used. This step can materially improve performance and stability without changing the underlying model.",,,,,,,,,
ML Model,Model Architecture,Autoregressive,"Autoregressive models generate outputs one step at a time, where each prediction depends on the previously generated outputs. This sequential dependency allows the model to capture context and coherence, making it powerful for tasks like language modeling and time-series forecasting. However, because predictions are made step by step, autoregressive methods can be slower at inference compared to parallel approaches.",,,,,,,,,
ML Model,Theorem,Curse of Dimensionality,"As dimensionality grows, data points become increasingly sparse, distances lose meaning, and models require exponentially more data to learn reliable patterns. This makes learning, generalization, and computation more difficult, often degrading model performance rather than improving it. In high-dimensional spaces, the optimization landscape also becomes far more complex, with many local minima and saddle points, making it harder to identify or converge toward a meaningful global minimum.",,,,,,,,,
Organization,Definition,Categorization,"Terminology created by myself and utilized to identify the abstract level of how I would classiify items for inclusion of Notes and Definitions. Categorization is used to explain process, and provide context  as to the relevance.",,,,,,,,,
Organization,Definition,Definition,Self Explanatory,,,,,,,,,
Organization,Definition,Process,"Terminology created by myself and utilized to identify the abstract level of how I would classiify items for inclusion of Notes and Definitions. Process is the HIGHEST level of abstraction, within a classification system. NOTE: The use of this differs sligtly across Notes and Definitions tabs, specifically the Highest Level of abstraction differs, with Definitions including MULTIPLE levels of abstraction, both at a individual concept level and at a Overall level. Please refer to Read Me for examples.",,,,,,,,,
Organization,Definition,Word,Self Explanatory,,,,,,,,,
Tool,Definition,Pytorch,"PyTorch is an open-source deep learning framework primarily used for research, experimentation, and custom model development. It features eager execution and dynamic computation graphs, which allow models to run and be debugged step by step like standard Python code. PyTorch is highly Pythonic and integrates naturally with the scientific Python ecosystem, making it well suited for rapid prototyping and novel model architectures. A common limitation is that additional engineering effort may be required when moving experimental models into large-scale production environments.",,,,,,,,,
Tool,Definition,Tensor Flow,"TensorFlow is an open-source machine learning framework designed to support building, training, and deploying models across a wide range of platforms. It provides high-level APIs that simplify model creation while also offering tools for large-scale, production-grade deployment. TensorFlow’s ecosystem includes specialized solutions for serving, mobile, and web environments, making it suitable for enterprise and embedded use cases. Its complexity and abstraction layers can introduce a steeper learning curve for low-level customization.",,,,,,,,,
Training,Function,Hinge Loss,"Loss function used primarily for binary classification, especially in Support Vector Machines (SVMs). It's designed to maximize the margin between classes — that is, push predictions to be confidently correct. It penalizes predictions that are: On the wrong side of the decision boundary Or correct but not confidently correct (i.e., too close to the margin)",,,,,,,,,
Training,Function,Huber Loss,Loss function used in regression problems that is robust to outliers — it's essentially a blend between Mean Squared Error (MSE) and Mean Absolute Error (MAE). Regression with noisy or outlier-prone data Situations where you want the stability of MSE but the robustness of MAE,,,,,,,,,
Training,Model Architecture,Cross Validation,"Model evaluation technique used to assess how well a model generalizes to unseen data by repeatedly splitting the dataset into training and validation subsets. The model is trained on one portion of the data and evaluated on another, and the results are aggregated to provide a more reliable estimate of performance than a single train–test split. This approach helps detect overfitting and supports more robust model selection",,,,,,,,,
Training,Optimizer,Adadelta,Adaptive learning rate for nonstationary objectives.,,,,,,,,,
Training,Optimizer,Adagrad,"Variation of Gradient Descent, which adapts the learning rate for each parameter by scaling it inversely proportional to the sum of past squared gradients. 
",,,,"$$
\theta_{t+1} = \theta_t - \frac{\alpha}{\sqrt{G_t + \epsilon}} \nabla J(\theta_t)
$$

where:
- $( G_t = \sum_{i=1}^{t} \nabla J(\theta_i) \odot \nabla J(\theta_i) )$ (element-wise sum of squared gradients),
- $( \epsilon )$ is a small constant to prevent division by zero.",,,,,
Training,Optimizer,Adam,"Variation of Gradient Descent, which combines both momentum and RMSprop, maintaining an exponentially decaying average of past gradients and squared gradients.",,,,"$$
m_t = \beta_1 m_{t-1} + (1 - \beta_1) \nabla J(\theta_t)
$$

$$
v_t = \beta_2 v_{t-1} + (1 - \beta_2) (\nabla J(\theta_t))^2
$$

Bias correction:

$$
\hat{m_t} = \frac{m_t}{1 - \beta_1^t}, \quad \hat{v_t} = \frac{v_t}{1 - \beta_2^t}
$$

Parameter update:

$$
\theta_{t+1} = \theta_t - \frac{\alpha}{\sqrt{\hat{v_t}} + \epsilon} \hat{m_t}
$$

where:
- $( m_t )$ and $( v_t )$ are the first and second moment estimates,
- $( beta_1)$ and $( beta_2 )$ control their decay rates (typically $( 0.9 )$ and $( 0.999 $) respectively).",,,,,
Training,Optimizer,AdamW,"Variant of Adam with weight decay, prevents overfitting.",,,,,,,,,
Training,Optimizer,Momentum,"Variation of Gradient Descent, which accelerates learning by accumulating a moving average of past gradients.",,,,"$$
v_t = \beta v_{t-1} + (1 - \beta) \nabla J(\theta_t)
$$

$$
\theta_{t+1} = \theta_t - \alpha v_t
$$

where:
- $( v_t )$ is the velocity term (exponential moving average of gradients),
- $( \beta )$ is the momentum factor (typically \( 0.9 \)).
",,,,,
Training,Optimizer,Nadam,Adam optimizer with Nesterov momentum for better convergence.,,,,,,,,,
Training,Optimizer,RMSprop,"Variation of Gradient Descent, which adapts the learning rate by dividing by an exponentially weighted moving average of past squared gradients. Adapts learning rates based on recent gradient magnitudes. Good for RNNs.",,,,"$$
G_t = \beta G_{t-1} + (1 - \beta) \nabla J(\theta_t)^2
$$

$$
\theta_{t+1} = \theta_t - \frac{\alpha}{\sqrt{G_t + \epsilon}} \nabla J(\theta_t)
$$

where:
- $( G_t )$ is the exponentially decaying average of squared gradients.
",,,,,
Validation,Function,Accuracy,Number of correctly classified examples divided by the total number of classified examples.,,,,$$ Accuracy = \frac{TP + TN}{TP + TN + FP + FN} $$,,,,,
Validation,Procedure,Confusion Matrix,"Table used to evaluate the performance of a classification model by comparing predicted labels to actual labels. It summarizes the counts of true positives, true negatives, false positives, and false negatives, providing a detailed view of where the model makes correct and incorrect predictions. This breakdown supports the calculation of metrics such as accuracy, precision, recall, and F1 score.",,,https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/confusion_matrix.png,,,,,,
Validation,Procedure,K Fold Cross Validation,"Application of Cross Validation. Method for increasing ability to generlize results by segregating Training Data into K folds, such that the model never predicts on data it has seen. As an example, if Folds = 10 and x=100, each of the iterations would hold out 10 examples (such that all examples were held out in a iteration) and when the data was held out the model would predict. To reiterate, it helps with generalization, it does not increase performance, does not average and does not boost. It does materially increase training time. Primarily useful when data limitation exist, you're early on in development and want to prevent leakage or get cursory results. Also can provide a truer indication of performance based Metrics.",,,,,,,,,
Validation,Procedure,Startified Cross Validation,"Increasing the Principle of Cross Validation and ensuring that the data is split into statistically represented folds, which when data is not IID could be considered valuable to ensure that inference is accurate and representative.",,,,,,,,,
ML Model,Evaluation,Silhouette Score,"Measures how well each data point fits within its assigned cluster compared to the nearest alternative cluster. It compares the average distance to points in the same cluster (cohesion) against the average distance to points in the closest neighboring cluster (separation). Scores range from −1 to 1, where higher values indicate tighter and more clearly separated clusters. The overall Silhouette Score is the average of these values across all data points and is best used to compare clustering configurations rather than as an absolute measure of quality.

> 0.5: Strong clustering
0.3–0.5: Reasonable structure
< 0.3: Weak separation / noisy clusters",,,,"**For each data point** $i$:

$$
a(i) = \frac{1}{|C_i|-1} \sum_{j \in C_i,\, j \neq i} d(i, j)
$$

$$
b(i) = \min_{k \neq C_i} \left( \frac{1}{|C_k|} \sum_{j \in C_k} d(i, j) \right)
$$

$$
s(i) = \frac{b(i) - a(i)}{\max(a(i), b(i))}
$$

**Overall Silhouette Score:**

$$
S = \frac{1}{N} \sum_{i=1}^{N} s(i)
$$",,Evaluation,Clustering,,
Data Preparation,Semantic Type ,State,Representing current or point-in-time condition of a member’s activity or holdings. Includes definitions such as Spot Balance and single period aggregation (ex. Current Period Bill Payment Total).,,,,,,,,,
Data Preparation,Semantic Type ,Descriptive,"Representing aggregated summarizations over more than one period or measures of central tendancy. Includes definitions such as 3M Bill Payment Total, 3M Mean Deposit Balance, Periodic Max and Min values.",,,,,,,,,
Data Preparation,Semantic Type ,Diagnostic ,"Representing metrics of directionality, momentum or variability, including periodic changes, standard deviations, volatility, or growth percentages. ",,,,,,,,,
Data Preparation,Semantic Type ,Structural,"Representing attributes which apply to the member, but do not define the member. Including product holding definitions, channel usage, tenure. ",,,,,,,,,
Data Preparation,Semantic Type ,Contextual,Representing external or situational factors which influence behaviours but are not behaviours themselves.,,,,,,,,,
Data Preparation,Semantic Type ,Demographic,"Representing member level attributes and characteristics which infrequently change, and are of critical importance in understanding the member, but do not influence behavior (as defined in the model).",,,,,,,,,
Data Preparation,Functional Role ,Core Variables,Primary drivers of cluster formation and directly shape the geometry of the model; removing them would materially change cluster definitions. They represent the essential behaviours or states the segmentation is intended to capture and are used consistently across model iterations. Core variables define what the clusters are.,,,,,,,,,
Data Preparation,Functional Role ,Contextual Data,"Provides situational or external information that helps explain behaviour but does not define it (e.g., demographics, geography, lifecycle stage, channel access). These variables shape or influence behaviour but are not behaviours themselves. Contextual data is often better used for post-cluster interpretation, validation, or policy decisions rather than as primary clustering inputs.",,,,,,,,,
Data Preparation,Functional Role ,Structural Data,"Represents relatively stable attributes that describe a member’s financial position or configuration rather than their actions (e.g., deposit balances, loan balances, product holdings). These variables change slowly and often anchor or constrain behaviour but do not, on their own, describe how a member interacts with the institution. Structural data should be included sparingly in behavioural clustering to avoid overwhelming activity-based signals.",,,,,,,,,
Data Preparation,Definition,Semantic Type ,"Influenced by the literal definition of semantic: the meaning or  nature of a variable, describes what kind of real-world concept a variable represents, independent of any specific model. It classifies data based on meaning—such as whether a variable reflects behaviour (actions over time), structure (relatively stable state or capacity), or context (situational or explanatory attributes). Definition helps to classify the variable for inclusion, or exclusion of a model.",,,,,,,,,
Data Preparation,Definition,Functional Role ,"Describes how a variable is used within a specific model or modeling process, rather than what it represents conceptually. It classifies variables based on whether they actively shape the model (core), help interpret results (descriptive), or evaluate model quality and stability (diagnostic). For example, POS Transaction 6-Month Average may be a core variable that defines clusters, while Assignment Margin is diagnostic because it evaluates how confidently members are assigned. Classifying functional role is critical in ML modeling—especially in unsupervised learning—because it makes modeling assumptions explicit, prevents unintended variables from shaping outcomes, and enables controlled, explainable model evolution.",,,,,,,,,
Mathematics,Definition,Euclidean distance ,"Straight-line distance between two points in space, calculated as the square root of the sum of squared differences across each dimension. It is important because it provides a natural, intuitive measure of similarity in continuous numeric spaces and underpins many algorithms in geometry, physics, and machine learning (especially distance-based methods like clustering). The concept originates from Euclid, whose Elements (circa 300 BCE) formalized geometry based on distances and angles in flat space. In modern data science, Euclidean distance generalizes this idea to higher dimensions, where each feature represents an axis in space.",,,,,,,,,
Mathematics,Definition,Density-based clustering,"Density-based clustering identifies clusters as regions of high point density separated by sparse regions. It answers the question: “Which observations naturally group together, and which ones are unusual or isolated?” Its strengths include the ability to detect arbitrarily shaped clusters and identify outliers as noise. Its weaknesses are sensitivity to hyperparameters and reduced stability on very large or unevenly distributed datasets.",,,,,,,,,
ML Model,Algorithm,HDBSCAN,HDBSCAN is an extension of DBSCAN that builds a hierarchy of density-based clusters and selects stable ones automatically. It answers similar questions to DBSCAN but with improved robustness and less manual parameter tuning. Its strengths are better performance on real-world data and more reliable cluster discovery. Its weaknesses include higher computational cost and more complex interpretation.,,,,,,Unsupervised,Clustering,Denisty Based Clustering,
Mathematics,Definition,Probabilistic clustering,"Probabilistic clustering models data as coming from overlapping probability distributions rather than assigning hard cluster boundaries. It answers the question: “To what degree does this observation belong to each group?” Its strength is capturing uncertainty and mixed behaviors, which is often more realistic in human or financial data. The weakness is increased complexity, sensitivity to assumptions, and reduced interpretability for non-technical audiences.",,,,,,,,,
