Category,Categorization,Word,Definition,Notes,Link,Image,Markdown Equation,Dataset Size,Learning Type,Algorithm Class
Model,Algorithm,SpectralBiclustering,,,,,,"Small, Medium",,
Model,Algorithm,SpectralClustering,,,,,,"Small, Medium",,
Model,Algorithm,SpectralCoclustering,,,,,,"Small, Medium",,
Model,Algorithm,SpectralEmbedding,,,,,,Small,,
Model,Algorithm,StackingClassifier,,,,,,Medium,,
Model,Algorithm,StackingRegressor,,,,,,Medium,,
Model,Algorithm,Support Vector Machines,"Finds the optimal hyperplane that best separates data points of different classes in a feature space. The hyperplane is chosen to maximize the margin, which is the distance between the hyperplane and the nearest data points from each class, known as support vectors. By default, generally a Linear Line, however can utilize Kernels to change, such that datasets where decision boundary is not linearly seperable can become so in higher dimensions.

ModelStrengths: Effective in high-dimensional spaces, works well with clear margins of separation. Model Weaknesses:Computationally expensive, struggles with large datasets.",,,https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/SVM.png,"### Support Vector Machine (SVM) Formula

For a binary classification problem with data points $(x_i, y_i)$, where $x_i \in \mathbb{R}^n$ and $y_i \in \{-1, 1\}$, the equation of the hyperplane is: $\mathbf{w} \cdot \mathbf{x} + b = 0$.

Where:
- $\mathbf{w}$ is the weight vector (normal to the hyperplane),
- $b$ is the bias term,
- $\mathbf{x}$ is the feature vector.

---

### Optimization Objective

The goal is to maximize the margin $\frac{2}{\|\mathbf{w}\|}$ while ensuring correct classification of all points. This is formulated as:

$$
\min_{\mathbf{w}, b} \ \frac{1}{2} \|\mathbf{w}\|^2
$$

**Subject to the constraints:**

$$
y_i(\mathbf{w} \cdot \mathbf{x}_i + b) \geq 1, \quad \forall i
$$","Small, Medium",,
Model,Algorithm,Support Vector Regression,"SVR tries to fit a function within a margin of tolerance (epsilon) around the true data points — instead of minimizing the error between predicted and actual values like in ordinary least squares regression. Margin of Tolerance (ε): Instead of minimizing all errors, SVR ignores errors as long as they're within this ""epsilon-tube"" around the true values.Support Vectors: Only data points outside the epsilon margin contribute to the model (i.e., they influence the regression line).Kernel Trick: Like SVM, SVR can use kernels (e.g., linear, RBF) to model nonlinear relationships.",,,,"**SVR Optimization Problem**

$$
\min_{w, b, \xi, \xi^*} \frac{1}{2} \|w\|^2 + C \sum_{i=1}^{n} (\xi_i + \xi_i^*)
$$

Subject to:

$$
\begin{cases}
y_i - (w \cdot x_i + b) \leq \varepsilon + \xi_i \\
(w \cdot x_i + b) - y_i \leq \varepsilon + \xi_i^* \\
\xi_i, \xi_i^* \geq 0
\end{cases}
$$",Small,,
Model,Algorithm,SVC,,,,,,"Small, Medium",,
Model,Algorithm,SVR,,,,,,"Small, Medium",,
Model,Algorithm,TfidfVectorizer,,,,,,Large,,
Model,Algorithm,TheilSenRegressor,,,,,,"Small, Medium",,
Model,Algorithm,TruncatedSVD,,,,,,Large,,
Model,Algorithm,TSNE,,,,,,Small,,
Model,Algorithm,TunedThresholdClassifierCV,,,,,,Unknown,,
Model,Algorithm,TweedieRegressor,,,,,,Medium,,
Model,Algorithm,VarianceThreshold,,,,,,Large,,
Model,Algorithm,VotingClassifier,,,,,,"Medium, Large",,
Model,Algorithm,VotingRegressor,,,,,,"Medium, Large",,
Model,Algorithm,Word2Vec,"Word2Vec is a neural-network–based method that learns dense vector embeddings for words, capturing semantic and syntactic relationships. Unlike Bag of Words, which only counts word occurrences and ignores meaning, Word2Vec represents words in a continuous vector space where similarity between vectors reflects semantic closeness",,,,,,,
Model,Algorithm,XGBoost,,,,,,,,
Machine Learning,Definition,Model,"The model is the mathematical or algorithmic structure used to map input features to predictions. This includes selecting the model family (e.g., linear models, tree-based models, neural networks) and defining its architecture. Model choice balances predictive power, interpretability, computational cost, and deployment constraints. The model defines howlearning occurs but does not yet involve learning itself.",,,,,,,
Machine Learning,Definition,Regularization,"Technique used to prevent overfitting by adding a penalty term to the loss function. It discourages the model from fitting too closely to the training data, ensuring better generalization to unseen data. Traditionnaly results in bias, at benefit of materially lowering Variance. Regularization is a Constraint.",,,,,,,
Model,Function,AdditiveChi2Sampler,,,,,,Large,,
Model,Procedure,ColumnTransformer,,,,,,Large,,
Model,Procedure,FunctionTransformer,,,,,,"Small, Medium, Large",,
Model,Procedure,KNeighborsTransformer,,,,,,Small,,
Model,Procedure,LabelEncoder,,,,,,Large,,
Model,Procedure,MaxAbsScaler,,,,,,Large,,
Model,Procedure,MinMaxScaler,,,,,,Large,,
Model,Procedure,OneHotEncoder,,,,,,Large,,
Model,Procedure,OrdinalEncoder,,,,,,Large,,
Model,Procedure,PowerTransformer,,,,,,Large,,
Model,Procedure,QuantileTransformer,,,,,,Large,,
Model,Procedure,RadiusNeighborsTransformer,,,,,,Small,,
Model,Procedure,RBFSampler,,,,,,Large,,
Model,Procedure,RobustScaler,,,,,,Large,,
Model,Procedure,SkewedChi2Sampler,,,,,,Large,,
Model,Procedure,SplineTransformer,,,,,,Large,,
Model,Procedure,StandardScaler,,,,,,Large,,
Model,Procedure,TargetEncoder,,,,,,Large,,
Model,Procedure,TfidfTransformer,,,,,,Large,,
Model,Procedure,TransformedTargetRegressor,,,,,,"Small, Medium, Large",,
Machine Learning,Definition,Model Summarization / Model Interpretability,"Model summarization and interpretability aim to explain how the model makes decisions. This may include feature importance, partial dependence plots, SHAP values, or rule extraction. Interpretability builds trust with stakeholders and supports debugging, governance, and compliance. It is especially critical in high-stakes or regulated domains.",,,,,,,
Machine Learning,Definition,Monitoring,"Monitoring tracks model performance and behavior over time after deployment. It includes detecting data drift, concept drift, performance degradation, and operational issues. Alerts and retraining triggers are often established at this stage. Monitoring is essential because real-world data changes, and models degrade if left unattended.",,,,,,,
Training,Optimizer,Adadelta,Adaptive learning rate for nonstationary objectives.,,,,,,,
Training,Optimizer,Adagrad,"Variation of Gradient Descent, which adapts the learning rate for each parameter by scaling it inversely proportional to the sum of past squared gradients. 
",,,,"$$
\theta_{t+1} = \theta_t - \frac{\alpha}{\sqrt{G_t + \epsilon}} \nabla J(\theta_t)
$$

where:
- $( G_t = \sum_{i=1}^{t} \nabla J(\theta_i) \odot \nabla J(\theta_i) )$ (element-wise sum of squared gradients),
- $( \epsilon )$ is a small constant to prevent division by zero.",,,
Training,Optimizer,Adam,"Variation of Gradient Descent, which combines both momentum and RMSprop, maintaining an exponentially decaying average of past gradients and squared gradients.",,,,"$$
m_t = \beta_1 m_{t-1} + (1 - \beta_1) \nabla J(\theta_t)
$$

$$
v_t = \beta_2 v_{t-1} + (1 - \beta_2) (\nabla J(\theta_t))^2
$$

Bias correction:

$$
\hat{m_t} = \frac{m_t}{1 - \beta_1^t}, \quad \hat{v_t} = \frac{v_t}{1 - \beta_2^t}
$$

Parameter update:

$$
\theta_{t+1} = \theta_t - \frac{\alpha}{\sqrt{\hat{v_t}} + \epsilon} \hat{m_t}
$$

where:
- $( m_t )$ and $( v_t )$ are the first and second moment estimates,
- $( beta_1)$ and $( beta_2 )$ control their decay rates (typically $( 0.9 )$ and $( 0.999 $) respectively).",,,
Training,Optimizer,AdamW,"Variant of Adam with weight decay, prevents overfitting.",,,,,,,
Training,Optimizer,Momentum,"Variation of Gradient Descent, which accelerates learning by accumulating a moving average of past gradients.",,,,"$$
v_t = \beta v_{t-1} + (1 - \beta) \nabla J(\theta_t)
$$

$$
\theta_{t+1} = \theta_t - \alpha v_t
$$

where:
- $( v_t )$ is the velocity term (exponential moving average of gradients),
- $( \beta )$ is the momentum factor (typically \( 0.9 \)).
",,,
Training,Optimizer,Nadam,Adam optimizer with Nesterov momentum for better convergence.,,,,,,,
Training,Optimizer,RMSprop,"Variation of Gradient Descent, which adapts the learning rate by dividing by an exponentially weighted moving average of past squared gradients. Adapts learning rates based on recent gradient magnitudes. Good for RNNs.",,,,"$$
G_t = \beta G_{t-1} + (1 - \beta) \nabla J(\theta_t)^2
$$

$$
\theta_{t+1} = \theta_t - \frac{\alpha}{\sqrt{G_t + \epsilon}} \nabla J(\theta_t)
$$

where:
- $( G_t )$ is the exponentially decaying average of squared gradients.
",,,
Training,Function,Hinge Loss,"Loss function used primarily for binary classification, especially in Support Vector Machines (SVMs). It's designed to maximize the margin between classes — that is, push predictions to be confidently correct. It penalizes predictions that are: On the wrong side of the decision boundary Or correct but not confidently correct (i.e., too close to the margin)",,,,,,,
Training,Function,Huber Loss,Loss function used in regression problems that is robust to outliers — it's essentially a blend between Mean Squared Error (MSE) and Mean Absolute Error (MAE). Regression with noisy or outlier-prone data Situations where you want the stability of MSE but the robustness of MAE,,,,,,,
Machine Learning,Definition,Problem Definition,"Problem definition clearly states the business or research question the model is intended to solve and translates it into a machine-learning task (e.g., classification, regression, ranking). It includes defining the target variable, success metrics, constraints (latency, interpretability, cost), and assumptions. This step aligns stakeholders on what success looks likebefore any data or modeling begins. A poorly defined problem almost always leads to building the “right model for the wrong problem.”",,,,,,,
Model,Regularization,ElasticNet,Approach which combines L1 and L2 Regularization.,,,,,"Small, Medium",,
Model,Regularization,Lasso,"Technique used to prevent overfitting by adding penalty term to loss function. Adds the absolute values of the coefficients as a penalty term. This leads to sparse models, as some coefficients become exactly zero",,,,"$$
J(\theta) = \sum_{i=1}^{m} \left( y_i - \hat{y}_i \right)^2 + \lambda \sum_{j=1}^{n} |\theta_j|
$$","Small, Medium",,
Model,Regularization,Ridge,"Technique used to prevent overfitting by adding penalty term to loss function. Adds the squared values of the coefficients as a penalty term. This incrases the cost of larger parameters, encouraging the model to distribute parameters waiting This shrinks the coefficients but does not eliminate them.","The equation that you use to calculate the cost function is not the function which is tested, you use the unconstrained model. ",,,"$$
J(\theta) = \sum_{i=1}^{m} \left( y_i - \hat{y}_i \right)^2 + \lambda \sum_{j=1}^{n} \theta_j^2
$$","Medium, Large",,
Tool,Definition,Pytorch,"PyTorch is an open-source deep learning framework primarily used for research, experimentation, and custom model development. It features eager execution and dynamic computation graphs, which allow models to run and be debugged step by step like standard Python code. PyTorch is highly Pythonic and integrates naturally with the scientific Python ecosystem, making it well suited for rapid prototyping and novel model architectures. A common limitation is that additional engineering effort may be required when moving experimental models into large-scale production environments.",,,,,,,
Tool,Definition,Tensor Flow,"TensorFlow is an open-source machine learning framework designed to support building, training, and deploying models across a wide range of platforms. It provides high-level APIs that simplify model creation while also offering tools for large-scale, production-grade deployment. TensorFlow’s ecosystem includes specialized solutions for serving, mobile, and web environments, making it suitable for enterprise and embedded use cases. Its complexity and abstraction layers can introduce a steeper learning curve for low-level customization.",,,,,,,
Machine Learning,Definition,Activation Function,"A mathematical function applied to a neuron’s weighted input that introduces non-linearity into a neural network. This non-linearity enables the model to learn complex, non-linear relationships in the data. Activation functions are applied within layers during the forward pass of a neural network, transforming intermediate representations before passing them to the next layer. Activation choice affects gradient flow, training stability, and convergence speed. Poor choices can cause vanishing or exploding gradients, limiting the depth or effectiveness of the network",,,https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/ActivationFunctions.png,,,,
Machine Learning,Definition,Loss Function,"A loss function is a mathematical function that measures how far a model’s predictions are from the true target values, producing a single scalar value that represents prediction error and defines the objective to be minimized during training. The loss function is evaluated during training after the forward pass and is the starting point for backpropagation. Its gradients drive parameter updates via the optimizer. Different loss functions encode different assumptions about error, robustness, and business objectives. Choosing an inappropriate loss can lead to models that optimize the wrong behavior, even if training converges successfully.",,,,,,,
Machine Learning,Definition,Optimizer,"Optimization algorithm that updates a model’s parameters using gradients of the loss function in order to minimize training error. It defines how gradient information is transformed into parameter updates. The optimizer operates during training, after gradients are computed via backpropagation, and is not used during inference. Different optimizers trade off convergence speed, stability, and generalization. Hyperparameters such as learning rate and momentum are",,,,,,,
Machine Learning,Definition,Training,"Training is the process of fitting the model to data by optimizing its parameters to minimize a loss function. During training, the model learns patterns by iteratively adjusting weights based on observed errors. This step may involve batching, optimization algorithms, and regularization techniques. Proper training ensures the model captures meaningful signal without overfitting.",,,,,,,
Machine Learning,Definition,Validation,"Process which evaluates a trained machine-learning model on data that was not used during training to assess how well it generalizes to unseen data. It is used to tune model choices and hyperparameters, detect overfitting or underfitting, and guide model selection before final testing or deployment. Validation acts as a feedback loop before final evaluation or deployment decisions are made.",,,,,,,
Validation,Function,Accuracy,Number of correctly classified examples divided by the total number of classified examples.,,,,$$ Accuracy = \frac{TP + TN}{TP + TN + FP + FN} $$,,,
Validation,Procedure,Confusion Matrix,"Table used to evaluate the performance of a classification model by comparing predicted labels to actual labels. It summarizes the counts of true positives, true negatives, false positives, and false negatives, providing a detailed view of where the model makes correct and incorrect predictions. This breakdown supports the calculation of metrics such as accuracy, precision, recall, and F1 score.",,,https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/confusion_matrix.png,,,,
Validation,Procedure,K Fold Cross Validation,"Application of Cross Validation. Method for increasing ability to generlize results by segregating Training Data into K folds, such that the model never predicts on data it has seen. As an example, if Folds = 10 and x=100, each of the iterations would hold out 10 examples (such that all examples were held out in a iteration) and when the data was held out the model would predict. To reiterate, it helps with generalization, it does not increase performance, does not average and does not boost. It does materially increase training time. Primarily useful when data limitation exist, you're early on in development and want to prevent leakage or get cursory results. Also can provide a truer indication of performance based Metrics.",,,,,,,
Validation,Procedure,Startified Cross Validation,"Increasing the Principle of Cross Validation and ensuring that the data is split into statistically represented folds, which when data is not IID could be considered valuable to ensure that inference is accurate and representative.",,,,,,,
