Word,Category,Sub Categorization,Definition,Notes,Link,Image,Markdown Equation,Is Model,Learning Type,Algorithm Class
Euclidean Distance,,,"The Euclidean norm, also called the L2 norm, is the most common type of norm. It measures the straight-line distance from the origin to the point represented by the vector",,,,"
\**Step 1: Calculate \( \|w\| \) (Euclidean Norm)**

$$
\|w\| = \sqrt{2^2 + (-3)^2 + 6^2} = \sqrt{4 + 9 + 36} = \sqrt{49} = 7
$$

**Step 2: Apply the Distance Formula**

$$
d = \frac{|5 - 1|}{\|w\|} = \frac{4}{7} \approx 0.571
$$

**Result:** The distance between the two planes is approximately **0.571 units**.

$$
 ||w|| = \sqrt{\sum \left (w_i \right)^2}
$$",,,
ExtraTreesClassifier,Machine Learning,,,,,,,1.0,,
F1 Score,Machine Learning,,"F1 is harmonic mean is a type of average that is calculated by dividing the number of values by the sum of the reciprocals of the values, making it useful for situations where rates or ratios are involved, such as calculating average speeds or in situations where equal weighting is given to each data point’s contribution to the average. The F-score (or F1-score) is a measure of a model’s accuracy that considers both precision and recall. The F1-score is particularly useful when your dataset is imbalanced, and you want to ensure both precision and recall are considered. For example, if you only focus on precision, you might ignore false negatives (missed positive cases), and if you focus only on recall, you could have many false positives. The F1-score provides a balanced assessment by combining both metrics. The F Score is a Harmonic Mean, which means that it gives additional consideration to the effect of Lower Values (1/ sum (1/x)). Using travel time as an example, if you travelled 20 Miles (10 Miles at 30 MPH and 10 Miles at 60 MPH) your harmonic mean would be 36, not 45.",,,,,,,
Fact Believability,Behavioural Economics,Books Read,"Facts about this epidemic that have lasted a few days are far more reliable than the latest ‘facts’ that have just come out, which may be erroneous or unrepresentative and thus misleading . . . a question that today can be answered [by] only informed belief may perhaps be answered with a fact tomorrow.",The Firth Risk,,,,,,
Facts Vs Statistics,Behavioural Economics,Books Read,"More likely to die in accident in evening than in morning. More drivers in evening than in morning.
More likely to die in clear weather than fog. More time occurs without fog, what does it actually mean???
9:1000 vs 16:1000 deaths in Navy vs NY. Who is in Navy, young healthy men, vs everyone else.
Polio record cases 1952, more babies, financial incentives, changes on reporting standards, etc..
Population in rural China, 28M then 5years later 108M. Survey 1 was related to Military conscription, Survey 2 famine and relief",DATASCI200,,,,,,
False Negative,,,,,,,,,,
False Positive,,,,,,,,,,
Fast statistics ,Behavioural Economics,Books Read,"Immoderate, intuitive, visceral, and powerful.",,,,,,,
FastAPI,Technology,,"Simplified Framework for creating API and dstributing. You lose some control relative to Flask, however you gain simplicity, do not need to think about and address ever detail.",,,,,,,
Feed Forward,,,,,,,,,,
Force Fill,,,,,,,,,,
Function,,,"Mathematical principle, where you take a input, apply some calculation to it and arrive at a output. For a something to be considred a function, for any given input, there must be a single output (ie a circle is not a function as there are two values).",,,,,,,
Functional,,,,,,,,,,
Functional Programming,,,,,,,,,,
GaussianNB,,,,,,,,1.0,,
Generalized Additive Model ,,,"statistical model that extends Generalized Linear Models (GLMs) by allowing the relationships between predictors and the response variable to be non-linear, while still maintaining additivity.",,,,"$$
g(E[Y]) = \beta_0 + f_1(X_1) + f_2(X_2) + \dots + f_n(X_n)
$$",,,
Generator Verifier Gap,Machine Learning,Natural Language Processing,"The Generator-Verifier Gap is a concept in artificial intelligence (particularly in large language models) that highlights the asymmetry in capabilities between the generation process (how a model generates text or solutions) and the verification process (how well the model can assess or verify its own outputs). The idea stems from the observation that generating a response often requires less rigor than verifying its correctness, which can create a gap in reliability and accuracy",,,,,,,
Goal Setting,Experiement Design,,"Identification of what the goal should be. Not just on how we get to the goal, but what is the right goal.",,,,,,,
Gradient,Statistics,Definition,A vector containing its partial derivatives with respect to each variable. It points in the direction of the steepest ascent.,,,,"$$
\nabla f = \left( \frac{\partial f}{\partial x}, \frac{\partial f}{\partial y} \right)
$$

### Example Calculation:
Given \( f(x, y) = x^2 + y^2 \), the gradient is:

$$
\nabla f = \left( \frac{\partial}{\partial x} (x^2 + y^2), \frac{\partial}{\partial y} (x^2 + y^2) \right)
$$

Computing the partial derivatives:

$$
\nabla f = \left( 2x, 2y \right)
$$

At \( (x, y) = (1, 2) \):

$$
\nabla f(1,2) = (2(1), 2(2)) = (2, 4)
$$

This means the function increases most rapidly in the direction of **(2,4)**.",,,
GradientBoostingClassifier,Machine Learning,,,,,,,1.0,,
Graphs,Statistics,Definition,"A graph is a mathematical structure used to model pairwise relationships between objects. It consists of: Vertices (Nodes) – Represent the entities (e.g., people, cities, tasks). Edges (Connections) – Represent relationships or links between nodes.",,,,"$$
\begin{array}{|c|c|c|c|}
\hline
\textbf{Graph Type} & \textbf{Definition} & \textbf{Use Cases} & \textbf{Examples} \\
\hline
\text{DAG} & \text{Directed, no cycles} & \text{Task scheduling, neural networks, version control} & \text{Git commits, data pipelines} \\
\hline
\text{Cyclic Graph} & \text{Contains at least one cycle} & \text{Transportation, social networks, web navigation} & \text{Road networks, social media, web crawling} \\
\hline
\text{Tree (Acyclic)} & \text{Hierarchical, undirected, no cycles} & \text{File systems, decision trees, search trees} & \text{File explorer, corporate org charts} \\
\hline
\end{array}
$$",,,
Grid Search,,,,,,,,,,
Group Think,,,"Small groups make bad decisions in high stress sitations. Issues: premature closure, drink the cool-aid, not quesitoning basic assumptions, resistance to discreptant information.",,,,,,,
Hadoop,Spark,,"Hadoop - Working in Cluster. Master, Exectuor, HDFS Controls abstraction, even though data might not be in current abstraction. Hadoop makes blocks of 128 MB. Regardless of Size. Built for scalability, not performance. Moving data expensive.",,,,,,,
Handshake,,,,,,,,,,
Hard Voting,,,"Ensemble model gives same weight to all predictions, regardless of confidence or accuracy.",,,,,,,
Harmonic Mean,Statistics,,"The harmonic mean is a type of average that is particularly useful when dealing with rates, ratios, or quantities that involve reciprocal relationships. It is defined as the reciprocal of the arithmetic mean of the reciprocals of a given set of numbers",,,,"The **harmonic mean** of a set of $n$ numbers $x_1, x_2, \dots, x_n$ is given by:

$$
H = \frac{n}{\sum\limits_{i=1}^{n} \frac{1}{x_i}}
$$",,,
HDFS,,,,,,,,,,
Heirachracal clustering,,,,,,,,,,
High Level Language,,,"Abstracts away computer details. Don't have to worry about details of the computer, Hardware, Memory, etc. Pros: User friendly. R, Python, VB, Ruby, Javascript, Go",,,,,,,
Higher Order Functions,,,Functions that feed into other functions,,,,,,,
Hinge Loss,Machine Learning,Loss Optimization,"Loss function used primarily for binary classification, especially in Support Vector Machines (SVMs). It's designed to maximize the margin between classes — that is, push predictions to be confidently correct. It penalizes predictions that are: On the wrong side of the decision boundary Or correct but not confidently correct (i.e., too close to the margin)",,,,,,,
Hive,,,,,,,,,,
How to calculate dot products.,,,,,,,,,,
How to calculate eucledian distance,,,,,,,,,,
How to Estimate/ Guess.,Behavioural Economics,,"The population of the United States is 325 million. The population of the United Kingdom is 65 million. The population of the world is 7.5 billion. Name any particular age (under the age of sixty). There are about 800,000 people of that age in the UK. If a policy involves all three-year-olds, for example, there are 800,000 of them. In the United States, there are about 4 million people of any particular age (under the age of sixty). Distance around the Earth: 40,000 kilometers, or 25,000 miles. It varies depending on whether you go around the poles or around the equator, but not much. The drive from Boston to Seattle: 3,000 miles.

Length of a bed: 2 meters (or 7 feet). As Elliott points out, this helps you visualize the size of a room: How many beds is that? The gross domestic product of the United States: about $20 trillion (or $20,000 billion). It’s a lot of walls, if that’s really how you want to spend it. 100,000 words: the length of a medium-size novel. 1,454 feet: the height of the Empire State Building to its tip. (It’s also about 102 stories.)",,,,,,,
Huber Loss,Machine Learning,Loss Optimization,Loss function used in regression problems that is robust to outliers — it's essentially a blend between Mean Squared Error (MSE) and Mean Absolute Error (MAE). Regression with noisy or outlier-prone data Situations where you want the stability of MSE but the robustness of MAE,,,,,,,
I/O,,,,,,,,,,
Identity Access Management (IAM),,,,,,,,,,
IID,,,,,,,,,,
Illusion of Asymmetric Insights,Behavioural Economics,,"The Belief that we know others better than they know us and that we may have insights about them that they lack (but not vice versa). As explained by the fill in the blanks word game, the words don’t define me, yet they do define others. CIA Officers. Judges. ",,,,,,,
Inference,,,,,,,,,,
Information Gain,Statistics,Definition,"
Information Gain measures the reduction in uncertainty or impurity in a dataset when it is split based on a feature. A higher Information Gain indicates a better split, meaning the feature helps in making more distinct and informative classifications.",,,,"$$
IG = H(\text{Parent}) - \sum_{i=1}^{k} \frac{n_i}{N} H(\text{Child}_i)
$$

where:
- $ H(\text{Parent}) $ is the entropy before the split.
- $ H(\text{Child}_i) $ is the entropy of the $ i^{th} $ child node.
- $ \frac{n_i}{N} $ is the proportion of samples in each child node.
- $ k $ is the number of child nodes.",,,
Ingress,,,"In networking, ""ingress"" refers to the incoming data traffic entering a network. It's the data flow from external sources toward a particular network or device within that network. Managing ingress traffic is crucial for network security and performance optimization. Network administrators often implement measures such as firewalls, access control lists (ACLs), and intrusion detection/prevention systems (IDS/IPS) to regulate and protect against unwanted or malicious ingress traffic. Additionally, Quality of Service (QoS) mechanisms may be employed to prioritize certain types of ingress traffic for better network performance.",,,,,,,
Inspection,Machine Learning,,,,,,,,,
Instance Based Learning,Machine Learning,Definition,"A type of learning where the algorithm memorizes training examples and makes predictions by comparing new inputs to stored instances, rather than building a general model. Examples include k-Nearest Neighbors (k-NN) and case-based reasoning.",,,,,,,
Interpreted,,,"Source Code - Interpreter - Output. Code is ready to run, but it's not written in Binary, Interpreter turns it into Machine Code. Python often presented as Interpreted, but not strictly true.",,,,,,,
Interpreted Language,,,,,,,,,,
Intertemporal choice,Behavioural Economics,, Refers to decisions that involve trade-offs between costs and benefits occurring at different points in time,,,,,,,
Inverted Matrix,,,,,,,,,,
Istio,,,"Open-source service mesh platform that provides a way to connect, secure, control, and observe microservices running in a Kubernetes cluster or any other platform that supports the Envoy proxy. Traffic Management: Istio provides advanced traffic management capabilities such as intelligent routing, load balancing, and traffic splitting. It allows you to implement A/B testing, canary deployments, blue-green deployments, and other deployment strategies for your microservices. Security: Istio enhances the security of microservices by providing features like mutual TLS (mTLS) authentication, encryption of service-to-service communication, and fine-grained access control policies. It helps protect against network attacks and unauthorized access to services. Observability: Istio provides rich observability features that allow you to monitor and trace requests flowing through your microservices. It integrates with monitoring tools like Prometheus, Grafana, Jaeger, and Kiali to provide insights into service performance, latency, and errors. Policy Enforcement: Istio allows you to enforce policies for access control, rate limiting, and quotas across your microservices. It provides a centralized policy framework that enables you to define and enforce policies consistently across your entire service mesh. Resilience: Istio helps improve the resilience of microservices by providing features like circuit breaking, retries, timeouts, and fault injection. It allows you to handle failures gracefully and prevent cascading failures in your distributed systems. Integration with Kubernetes: Istio is designed to work seamlessly with Kubernetes, leveraging its native features like labels, selectors, and annotations. It integrates with the Kubernetes API server to dynamically configure and manage networking, security, and traffic routing for microservices.
At its core, Istio is powered by Envoy, which is a high-performance proxy designed for cloud-native applications. Istio deploys Envoy proxies alongside each microservice to intercept and manage traffic flowing between services within the mesh. Overall, Istio provides a comprehensive set of features for managing microservices in a distributed environment, making it easier to build, deploy, and operate resilient and secure applications at scale.",,,,,,,
Jaccard similarity,,,"Jaccard similarity is another measure of similarity between two sequences of numbers. It is defined by the intersection divided by the union of two sets of numbers. Between two non-zero sets.Jaccard similarity is the ratio of shared elements to unshared elements.  I.e., Jaccard Similarity = (number of non-zero elements in both sets) / (number non-zero elements in either set). The Jaccard similarity always belongs to the interval [0,1].",,,,,,,
JDBC,,,,,,,,,,
K Fold Cross Validation,,,,,,,,,,
K Means Clustering,,,,,,,,,,
Kaftka,,,,,,,,,,
Kernel Methods,,,,,,,,,,
Kmeans can only do circular clusters because of centroids,,,,,,,,,,
Kubernetes,,,,,,https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/kubernetes.png,,,,
Kurtosis,Statistics,Definition,"Kurtosis measures the tailedness of a distribution (how extreme the outliers are).It describes whether the data has **heavy tails (high kurtosis)** or **light tails (low kurtosis)**. A normal distribution has a **kurtosis of 3** (excess kurtosis = 0), lower means there are less extreme observation values, and higher means there are more. More can be a problem as it may impact the distribution (if the values are not consistent with the actual distribution), and not enough can result in the model not sufficiently understanding the distribution.",,,,"$$
\text{Kurtosis} = \frac{n(n+1)}{(n-1)(n-2)(n-3)} \sum_{i=1}^{n} \left( \frac{x_i - \bar{x}}{s} \right)^4 - \frac{3(n-1)^2}{(n-2)(n-3)}
$$

- **Kurtosis ≈ 3** → Normal distribution (**Mesokurtic**)
- **Kurtosis > 3** → Heavy tails, more extreme outliers (**Leptokurtic**)
- **Kurtosis < 3** → Light tails, fewer outliers (**Platykurtic**)",,,
Kustomize,,,"Tool for customizing Kubernetes configurations. It allows you to manage Kubernetes manifest files (YAML) in a more modular and flexible way, making it easier to manage configurations across different environments (such as development, staging, and production) or for different teams. Configuration Management: Kustomize provides a way to customize Kubernetes resources without modifying the original YAML files. This enables you to manage configurations separately from application code, making it easier to maintain and update configurations over time. Template-free Configuration: Unlike tools like Helm, Kustomize does not use templates for generating Kubernetes manifests. Instead, it uses a patch-based approach where you can define patches to apply to base configuration files. This makes configurations more maintainable and easier to understand. Environment-specific Configurations: With Kustomize, you can define overlays for different environments (such as development, staging, and production) that contain environment-specific configurations. This allows you to manage configuration drift and keep environment-specific settings separate from the base configuration. Resource Composition: Kustomize supports resource composition, allowing you to create reusable components and compose them together to generate complete configurations. This promotes code reuse and modularity in your Kubernetes configurations. Integration with GitOps: Kustomize is often used in conjunction with GitOps practices, where configuration changes are managed through version control systems like Git. By storing configurations in version control, you can track changes, collaborate with teams, and automate deployment workflows.",,,,,,,
Lady Lovelace,,,,,,,,,,
Lag,,,"A lag can be introduced to identify a relationship which occurs over a period of time, opposed to immediatley. A common example is Economic Data, when you need to wait to see the impact of the effect, such as inflation rate.
",,,,,,,
lambda,Machine Learning,Hyperparameter,"L2 regularization term (Ridge) used in models like XGBoost, LightGBM, and other ensemble methods to prevent overfitting.","[0, 0.01, 0.1, 1, 10]",,,,,,
Lasso Regression,Machine Learning,Regularization,"Technique used to prevent overfitting by adding penalty term to loss function. Adds the absolute values of the coefficients as a penalty term. This leads to sparse models, as some coefficients become exactly zero",,,,"$$
J(\theta) = \sum_{i=1}^{m} \left( y_i - \hat{y}_i \right)^2 + \lambda \sum_{j=1}^{n} |\theta_j|
$$",1.0,,
Leakage,,,,,,,,,,
Leaky Relu,,Activation Function,,,,,,,,
Learning Algorithm,Machine Learning,,"Method or set of rules that a computer follows to improve its performance on a task through experience. It is the core mechanism behind machine learning and is responsible for finding patterns in data, making predictions, or optimizing decision-making. 
Three components; Loss Function, Optimization Criterion, Optimization Routine",,,,,,,
learning_rate,Machine Learning,Hyperparameter,"Controls how the model updates weights during training. If it is too high, it will converge fast, and might skip optimal values, or not converge as it jumps back and forth between increasing and decreasing. Too Low and it will fail to converge, or potentially get stuck in a local minima.","[0.01, 0.05, 0.1, 0.2]",,,,,,
LightGBM,,,,,,,,,,
Linear Regression,Machine Learning,Model,Linear Regression models the relationship between an independent variable ( X ) and a dependent variable ( Y ) using a linear function.,"Cost function for Linear Regression is usually Mean Squared Error. While it does not have to be, it is convenient for a number of reasons. 1) Rarely Overfits, which Polynomial equations frequently do. 2) It always has a derivative, which makes it convenient for using closed forms solutions (saving computation complexity). ",,,"$$
Y = w_0 + w_1 X + \epsilon
$$
$$
Y = w_0 + w_1 X_1 + w_2 X_2 + \dots + w_n X_n + \epsilon
$$
$$
MSE = \frac{1}{N} \sum_{i=1}^{N} (Y_i - \hat{Y}_i)^2
$$

A linear model can be written as:

$$
\mathbf{y} = \mathbf{X} \boldsymbol{\beta} + \boldsymbol{\epsilon}
$$

where:
- $( \mathbf{y} \in \mathbb{R}^{n \times 1})$ is the vector of observed values
- $( \mathbf{X} \in \mathbb{R}^{n \times p} )$ is the design matrix (with \( n \) samples and \( p \) features),
- $( \boldsymbol{\beta} \in \mathbb{R}^{p \times 1} )$ is the vector of coefficients,
- $( \boldsymbol{\epsilon} \in \mathbb{R}^{n \times 1} )$ is the error term.

The closed-form solution for the ordinary least squares (OLS) estimate of \( \boldsymbol{\beta} \) is:

$$
\hat{\boldsymbol{\beta}} = (\mathbf{X}^T \mathbf{X})^{-1} \mathbf{X}^T \mathbf{y}
$$

provided that $( \mathbf{X}^T \mathbf{X} )$ is invertible.

This formula is derived by minimizing the sum of squared errors:

$$
\mathcal{L}(\boldsymbol{\beta}) = \|\mathbf{y} - \mathbf{X} \boldsymbol{\beta} \|^2
$$

Taking the derivative with respect to $( \boldsymbol{\beta} )$ and setting it to zero:

$$
\frac{\partial \mathcal{L}}{\partial \boldsymbol{\beta}} = -2 \mathbf{X}^T (\mathbf{y} - \mathbf{X} \boldsymbol{\beta}) = 0
$$

Solving for $( \boldsymbol{\beta} )$ gives the closed-form solution above.
",1.0,,
LLM,Machine Learning,Model,,,,,,1.0,,
Log Loss,,,"Log Loss is used in binary classification tasks where the output is a probability between 0 and 1. It penalizes incorrect predictions with a logarithmic scale, meaning that confident wrong predictions are penalized more than less confident ones.",,,,"
$$\text{Log Loss} = -\frac{1}{n} \sum_{i=1}^n \left[ y_i \log(\hat{y}_i) + (1 - y_i) \log(1 - \hat{y}_i) \right]$$

$$\text{Log Loss} = -\frac{1}{n} \sum_{i=1}^n \sum_{j=1}^k y_{ij} \log(\hat{y}_{ij})$$",,,
Logistic Regression,Machine Learning,Model,"Logistic Regression is used for binary classification. It predicts the probability that an instance belongs to a particular class.
",,,https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/logistic.png,"### **Definition:**
Logistic Regression is used for **binary classification**. It predicts the probability that an instance belongs to a particular class.

### **Equation:**
Logistic regression applies the **sigmoid function** to a linear model:

$$
P(Y = 1 | X) = \sigma(w_0 + w_1 X_1 + w_2 X_2 + \dots + w_n X_n)
$$

where the **sigmoid function** \( \sigma(z) \) is:

$$
\sigma(z) = \frac{1}{1 + e^{-z}}
$$

This ensures that the output is in the range \( (0,1) \), representing a probability.

### **Decision Rule:**
To classify an instance:
- If $( P(Y=1|X) \geq 0.5 )$, predict class **1**.
- Otherwise, predict class **0**.

### **Objective Function:**
Logistic regression minimizes the **log-loss (cross-entropy loss)**:

$$
J(\theta) = -\frac{1}{N} \sum_{i=1}^{N} \left[ Y_i \log(\hat{Y}_i) + (1 - Y_i) \log(1 - \hat{Y}_i) \right]
$$
where $( \hat{Y}_i )$ is the predicted probability.",1.0,Supervised,
Loss Function,Statistics,Definition,"A loss function is a mathematical function that quantifies the difference between the predicted output of a model and the actual target value. It serves as an optimization objective, guiding the model to learn by minimizing the error during training.",,,https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/Loss_Functions.png,,,,
Low Level Language,,,"Allocates control of computer resources, very specific. Cons: Difficult to code, difficult to interpret Pros: Very Fast. Machine Code: Binary, difficult to read, very few directly use. C++ not low level, but amongst the more popular lower level, Java - Higher than C++ not High.",,,,,,,
Machine Learning,,,"Using a process to enable computers to iteratively learn from the data and improve analysis, outcomes or understanding. Intersection of statistics, artificial intelligence and computer science. Machine's don't learn, they find optimal mathematical formulas based on the data it is presented. There is an assumption that this data set is both representative of other data sets,  and possess similiar statistical distributions', You can argue this is not learning, because slight variances can result in materially different responses and output, Term synonymous with machines doing tasks without explicitly being programmed. Building a statistical model, based on a dataset",,,,,,,
Markov Chains,,,"Discrete stochastic process. Loan Repayment as example, 30, 60, 90 Default and possible movements within. Sink - Absorbing State. Statelessness. Only care about where you are. Steady State Distribution of the Random Graph",,,,,,,
Matrix,Statistics,Definition,,,,,"#### Addition
$$
A + B =
\begin{bmatrix} a_{11} & a_{12} \\ a_{21} & a_{22} \end{bmatrix} +
\begin{bmatrix} b_{11} & b_{12} \\ b_{21} & b_{22} \end{bmatrix} =
\begin{bmatrix} a_{11} + b_{11} & a_{12} + b_{12} \\ a_{21} + b_{21} & a_{22} + b_{22} \end{bmatrix}
$$

$$
\begin{bmatrix} 10 & 8 \\ 6 & 4 \end{bmatrix} +
\begin{bmatrix} 1 & 2 \\ 3 & 4 \end{bmatrix} =
\begin{bmatrix} 11 & 10 \\ 9 & 8 \end{bmatrix}
$$


#### Subtraction
$$
A - B =
\begin{bmatrix} a_{11} & a_{12} \\ a_{21} & a_{22} \end{bmatrix} -
\begin{bmatrix} b_{11} & b_{12} \\ b_{21} & b_{22} \end{bmatrix} =
\begin{bmatrix} a_{11} - b_{11} & a_{12} - b_{12} \\ a_{21} - b_{21} & a_{22} - b_{22} \end{bmatrix}
$$

$$
\begin{bmatrix} 10 & 8 \\ 6 & 4 \end{bmatrix} -
\begin{bmatrix} 1 & 2 \\ 3 & 4 \end{bmatrix} =
\begin{bmatrix} 9 & 6 \\ 3 & 0 \end{bmatrix}
$$


#### Multiplication 
$$
\begin{bmatrix} 1 & 2 & 3 \\ 4 & 5 & 6 \end{bmatrix} \times
\begin{bmatrix} 7 & 8 \\ 9 & 10 \\ 11 & 12 \end{bmatrix}
$$

$$
\begin{bmatrix} 
(1\cdot7 + 2\cdot9 + 3\cdot11) & (1\cdot8 + 2\cdot10 + 3\cdot12) \\ 
(4\cdot7 + 5\cdot9 + 6\cdot11) & (4\cdot8 + 5\cdot10 + 6\cdot12) 
\end{bmatrix}
$$

$$
\begin{bmatrix} 58 & 64 \\ 139 & 154 \end{bmatrix}
$$
",,,
max_depth,Machine Learning,Hyperparameter,Maximum depth of each tree in the model. Larger values allow more complex splits but can lead to overfitting.,"[3,5,10,20]",,,,,,
max_features,Machine Learning,Hyperparameter,Number of features considered for each split in Random Forest.,"['sqrt', 'log2', None]",,,,,,
Mean Absolute Error,,,Manhattan Norm. L1 Norm,,,,,,,
Micro services,,,Exchanges operational complexity for logistical complexity.,,,,,,,
Min Max Scaler,Machine Learning,,,,,,,1.0,,
min_samples_leaf,Machine Learning,Hyperparameter,Minimum number of samples required to be in a leaf node. Higher values make trees more conservative.,"[1, 5, 10, 20]",,,,,,
min_samples_split,Machine Learning,Hyperparameter,Minimum number of samples required to split a node. Higher values prevent overfitting by reducing splits.,"[2, 5, 10, 20]",,,,,,
Minikube,,,"Open-source tool that allows you to run a single-node Kubernetes cluster locally on your machine. Kubernetes is a powerful container orchestration platform that automates the deployment, scaling, and management of containerized applications. Minikube enables developers to test and develop Kubernetes applications on their local development environment without needing access to a full-scale Kubernetes cluster. It provides a lightweight, easy-to-use solution for getting started with Kubernetes development. Local Kubernetes Cluster: Minikube sets up a local Kubernetes cluster on your machine using a lightweight virtualization technology such as VirtualBox, KVM, or Docker. Easy Installation: Minikube can be easily installed on various operating systems, including Linux, macOS, and Windows, making it accessible to a wide range of developers.
Cluster Operations: Minikube provides commands to start, stop, delete, and manage the local Kubernetes cluster, allowing developers to perform cluster operations conveniently from the command line. Addon Support: Minikube supports various Kubernetes addons, such as dashboard, ingress controller, metrics server, and more, allowing developers to extend the functionality of their local Kubernetes cluster as needed. Integration with kubectl: Minikube seamlessly integrates with kubectl, the Kubernetes command-line tool, enabling developers to interact with the local Kubernetes cluster using familiar Kubernetes commands.",,,,,,,
MLPClassifier,,,,,,,,1.0,,
MLPRegressor,,,,,,,,1.0,,
MNist,,,,,,"https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/Mnist_Simple_results.png
https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/MNist_Results.png",,,,
Model Based Learning,Machine Learning,Definition,"A type of learning where the algorithm builds a general model from training data by identifying patterns and relationships. Once trained, the model is used to make predictions on new data. Examples include linear regression and neural networks.",,,,,,,
Momentum,Machine Learning,Loss Optimization,"Variation of Gradient Descent, which accelerates learning by accumulating a moving average of past gradients.",,,,"$$
v_t = \beta v_{t-1} + (1 - \beta) \nabla J(\theta_t)
$$

$$
\theta_{t+1} = \theta_t - \alpha v_t
$$

where:
- $( v_t )$ is the velocity term (exponential moving average of gradients),
- $( \beta )$ is the momentum factor (typically \( 0.9 \)).
",,,
Monolithic Architecture,,,"Single System to rule all components. Single Deployment, Simple Architecture, Many interconnected functional use cases and logic between use cases. Couples the data layer to ever part of application/ business logic",,,,,,,
Motivated reasoning,Behavioural Economics,,"Cognitive phenomenon where people process information in a biased way to support their existing beliefs, desires, or emotions. Instead of evaluating evidence objectively, individuals interpret information in a way that aligns with their preferred conclusions or outcomes. Directional reasoning: When people want to arrive at a specific conclusion, they give more weight to evidence that supports their desired belief and discount or dismiss evidence that contradicts it. Accuracy reasoning: In contrast, this occurs when individuals are genuinely motivated to arrive at a correct or objective conclusion. They carefully analyze all available evidence regardless of whether it supports their initial belief.",,,,,,,
Motivated Reasoning,Behavioural Economics,Books Read,"Type of cognitive bias where people process information in a way that aligns with their preexisting beliefs, desires, or emotions, rather than objectively evaluating the facts",,,,,,,
Multihot Encoding,,,,,,,,,,
MultinomialNB,,,,,,,,1.0,,
n_estimators,Machine Learning,Hyperparameter,"Number of Trees within the Model, With more trees, the model increases accuracy but slower training, with a risk of overfitting, where as too few layers, the model is faster, but less accurate and might not generalize well.","[50,100,150,200]",,,,,,
Nadam,Machine Learning,Optimization,Adam optimizer with Nesterov momentum for better convergence.,,,,,,,
Naïve Bayes,,,,,,,,,,
Naive realism,Behavioural Economics,Books Read,The sense that we are seeing reality as it truly is without filters or errors.,,,,,,,
Naïve Realism,Behavioural Economics,,People view the worl the way I view the world.,,,,,,,
Narrow Transformation,Spark,,"Each partition of the parent RDD is used by at most one partition of the child RDD. This means that data is not shuffled across the network between partitions, and each transformation can be executed locally on the same node. Examples of narrow transformations include map, filter, and flatMap. Because they don't involve data movement, narrow transformations are more efficient.]",,,,,,,
Nature of Individuals,Experiement Design,,"Need to contend with the strategic nature of people - A person might try and ""fool"" you to think they are someone or something that they are not. A piece of steel is not going to if you're looking to understand how it performs under various types of stress.",,,,,,,
Network Topology,,,Arrangement of devices with respect to each other.,,,,,,,
Neural Network,Machine Learning,Model,,,https://playground.tensorflow.org/,,,1.0,,
NGNX,,,"Popular open-source web server, reverse proxy server, load balancer, and HTTP cache. It's known for its high performance, stability, and scalability, making it a widely used component in modern web architectures.",,,,,,,
Non Parametric,,,"Model that does not assume a fixed functional form or a predetermined number of parameters. Instead, the complexity of the model can grow with the amount of data, allowing it to adapt flexibly to different patterns in the data.",,,,,,,
Normal Distance,,,,,,,,,,
Normalization,Statistics,Scaling,"Normalization scales the values of a feature to a fixed range, typically [0, 1] or [-1, 1]. It is also called Min-Max Scaling.  Normalization works best when  the data does not follow a normal (Gaussian) distribution and features have a materially different scale. Commonly used for KNN, NN, SVM with non-linear Kernels.",,,,"$$
X' = \frac{X - X_{\min}}{X_{\max} - X_{\min}}
$$",,,
Object,,,,,,,,,,
Objective Function,,,,,,,,,,
Objects,,,"Everything in Python is an object.  On object is baseically a storage Container.
Every object has a type. Can be located by memory location, or by assignment of variable",,,,,,,
Occam's Razor,Theory,,"Philosophical principle that suggests when faced with multiple explanations for a phenomenon, the simplest one is often the best. It emphasizes minimizing unnecessary assumptions and complexity while ensuring the explanation or solution remains sufficient to address the problem. Simpler models or explanations are easier to understand, communicate, and test, they avoid overfitting, and provides a heuristic for prioritizing hypotheses that require fewer assumptions, allowing for a more structured and efficient approach to problem-solving.",,,,,,,
One Hot Encoding,,,,,,,,,,
Online Learning,,,,,,,,,,
OOV,,,,,,,,,,
Optimizer,,,,,,,,,,
Optimizer,,,,,,https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/Optimizer_Performance.png,,,,
Organizational Process,,," ""Standard Operating Procedure"". In a situation, what does the organization do? A complex entity manages a problem in a relatively similar manner, break pieces out into a number of parts, which are delegated, those decisions are often further delegated, with the ultimate objective of responding in the short run to choose a sufficient decision (not optimal). They also don't look at the problem as a whole.  THey will try and figure out a way to improve eventually, but just need to respond in the immediate. Normally with tools and techniques that are simple, available and already known, such that its minimally disruptive.",,,,,,,
Organizations,Behavioural Economics,," Great at solving Problems. Bad at diagnosing problems. 
You should never trust large organizations, on the best day they’re incompetent, on a bad day they’re crooked.",,,,,,,
